[2021-07-14 15:18:08] STOP              
[2021-07-14 15:18:08] 500
[2021-07-14 15:18:08] SAVE_EVERY        
[2021-07-14 15:18:08] 20
[2021-07-14 15:18:08] LEARNING_RATE     
[2021-07-14 15:18:08] 0.001
[2021-07-14 15:18:08] EPOCH             
[2021-07-14 15:18:08] 1000
[2021-07-14 15:18:08] DROPOUT_RATE      
[2021-07-14 15:18:08] 0.2
[2021-07-14 15:18:08] CLASS_NUM         
[2021-07-14 15:18:08] 2
[2021-07-14 15:18:08] NUM_LAYERS        
[2021-07-14 15:18:08] 1
[2021-07-14 15:18:08] HIDDEN_DIM        
[2021-07-14 15:18:08] 128
[2021-07-14 15:18:08] EMBED_SIZE        
[2021-07-14 15:18:08] 128
[2021-07-14 15:18:08] BATCH_SIZE        
[2021-07-14 15:18:08] 50
[2021-07-14 15:18:08] CELL              
[2021-07-14 15:18:08] lstm
[2021-07-14 15:18:08] data_helper       
[2021-07-14 15:18:08] <data.DataHelper object at 0x000001BAE65689E8>
[2021-07-14 15:18:12] epoch 1   training loss 0.6942    test loss 0.6943    train acc 0.5005    test acc 0.4995
[2021-07-14 15:18:14] epoch 2   training loss 0.6936    test loss 0.6940    train acc 0.5004    test acc 0.4950
[2021-07-14 15:18:15] epoch 3   training loss 0.6934    test loss 0.6940    train acc 0.4969    test acc 0.4925
[2021-07-14 15:18:17] epoch 4   training loss 0.6933    test loss 0.6939    train acc 0.4943    test acc 0.4980
[2021-07-14 15:18:18] epoch 5   training loss 0.6933    test loss 0.6939    train acc 0.4930    test acc 0.5035
[2021-07-14 15:18:20] epoch 6   training loss 0.6933    test loss 0.6939    train acc 0.4906    test acc 0.5000
[2021-07-14 15:18:21] epoch 7   training loss 0.6933    test loss 0.6939    train acc 0.4934    test acc 0.4975
[2021-07-14 15:18:23] epoch 8   training loss 0.6933    test loss 0.6939    train acc 0.4975    test acc 0.4975
[2021-07-14 15:18:24] epoch 9   training loss 0.6933    test loss 0.6939    train acc 0.4943    test acc 0.4970
[2021-07-14 15:18:26] epoch 10   training loss 0.6933    test loss 0.6939    train acc 0.4958    test acc 0.4950
[2021-07-14 15:18:27] epoch 11   training loss 0.6933    test loss 0.6939    train acc 0.4940    test acc 0.4940
[2021-07-14 15:18:29] epoch 12   training loss 0.6933    test loss 0.6939    train acc 0.4959    test acc 0.4915
[2021-07-14 15:18:30] epoch 13   training loss 0.6933    test loss 0.6939    train acc 0.5002    test acc 0.4945
[2021-07-14 15:18:32] epoch 14   training loss 0.6933    test loss 0.6939    train acc 0.4994    test acc 0.4930
[2021-07-14 15:18:33] epoch 15   training loss 0.6933    test loss 0.6939    train acc 0.4950    test acc 0.4920
[2021-07-14 15:18:35] epoch 16   training loss 0.6933    test loss 0.6939    train acc 0.4970    test acc 0.4905
[2021-07-14 15:18:36] epoch 17   training loss 0.6933    test loss 0.6939    train acc 0.4973    test acc 0.4970
[2021-07-14 15:18:37] epoch 18   training loss 0.6933    test loss 0.6939    train acc 0.4986    test acc 0.4985
[2021-07-14 15:18:39] epoch 19   training loss 0.6932    test loss 0.6939    train acc 0.4966    test acc 0.4950
[2021-07-14 15:18:40] epoch 20   training loss 0.6932    test loss 0.6939    train acc 0.4971    test acc 0.4955
[2021-07-14 15:18:42] epoch 21   training loss 0.6932    test loss 0.6939    train acc 0.4978    test acc 0.4975
[2021-07-14 15:18:43] epoch 22   training loss 0.6932    test loss 0.6939    train acc 0.4956    test acc 0.4930
[2021-07-14 15:18:45] epoch 23   training loss 0.6932    test loss 0.6939    train acc 0.4958    test acc 0.4910
[2021-07-14 15:18:46] epoch 24   training loss 0.6932    test loss 0.6939    train acc 0.4955    test acc 0.4910
[2021-07-14 15:18:48] epoch 25   training loss 0.6932    test loss 0.6939    train acc 0.4985    test acc 0.4955
[2021-07-14 15:18:49] epoch 26   training loss 0.6932    test loss 0.6939    train acc 0.4986    test acc 0.4930
[2021-07-14 15:18:51] epoch 27   training loss 0.6932    test loss 0.6939    train acc 0.4980    test acc 0.4965
[2021-07-14 15:18:52] epoch 28   training loss 0.6932    test loss 0.6939    train acc 0.4999    test acc 0.4950
[2021-07-14 15:18:54] epoch 29   training loss 0.6932    test loss 0.6939    train acc 0.4980    test acc 0.4960
[2021-07-14 15:18:55] epoch 30   training loss 0.6932    test loss 0.6939    train acc 0.4960    test acc 0.4945
[2021-07-14 15:18:57] epoch 31   training loss 0.6932    test loss 0.6939    train acc 0.4988    test acc 0.4945
[2021-07-14 15:18:58] epoch 32   training loss 0.6932    test loss 0.6939    train acc 0.4994    test acc 0.4930
[2021-07-14 15:19:00] epoch 33   training loss 0.6932    test loss 0.6939    train acc 0.4955    test acc 0.4940
[2021-07-14 15:19:01] epoch 34   training loss 0.6932    test loss 0.6939    train acc 0.5019    test acc 0.4935
[2021-07-14 15:19:03] epoch 35   training loss 0.6932    test loss 0.6939    train acc 0.5001    test acc 0.4925
[2021-07-14 15:19:04] epoch 36   training loss 0.6932    test loss 0.6939    train acc 0.4991    test acc 0.4925
[2021-07-14 15:19:06] epoch 37   training loss 0.6932    test loss 0.6939    train acc 0.4963    test acc 0.4925
[2021-07-14 15:19:07] epoch 38   training loss 0.6932    test loss 0.6939    train acc 0.4985    test acc 0.4920
[2021-07-14 15:19:09] epoch 39   training loss 0.6932    test loss 0.6939    train acc 0.4945    test acc 0.4875
[2021-07-14 15:19:10] epoch 40   training loss 0.6932    test loss 0.6939    train acc 0.5012    test acc 0.4920
[2021-07-14 15:19:12] epoch 41   training loss 0.6932    test loss 0.6939    train acc 0.5012    test acc 0.4935
[2021-07-14 15:19:13] epoch 42   training loss 0.6932    test loss 0.6939    train acc 0.4986    test acc 0.4910
[2021-07-14 15:19:15] epoch 43   training loss 0.6932    test loss 0.6939    train acc 0.5032    test acc 0.4925
[2021-07-14 15:19:16] epoch 44   training loss 0.6932    test loss 0.6939    train acc 0.4996    test acc 0.4895
[2021-07-14 15:19:18] epoch 45   training loss 0.6932    test loss 0.6939    train acc 0.4979    test acc 0.4890
[2021-07-14 15:19:19] epoch 46   training loss 0.6932    test loss 0.6939    train acc 0.5002    test acc 0.4890
[2021-07-14 15:19:21] epoch 47   training loss 0.6932    test loss 0.6939    train acc 0.5004    test acc 0.4885
[2021-07-14 15:19:22] epoch 48   training loss 0.6932    test loss 0.6939    train acc 0.5020    test acc 0.4880
[2021-07-14 15:19:24] epoch 49   training loss 0.6932    test loss 0.6939    train acc 0.4999    test acc 0.4890
[2021-07-14 15:19:25] epoch 50   training loss 0.6931    test loss 0.6939    train acc 0.5045    test acc 0.4900
[2021-07-14 15:19:27] epoch 51   training loss 0.6932    test loss 0.6939    train acc 0.5036    test acc 0.4905
