[2021-07-06 12:54:28] STOP              
[2021-07-06 12:54:28] 200
[2021-07-06 12:54:28] SAVE_EVERY        
[2021-07-06 12:54:28] 20
[2021-07-06 12:54:28] LEARNING_RATE     
[2021-07-06 12:54:28] 0.01
[2021-07-06 12:54:28] EPOCH             
[2021-07-06 12:54:28] 300
[2021-07-06 12:54:28] DROPOUT_RATE      
[2021-07-06 12:54:28] 0.5
[2021-07-06 12:54:28] CLASS_NUM         
[2021-07-06 12:54:28] 2
[2021-07-06 12:54:28] NUM_LAYERS        
[2021-07-06 12:54:28] 1
[2021-07-06 12:54:28] HIDDEN_DIM        
[2021-07-06 12:54:28] 144
[2021-07-06 12:54:28] EMBED_SIZE        
[2021-07-06 12:54:28] 128
[2021-07-06 12:54:28] BATCH_SIZE        
[2021-07-06 12:54:28] 50
[2021-07-06 12:54:28] CELL              
[2021-07-06 12:54:28] lstm
[2021-07-06 12:54:28] data_helper       
[2021-07-06 12:54:28] <data.DataHelper object at 0x0000022BA6329978>
[2021-07-06 12:54:32] epoch 1   training loss 0.6933    test loss 0.6934    train acc 0.5020    test acc 0.5010
[2021-07-06 12:54:33] epoch 2   training loss 0.6930    test loss 0.6937    train acc 0.5039    test acc 0.4995
[2021-07-06 12:54:35] epoch 3   training loss 0.6931    test loss 0.6932    train acc 0.5018    test acc 0.5020
[2021-07-06 12:54:36] epoch 4   training loss 0.6928    test loss 0.6945    train acc 0.5075    test acc 0.4860
[2021-07-06 12:54:38] epoch 5   training loss 0.6929    test loss 0.6922    train acc 0.5072    test acc 0.5210
[2021-07-06 12:54:39] epoch 6   training loss 0.6930    test loss 0.6927    train acc 0.5112    test acc 0.5055
[2021-07-06 12:54:41] epoch 7   training loss 0.6930    test loss 0.6929    train acc 0.5096    test acc 0.5020
[2021-07-06 12:54:42] epoch 8   training loss 0.6929    test loss 0.6931    train acc 0.5070    test acc 0.5035
[2021-07-06 12:54:44] epoch 9   training loss 0.6930    test loss 0.6931    train acc 0.5078    test acc 0.5000
[2021-07-06 12:54:46] epoch 10   training loss 0.6929    test loss 0.6931    train acc 0.5069    test acc 0.4965
[2021-07-06 12:54:47] epoch 11   training loss 0.6929    test loss 0.6924    train acc 0.5112    test acc 0.5150
[2021-07-06 12:54:49] epoch 12   training loss 0.6929    test loss 0.6929    train acc 0.5055    test acc 0.5025
[2021-07-06 12:54:50] epoch 13   training loss 0.6927    test loss 0.6941    train acc 0.5068    test acc 0.4900
[2021-07-06 12:54:52] epoch 14   training loss 0.6929    test loss 0.6924    train acc 0.5080    test acc 0.5150
[2021-07-06 12:54:53] epoch 15   training loss 0.6928    test loss 0.6925    train acc 0.5061    test acc 0.5165
[2021-07-06 12:54:55] epoch 16   training loss 0.6927    test loss 0.6920    train acc 0.5132    test acc 0.5345
[2021-07-06 12:54:56] epoch 17   training loss 0.6928    test loss 0.6926    train acc 0.5041    test acc 0.5080
[2021-07-06 12:54:58] epoch 18   training loss 0.6928    test loss 0.6923    train acc 0.5099    test acc 0.5225
[2021-07-06 12:54:59] epoch 19   training loss 0.6928    test loss 0.6922    train acc 0.5096    test acc 0.5235
[2021-07-06 12:55:01] epoch 20   training loss 0.6925    test loss 0.6928    train acc 0.5106    test acc 0.5030
[2021-07-06 12:55:03] epoch 21   training loss 0.6926    test loss 0.6932    train acc 0.5139    test acc 0.5035
[2021-07-06 12:55:04] epoch 22   training loss 0.6927    test loss 0.6923    train acc 0.5115    test acc 0.5200
[2021-07-06 12:55:06] epoch 23   training loss 0.6926    test loss 0.6917    train acc 0.5136    test acc 0.5340
[2021-07-06 12:55:07] epoch 24   training loss 0.6927    test loss 0.6929    train acc 0.5111    test acc 0.5050
[2021-07-06 12:55:09] epoch 25   training loss 0.6925    test loss 0.6918    train acc 0.5194    test acc 0.5345
[2021-07-06 12:55:10] epoch 26   training loss 0.6924    test loss 0.6925    train acc 0.5145    test acc 0.5125
[2021-07-06 12:55:12] epoch 27   training loss 0.6925    test loss 0.6922    train acc 0.5120    test acc 0.5185
[2021-07-06 12:55:13] epoch 28   training loss 0.6925    test loss 0.6929    train acc 0.5164    test acc 0.5100
[2021-07-06 12:55:15] epoch 29   training loss 0.6925    test loss 0.6924    train acc 0.5089    test acc 0.5125
[2021-07-06 12:55:16] epoch 30   training loss 0.6925    test loss 0.6926    train acc 0.5165    test acc 0.5110
