[2021-07-06 13:02:06] STOP              
[2021-07-06 13:02:06] 200
[2021-07-06 13:02:06] SAVE_EVERY        
[2021-07-06 13:02:06] 20
[2021-07-06 13:02:06] LEARNING_RATE     
[2021-07-06 13:02:06] 0.01
[2021-07-06 13:02:06] EPOCH             
[2021-07-06 13:02:06] 300
[2021-07-06 13:02:06] DROPOUT_RATE      
[2021-07-06 13:02:06] 0.5
[2021-07-06 13:02:06] CLASS_NUM         
[2021-07-06 13:02:06] 2
[2021-07-06 13:02:06] NUM_LAYERS        
[2021-07-06 13:02:06] 1
[2021-07-06 13:02:06] HIDDEN_DIM        
[2021-07-06 13:02:06] 144
[2021-07-06 13:02:06] EMBED_SIZE        
[2021-07-06 13:02:06] 128
[2021-07-06 13:02:06] BATCH_SIZE        
[2021-07-06 13:02:06] 50
[2021-07-06 13:02:06] CELL              
[2021-07-06 13:02:06] lstm
[2021-07-06 13:02:06] data_helper       
[2021-07-06 13:02:06] <data.DataHelper object at 0x0000020FA7B199E8>
[2021-07-06 13:02:10] epoch 1   training loss 0.6932    test loss 0.6932    train acc 0.4975    test acc 0.4995
[2021-07-06 13:02:11] epoch 2   training loss 0.6931    test loss 0.6928    train acc 0.5032    test acc 0.5140
[2021-07-06 13:02:13] epoch 3   training loss 0.6931    test loss 0.6926    train acc 0.5022    test acc 0.5125
[2021-07-06 13:02:14] epoch 4   training loss 0.6930    test loss 0.6926    train acc 0.5081    test acc 0.5155
[2021-07-06 13:02:16] epoch 5   training loss 0.6930    test loss 0.6926    train acc 0.5086    test acc 0.5070
[2021-07-06 13:02:17] epoch 6   training loss 0.6930    test loss 0.6924    train acc 0.5026    test acc 0.5185
[2021-07-06 13:02:19] epoch 7   training loss 0.6930    test loss 0.6923    train acc 0.5084    test acc 0.5245
[2021-07-06 13:02:20] epoch 8   training loss 0.6929    test loss 0.6923    train acc 0.5119    test acc 0.5155
[2021-07-06 13:02:22] epoch 9   training loss 0.6929    test loss 0.6922    train acc 0.5035    test acc 0.5195
[2021-07-06 13:02:23] epoch 10   training loss 0.6928    test loss 0.6922    train acc 0.5056    test acc 0.5155
[2021-07-06 13:02:25] epoch 11   training loss 0.6928    test loss 0.6921    train acc 0.5038    test acc 0.5200
[2021-07-06 13:02:26] epoch 12   training loss 0.6927    test loss 0.6920    train acc 0.5109    test acc 0.5170
[2021-07-06 13:02:28] epoch 13   training loss 0.6926    test loss 0.6920    train acc 0.5150    test acc 0.5270
[2021-07-06 13:02:30] epoch 14   training loss 0.6927    test loss 0.6919    train acc 0.5146    test acc 0.5315
[2021-07-06 13:02:31] epoch 15   training loss 0.6926    test loss 0.6919    train acc 0.5090    test acc 0.5275
[2021-07-06 13:02:33] epoch 16   training loss 0.6925    test loss 0.6918    train acc 0.5164    test acc 0.5280
[2021-07-06 13:02:34] epoch 17   training loss 0.6925    test loss 0.6917    train acc 0.5144    test acc 0.5305
[2021-07-06 13:02:36] epoch 18   training loss 0.6926    test loss 0.6917    train acc 0.5091    test acc 0.5315
[2021-07-06 13:02:37] epoch 19   training loss 0.6924    test loss 0.6917    train acc 0.5180    test acc 0.5190
[2021-07-06 13:02:39] epoch 20   training loss 0.6923    test loss 0.6917    train acc 0.5140    test acc 0.5230
[2021-07-06 13:02:40] epoch 21   training loss 0.6924    test loss 0.6915    train acc 0.5102    test acc 0.5360
[2021-07-06 13:02:42] epoch 22   training loss 0.6923    test loss 0.6916    train acc 0.5116    test acc 0.5195
[2021-07-06 13:02:43] epoch 23   training loss 0.6923    test loss 0.6914    train acc 0.5162    test acc 0.5355
[2021-07-06 13:02:45] epoch 24   training loss 0.6923    test loss 0.6914    train acc 0.5171    test acc 0.5290
[2021-07-06 13:02:46] epoch 25   training loss 0.6922    test loss 0.6913    train acc 0.5161    test acc 0.5245
[2021-07-06 13:02:48] epoch 26   training loss 0.6921    test loss 0.6912    train acc 0.5175    test acc 0.5375
[2021-07-06 13:02:50] epoch 27   training loss 0.6920    test loss 0.6911    train acc 0.5141    test acc 0.5400
[2021-07-06 13:02:51] epoch 28   training loss 0.6920    test loss 0.6911    train acc 0.5209    test acc 0.5295
[2021-07-06 13:02:53] epoch 29   training loss 0.6920    test loss 0.6910    train acc 0.5180    test acc 0.5375
[2021-07-06 13:02:54] epoch 30   training loss 0.6918    test loss 0.6914    train acc 0.5222    test acc 0.5150
[2021-07-06 13:02:56] epoch 31   training loss 0.6918    test loss 0.6909    train acc 0.5236    test acc 0.5320
[2021-07-06 13:02:57] epoch 32   training loss 0.6917    test loss 0.6909    train acc 0.5219    test acc 0.5270
[2021-07-06 13:02:59] epoch 33   training loss 0.6917    test loss 0.6911    train acc 0.5182    test acc 0.5210
[2021-07-06 13:03:00] epoch 34   training loss 0.6915    test loss 0.6907    train acc 0.5244    test acc 0.5300
[2021-07-06 13:03:02] epoch 35   training loss 0.6913    test loss 0.6904    train acc 0.5242    test acc 0.5405
