[2021-07-07 17:16:28] STOP              
[2021-07-07 17:16:28] 250
[2021-07-07 17:16:28] SAVE_EVERY        
[2021-07-07 17:16:28] 20
[2021-07-07 17:16:28] LEARNING_RATE     
[2021-07-07 17:16:28] 0.005
[2021-07-07 17:16:28] EPOCH             
[2021-07-07 17:16:28] 300
[2021-07-07 17:16:28] DROPOUT_RATE      
[2021-07-07 17:16:28] 0.2
[2021-07-07 17:16:28] CLASS_NUM         
[2021-07-07 17:16:28] 2
[2021-07-07 17:16:28] NUM_LAYERS        
[2021-07-07 17:16:28] 1
[2021-07-07 17:16:28] HIDDEN_DIM        
[2021-07-07 17:16:28] 256
[2021-07-07 17:16:28] EMBED_SIZE        
[2021-07-07 17:16:28] 128
[2021-07-07 17:16:28] BATCH_SIZE        
[2021-07-07 17:16:28] 50
[2021-07-07 17:16:28] CELL              
[2021-07-07 17:16:28] lstm
[2021-07-07 17:16:28] data_helper       
[2021-07-07 17:16:28] <data.DataHelper object at 0x000001C674E499E8>
[2021-07-07 17:16:32] epoch 1   training loss 0.6933    test loss 0.6926    train acc 0.4968    test acc 0.5265
[2021-07-07 17:16:34] epoch 2   training loss 0.6930    test loss 0.6931    train acc 0.5125    test acc 0.4980
[2021-07-07 17:16:36] epoch 3   training loss 0.6930    test loss 0.6928    train acc 0.5098    test acc 0.5135
[2021-07-07 17:16:38] epoch 4   training loss 0.6929    test loss 0.6929    train acc 0.5092    test acc 0.5115
[2021-07-07 17:16:40] epoch 5   training loss 0.6929    test loss 0.6930    train acc 0.5118    test acc 0.5080
[2021-07-07 17:16:42] epoch 6   training loss 0.6928    test loss 0.6930    train acc 0.5138    test acc 0.5060
[2021-07-07 17:16:44] epoch 7   training loss 0.6927    test loss 0.6930    train acc 0.5135    test acc 0.5055
[2021-07-07 17:16:47] epoch 8   training loss 0.6925    test loss 0.6927    train acc 0.5159    test acc 0.5215
[2021-07-07 17:16:49] epoch 9   training loss 0.6925    test loss 0.6930    train acc 0.5224    test acc 0.5015
[2021-07-07 17:16:51] epoch 10   training loss 0.6925    test loss 0.6929    train acc 0.5164    test acc 0.4965
[2021-07-07 17:16:52] epoch 11   training loss 0.6924    test loss 0.6932    train acc 0.5250    test acc 0.5045
[2021-07-07 17:16:54] epoch 12   training loss 0.6923    test loss 0.6929    train acc 0.5166    test acc 0.5040
[2021-07-07 17:16:56] epoch 13   training loss 0.6922    test loss 0.6929    train acc 0.5232    test acc 0.5005
[2021-07-07 17:16:58] epoch 14   training loss 0.6922    test loss 0.6932    train acc 0.5226    test acc 0.4990
[2021-07-07 17:17:00] epoch 15   training loss 0.6921    test loss 0.6930    train acc 0.5254    test acc 0.5000
[2021-07-07 17:17:02] epoch 16   training loss 0.6920    test loss 0.6929    train acc 0.5222    test acc 0.5040
[2021-07-07 17:17:04] epoch 17   training loss 0.6920    test loss 0.6929    train acc 0.5254    test acc 0.5080
[2021-07-07 17:17:06] epoch 18   training loss 0.6919    test loss 0.6932    train acc 0.5284    test acc 0.5020
[2021-07-07 17:17:08] epoch 19   training loss 0.6918    test loss 0.6935    train acc 0.5282    test acc 0.4950
[2021-07-07 17:17:10] epoch 20   training loss 0.6918    test loss 0.6932    train acc 0.5256    test acc 0.5025
[2021-07-07 17:17:12] epoch 21   training loss 0.6917    test loss 0.6933    train acc 0.5302    test acc 0.5005
[2021-07-07 17:17:14] epoch 22   training loss 0.6916    test loss 0.6934    train acc 0.5290    test acc 0.5045
[2021-07-07 17:17:17] epoch 23   training loss 0.6916    test loss 0.6931    train acc 0.5271    test acc 0.5040
[2021-07-07 17:17:19] epoch 24   training loss 0.6915    test loss 0.6932    train acc 0.5299    test acc 0.4990
[2021-07-07 17:17:21] epoch 25   training loss 0.6915    test loss 0.6932    train acc 0.5272    test acc 0.5000
[2021-07-07 17:17:23] epoch 26   training loss 0.6914    test loss 0.6932    train acc 0.5314    test acc 0.5045
[2021-07-07 17:17:25] epoch 27   training loss 0.6914    test loss 0.6935    train acc 0.5325    test acc 0.5000
[2021-07-07 17:17:27] epoch 28   training loss 0.6913    test loss 0.6933    train acc 0.5323    test acc 0.5025
[2021-07-07 17:17:29] epoch 29   training loss 0.6912    test loss 0.6934    train acc 0.5301    test acc 0.4995
[2021-07-07 17:17:31] epoch 30   training loss 0.6912    test loss 0.6935    train acc 0.5330    test acc 0.4965
[2021-07-07 17:17:33] epoch 31   training loss 0.6911    test loss 0.6935    train acc 0.5299    test acc 0.4970
[2021-07-07 17:17:35] epoch 32   training loss 0.6911    test loss 0.6935    train acc 0.5278    test acc 0.5015
[2021-07-07 17:17:37] epoch 33   training loss 0.6910    test loss 0.6937    train acc 0.5294    test acc 0.4975
[2021-07-07 17:17:39] epoch 34   training loss 0.6910    test loss 0.6937    train acc 0.5337    test acc 0.4965
[2021-07-07 17:17:41] epoch 35   training loss 0.6907    test loss 0.6939    train acc 0.5391    test acc 0.4935
[2021-07-07 17:17:43] epoch 36   training loss 0.6909    test loss 0.6936    train acc 0.5330    test acc 0.4995
[2021-07-07 17:17:45] epoch 37   training loss 0.6908    test loss 0.6935    train acc 0.5324    test acc 0.5030
[2021-07-07 17:17:47] epoch 38   training loss 0.6908    test loss 0.6937    train acc 0.5321    test acc 0.4990
