[2021-07-06 13:09:11] STOP              
[2021-07-06 13:09:11] 200
[2021-07-06 13:09:11] SAVE_EVERY        
[2021-07-06 13:09:11] 20
[2021-07-06 13:09:11] LEARNING_RATE     
[2021-07-06 13:09:11] 0.01
[2021-07-06 13:09:11] EPOCH             
[2021-07-06 13:09:11] 300
[2021-07-06 13:09:11] DROPOUT_RATE      
[2021-07-06 13:09:11] 0.5
[2021-07-06 13:09:11] CLASS_NUM         
[2021-07-06 13:09:11] 2
[2021-07-06 13:09:11] NUM_LAYERS        
[2021-07-06 13:09:11] 1
[2021-07-06 13:09:11] HIDDEN_DIM        
[2021-07-06 13:09:11] 144
[2021-07-06 13:09:11] EMBED_SIZE        
[2021-07-06 13:09:11] 128
[2021-07-06 13:09:11] BATCH_SIZE        
[2021-07-06 13:09:11] 50
[2021-07-06 13:09:11] CELL              
[2021-07-06 13:09:11] lstm
[2021-07-06 13:09:11] data_helper       
[2021-07-06 13:09:11] <data.DataHelper object at 0x000002509F6399E8>
[2021-07-06 13:09:15] epoch 1   training loss 0.6935    test loss 0.6930    train acc 0.5000    test acc 0.5035
[2021-07-06 13:09:17] epoch 2   training loss 0.6931    test loss 0.6931    train acc 0.5066    test acc 0.5095
[2021-07-06 13:09:18] epoch 3   training loss 0.6930    test loss 0.6927    train acc 0.5074    test acc 0.5175
[2021-07-06 13:09:20] epoch 4   training loss 0.6929    test loss 0.6926    train acc 0.5065    test acc 0.5045
[2021-07-06 13:09:22] epoch 5   training loss 0.6928    test loss 0.6926    train acc 0.5119    test acc 0.5025
[2021-07-06 13:09:23] epoch 6   training loss 0.6927    test loss 0.6926    train acc 0.5106    test acc 0.5040
[2021-07-06 13:09:25] epoch 7   training loss 0.6927    test loss 0.6923    train acc 0.5090    test acc 0.4975
[2021-07-06 13:09:26] epoch 8   training loss 0.6926    test loss 0.6921    train acc 0.5151    test acc 0.5290
[2021-07-06 13:09:28] epoch 9   training loss 0.6925    test loss 0.6921    train acc 0.5128    test acc 0.5050
[2021-07-06 13:09:30] epoch 10   training loss 0.6925    test loss 0.6920    train acc 0.5159    test acc 0.5070
[2021-07-06 13:09:31] epoch 11   training loss 0.6924    test loss 0.6921    train acc 0.5165    test acc 0.5070
[2021-07-06 13:09:33] epoch 12   training loss 0.6924    test loss 0.6918    train acc 0.5155    test acc 0.5145
[2021-07-06 13:09:34] epoch 13   training loss 0.6923    test loss 0.6916    train acc 0.5120    test acc 0.5180
[2021-07-06 13:09:36] epoch 14   training loss 0.6923    test loss 0.6916    train acc 0.5146    test acc 0.5150
[2021-07-06 13:09:37] epoch 15   training loss 0.6922    test loss 0.6916    train acc 0.5165    test acc 0.5170
[2021-07-06 13:09:39] epoch 16   training loss 0.6922    test loss 0.6915    train acc 0.5158    test acc 0.5205
[2021-07-06 13:09:40] epoch 17   training loss 0.6921    test loss 0.6914    train acc 0.5172    test acc 0.5165
[2021-07-06 13:09:42] epoch 18   training loss 0.6921    test loss 0.6913    train acc 0.5159    test acc 0.5165
[2021-07-06 13:09:43] epoch 19   training loss 0.6919    test loss 0.6916    train acc 0.5184    test acc 0.5145
[2021-07-06 13:09:45] epoch 20   training loss 0.6920    test loss 0.6912    train acc 0.5144    test acc 0.5145
[2021-07-06 13:09:47] epoch 21   training loss 0.6920    test loss 0.6911    train acc 0.5158    test acc 0.5180
[2021-07-06 13:09:48] epoch 22   training loss 0.6919    test loss 0.6910    train acc 0.5175    test acc 0.5170
[2021-07-06 13:09:50] epoch 23   training loss 0.6918    test loss 0.6909    train acc 0.5159    test acc 0.5330
[2021-07-06 13:09:51] epoch 24   training loss 0.6917    test loss 0.6908    train acc 0.5170    test acc 0.5300
[2021-07-06 13:09:53] epoch 25   training loss 0.6917    test loss 0.6908    train acc 0.5159    test acc 0.5215
[2021-07-06 13:09:54] epoch 26   training loss 0.6916    test loss 0.6907    train acc 0.5189    test acc 0.5215
[2021-07-06 13:09:56] epoch 27   training loss 0.6915    test loss 0.6910    train acc 0.5212    test acc 0.5280
[2021-07-06 13:09:58] epoch 28   training loss 0.6914    test loss 0.6905    train acc 0.5256    test acc 0.5305
[2021-07-06 13:09:59] epoch 29   training loss 0.6914    test loss 0.6904    train acc 0.5204    test acc 0.5215
[2021-07-06 13:10:01] epoch 30   training loss 0.6913    test loss 0.6904    train acc 0.5212    test acc 0.5255
[2021-07-06 13:10:02] epoch 31   training loss 0.6912    test loss 0.6903    train acc 0.5200    test acc 0.5240
[2021-07-06 13:10:04] epoch 32   training loss 0.6910    test loss 0.6903    train acc 0.5254    test acc 0.5270
[2021-07-06 13:10:05] epoch 33   training loss 0.6911    test loss 0.6901    train acc 0.5234    test acc 0.5280
[2021-07-06 13:10:07] epoch 34   training loss 0.6910    test loss 0.6900    train acc 0.5289    test acc 0.5320
[2021-07-06 13:10:08] epoch 35   training loss 0.6908    test loss 0.6903    train acc 0.5218    test acc 0.5295
[2021-07-06 13:10:10] epoch 36   training loss 0.6908    test loss 0.6898    train acc 0.5239    test acc 0.5355
[2021-07-06 13:10:12] epoch 37   training loss 0.6906    test loss 0.6899    train acc 0.5285    test acc 0.5335
[2021-07-06 13:10:13] epoch 38   training loss 0.6904    test loss 0.6898    train acc 0.5298    test acc 0.5305
[2021-07-06 13:10:15] epoch 39   training loss 0.6903    test loss 0.6896    train acc 0.5346    test acc 0.5270
[2021-07-06 13:10:16] epoch 40   training loss 0.6902    test loss 0.6893    train acc 0.5316    test acc 0.5425
[2021-07-06 13:10:18] epoch 41   training loss 0.6901    test loss 0.6891    train acc 0.5317    test acc 0.5425
[2021-07-06 13:10:19] epoch 42   training loss 0.6899    test loss 0.6891    train acc 0.5354    test acc 0.5365
[2021-07-06 13:10:21] epoch 43   training loss 0.6896    test loss 0.6892    train acc 0.5376    test acc 0.5315
[2021-07-06 13:10:22] epoch 44   training loss 0.6896    test loss 0.6888    train acc 0.5353    test acc 0.5365
[2021-07-06 13:10:24] epoch 45   training loss 0.6893    test loss 0.6884    train acc 0.5371    test acc 0.5470
[2021-07-06 13:10:25] epoch 46   training loss 0.6892    test loss 0.6883    train acc 0.5409    test acc 0.5475
[2021-07-06 13:10:27] epoch 47   training loss 0.6889    test loss 0.6881    train acc 0.5410    test acc 0.5495
[2021-07-06 13:10:29] epoch 48   training loss 0.6886    test loss 0.6878    train acc 0.5400    test acc 0.5520
