[2021-07-06 13:37:36] STOP              
[2021-07-06 13:37:36] 200
[2021-07-06 13:37:36] SAVE_EVERY        
[2021-07-06 13:37:36] 20
[2021-07-06 13:37:36] LEARNING_RATE     
[2021-07-06 13:37:36] 0.01
[2021-07-06 13:37:36] EPOCH             
[2021-07-06 13:37:36] 300
[2021-07-06 13:37:36] DROPOUT_RATE      
[2021-07-06 13:37:36] 0.5
[2021-07-06 13:37:36] CLASS_NUM         
[2021-07-06 13:37:36] 2
[2021-07-06 13:37:36] NUM_LAYERS        
[2021-07-06 13:37:36] 1
[2021-07-06 13:37:36] HIDDEN_DIM        
[2021-07-06 13:37:36] 144
[2021-07-06 13:37:36] EMBED_SIZE        
[2021-07-06 13:37:36] 128
[2021-07-06 13:37:36] BATCH_SIZE        
[2021-07-06 13:37:36] 50
[2021-07-06 13:37:36] CELL              
[2021-07-06 13:37:36] lstm
[2021-07-06 13:37:36] data_helper       
[2021-07-06 13:37:36] <data.DataHelper object at 0x0000023059D899E8>
[2021-07-06 13:37:40] epoch 1   training loss 0.6936    test loss 0.6932    train acc 0.4948    test acc 0.5010
[2021-07-06 13:37:42] epoch 2   training loss 0.6928    test loss 0.6924    train acc 0.5108    test acc 0.5340
[2021-07-06 13:37:43] epoch 3   training loss 0.6922    test loss 0.6929    train acc 0.5210    test acc 0.4970
[2021-07-06 13:37:45] epoch 4   training loss 0.6918    test loss 0.6929    train acc 0.5290    test acc 0.4965
[2021-07-06 13:37:46] epoch 5   training loss 0.6914    test loss 0.6916    train acc 0.5239    test acc 0.5255
[2021-07-06 13:37:48] epoch 6   training loss 0.6911    test loss 0.6921    train acc 0.5319    test acc 0.5125
[2021-07-06 13:37:49] epoch 7   training loss 0.6907    test loss 0.6916    train acc 0.5308    test acc 0.5215
[2021-07-06 13:37:51] epoch 8   training loss 0.6904    test loss 0.6913    train acc 0.5299    test acc 0.5305
[2021-07-06 13:37:52] epoch 9   training loss 0.6902    test loss 0.6917    train acc 0.5304    test acc 0.5175
[2021-07-06 13:37:54] epoch 10   training loss 0.6899    test loss 0.6912    train acc 0.5341    test acc 0.5240
[2021-07-06 13:37:56] epoch 11   training loss 0.6897    test loss 0.6917    train acc 0.5298    test acc 0.5190
[2021-07-06 13:37:57] epoch 12   training loss 0.6895    test loss 0.6910    train acc 0.5341    test acc 0.5245
[2021-07-06 13:37:59] epoch 13   training loss 0.6891    test loss 0.6903    train acc 0.5324    test acc 0.5355
[2021-07-06 13:38:00] epoch 14   training loss 0.6889    test loss 0.6900    train acc 0.5346    test acc 0.5335
[2021-07-06 13:38:02] epoch 15   training loss 0.6887    test loss 0.6906    train acc 0.5379    test acc 0.5220
[2021-07-06 13:38:03] epoch 16   training loss 0.6884    test loss 0.6894    train acc 0.5380    test acc 0.5370
[2021-07-06 13:38:05] epoch 17   training loss 0.6881    test loss 0.6901    train acc 0.5370    test acc 0.5275
[2021-07-06 13:38:07] epoch 18   training loss 0.6878    test loss 0.6894    train acc 0.5397    test acc 0.5335
[2021-07-06 13:38:09] epoch 19   training loss 0.6873    test loss 0.6884    train acc 0.5421    test acc 0.5400
[2021-07-06 13:38:10] epoch 20   training loss 0.6869    test loss 0.6880    train acc 0.5470    test acc 0.5410
[2021-07-06 13:38:12] epoch 21   training loss 0.6861    test loss 0.6870    train acc 0.5453    test acc 0.5525
[2021-07-06 13:38:14] epoch 22   training loss 0.6856    test loss 0.6873    train acc 0.5470    test acc 0.5290
[2021-07-06 13:38:16] epoch 23   training loss 0.6850    test loss 0.6861    train acc 0.5513    test acc 0.5390
[2021-07-06 13:38:17] epoch 24   training loss 0.6837    test loss 0.6853    train acc 0.5590    test acc 0.5405
[2021-07-06 13:38:19] epoch 25   training loss 0.6817    test loss 0.6810    train acc 0.5603    test acc 0.5680
[2021-07-06 13:38:21] epoch 26   training loss 0.6753    test loss 0.6675    train acc 0.5790    test acc 0.6015
[2021-07-06 13:38:23] epoch 27   training loss 0.6333    test loss 0.5933    train acc 0.6584    test acc 0.7140
[2021-07-06 13:38:25] epoch 28   training loss 0.6024    test loss 0.6006    train acc 0.6930    test acc 0.6885
[2021-07-06 13:38:26] epoch 29   training loss 0.5976    test loss 0.5842    train acc 0.6985    test acc 0.7175
[2021-07-06 13:38:28] epoch 30   training loss 0.5926    test loss 0.5816    train acc 0.7054    test acc 0.7170
[2021-07-06 13:38:30] epoch 31   training loss 0.5932    test loss 0.5842    train acc 0.7015    test acc 0.7110
[2021-07-06 13:38:31] epoch 32   training loss 0.5907    test loss 0.5789    train acc 0.7049    test acc 0.7205
[2021-07-06 13:38:33] epoch 33   training loss 0.5886    test loss 0.5771    train acc 0.7086    test acc 0.7205
[2021-07-06 13:38:34] epoch 34   training loss 0.5894    test loss 0.5766    train acc 0.7080    test acc 0.7250
[2021-07-06 13:38:36] epoch 35   training loss 0.5877    test loss 0.5761    train acc 0.7096    test acc 0.7210
[2021-07-06 13:38:38] epoch 36   training loss 0.5863    test loss 0.5780    train acc 0.7094    test acc 0.7155
[2021-07-06 13:38:39] epoch 37   training loss 0.5845    test loss 0.5723    train acc 0.7113    test acc 0.7245
[2021-07-06 13:38:41] epoch 38   training loss 0.5837    test loss 0.5700    train acc 0.7137    test acc 0.7265
[2021-07-06 13:38:42] epoch 39   training loss 0.5823    test loss 0.5666    train acc 0.7153    test acc 0.7320
[2021-07-06 13:38:44] epoch 40   training loss 0.5830    test loss 0.5747    train acc 0.7104    test acc 0.7255
[2021-07-06 13:38:46] epoch 41   training loss 0.5790    test loss 0.5651    train acc 0.7208    test acc 0.7335
[2021-07-06 13:38:47] epoch 42   training loss 0.5794    test loss 0.5714    train acc 0.7156    test acc 0.7210
[2021-07-06 13:38:49] epoch 43   training loss 0.5777    test loss 0.5581    train acc 0.7210    test acc 0.7440
[2021-07-06 13:38:50] epoch 44   training loss 0.5747    test loss 0.5551    train acc 0.7219    test acc 0.7455
[2021-07-06 13:38:52] epoch 45   training loss 0.5774    test loss 0.5601    train acc 0.7195    test acc 0.7325
[2021-07-06 13:38:54] epoch 46   training loss 0.5677    test loss 0.5483    train acc 0.7276    test acc 0.7510
[2021-07-06 13:38:55] epoch 47   training loss 0.5656    test loss 0.5483    train acc 0.7339    test acc 0.7460
[2021-07-06 13:38:57] epoch 48   training loss 0.5610    test loss 0.5989    train acc 0.7374    test acc 0.6900
[2021-07-06 13:38:58] epoch 49   training loss 0.5572    test loss 0.5481    train acc 0.7442    test acc 0.7455
[2021-07-06 13:39:00] epoch 50   training loss 0.5534    test loss 0.5388    train acc 0.7448    test acc 0.7570
[2021-07-06 13:39:02] epoch 51   training loss 0.5499    test loss 0.5386    train acc 0.7530    test acc 0.7670
[2021-07-06 13:39:03] epoch 52   training loss 0.5519    test loss 0.5944    train acc 0.7471    test acc 0.6970
[2021-07-06 13:39:05] epoch 53   training loss 0.5501    test loss 0.5477    train acc 0.7472    test acc 0.7520
[2021-07-06 13:39:06] epoch 54   training loss 0.5458    test loss 0.5361    train acc 0.7536    test acc 0.7685
[2021-07-06 13:39:08] epoch 55   training loss 0.5463    test loss 0.5332    train acc 0.7516    test acc 0.7660
[2021-07-06 13:39:09] epoch 56   training loss 0.5470    test loss 0.5341    train acc 0.7512    test acc 0.7615
[2021-07-06 13:39:11] epoch 57   training loss 0.5434    test loss 0.5322    train acc 0.7556    test acc 0.7680
[2021-07-06 13:39:13] epoch 58   training loss 0.5451    test loss 0.5325    train acc 0.7569    test acc 0.7700
[2021-07-06 13:39:14] epoch 59   training loss 0.5429    test loss 0.5343    train acc 0.7582    test acc 0.7600
[2021-07-06 13:39:16] epoch 60   training loss 0.5429    test loss 0.5336    train acc 0.7548    test acc 0.7615
[2021-07-06 13:39:17] epoch 61   training loss 0.5417    test loss 0.5357    train acc 0.7576    test acc 0.7625
[2021-07-06 13:39:19] epoch 62   training loss 0.5413    test loss 0.5372    train acc 0.7576    test acc 0.7605
[2021-07-06 13:39:20] epoch 63   training loss 0.5400    test loss 0.5318    train acc 0.7618    test acc 0.7750
[2021-07-06 13:39:22] epoch 64   training loss 0.5405    test loss 0.5344    train acc 0.7585    test acc 0.7655
