[2021-07-06 16:58:04] STOP              
[2021-07-06 16:58:04] 500
[2021-07-06 16:58:04] SAVE_EVERY        
[2021-07-06 16:58:04] 20
[2021-07-06 16:58:04] LEARNING_RATE     
[2021-07-06 16:58:04] 0.005
[2021-07-06 16:58:04] EPOCH             
[2021-07-06 16:58:04] 500
[2021-07-06 16:58:04] DROPOUT_RATE      
[2021-07-06 16:58:04] 0.2
[2021-07-06 16:58:04] CLASS_NUM         
[2021-07-06 16:58:04] 2
[2021-07-06 16:58:04] NUM_LAYERS        
[2021-07-06 16:58:04] 1
[2021-07-06 16:58:04] HIDDEN_DIM        
[2021-07-06 16:58:04] 256
[2021-07-06 16:58:04] EMBED_SIZE        
[2021-07-06 16:58:04] 128
[2021-07-06 16:58:04] BATCH_SIZE        
[2021-07-06 16:58:04] 50
[2021-07-06 16:58:04] CELL              
[2021-07-06 16:58:04] lstm
[2021-07-06 16:58:04] data_helper       
[2021-07-06 16:58:04] <data.DataHelper object at 0x0000025790F099E8>
[2021-07-06 16:58:08] epoch 1   training loss 0.6935    test loss 0.6933    train acc 0.4998    test acc 0.4845
[2021-07-06 16:58:10] epoch 2   training loss 0.6933    test loss 0.6931    train acc 0.4978    test acc 0.4890
[2021-07-06 16:58:12] epoch 3   training loss 0.6930    test loss 0.6928    train acc 0.4966    test acc 0.5115
[2021-07-06 16:58:14] epoch 4   training loss 0.6927    test loss 0.6924    train acc 0.5079    test acc 0.5320
[2021-07-06 16:58:16] epoch 5   training loss 0.6924    test loss 0.6922    train acc 0.5216    test acc 0.5355
[2021-07-06 16:58:18] epoch 6   training loss 0.6921    test loss 0.6921    train acc 0.5310    test acc 0.5285
[2021-07-06 16:58:20] epoch 7   training loss 0.6918    test loss 0.6918    train acc 0.5226    test acc 0.5330
[2021-07-06 16:58:22] epoch 8   training loss 0.6916    test loss 0.6916    train acc 0.5344    test acc 0.5370
[2021-07-06 16:58:23] epoch 9   training loss 0.6913    test loss 0.6915    train acc 0.5383    test acc 0.5415
[2021-07-06 16:58:25] epoch 10   training loss 0.6910    test loss 0.6912    train acc 0.5409    test acc 0.5465
[2021-07-06 16:58:27] epoch 11   training loss 0.6907    test loss 0.6910    train acc 0.5417    test acc 0.5445
[2021-07-06 16:58:29] epoch 12   training loss 0.6905    test loss 0.6906    train acc 0.5443    test acc 0.5475
[2021-07-06 16:58:31] epoch 13   training loss 0.6902    test loss 0.6904    train acc 0.5476    test acc 0.5450
[2021-07-06 16:58:33] epoch 14   training loss 0.6899    test loss 0.6903    train acc 0.5504    test acc 0.5480
[2021-07-06 16:58:35] epoch 15   training loss 0.6896    test loss 0.6899    train acc 0.5497    test acc 0.5475
[2021-07-06 16:58:37] epoch 16   training loss 0.6893    test loss 0.6899    train acc 0.5507    test acc 0.5490
[2021-07-06 16:58:39] epoch 17   training loss 0.6890    test loss 0.6897    train acc 0.5514    test acc 0.5480
[2021-07-06 16:58:41] epoch 18   training loss 0.6888    test loss 0.6891    train acc 0.5535    test acc 0.5450
[2021-07-06 16:58:43] epoch 19   training loss 0.6885    test loss 0.6889    train acc 0.5504    test acc 0.5455
[2021-07-06 16:58:45] epoch 20   training loss 0.6882    test loss 0.6886    train acc 0.5549    test acc 0.5485
[2021-07-06 16:58:47] epoch 21   training loss 0.6879    test loss 0.6885    train acc 0.5556    test acc 0.5505
[2021-07-06 16:58:48] epoch 22   training loss 0.6875    test loss 0.6880    train acc 0.5545    test acc 0.5490
[2021-07-06 16:58:50] epoch 23   training loss 0.6872    test loss 0.6880    train acc 0.5599    test acc 0.5510
[2021-07-06 16:58:52] epoch 24   training loss 0.6870    test loss 0.6876    train acc 0.5534    test acc 0.5485
[2021-07-06 16:58:54] epoch 25   training loss 0.6866    test loss 0.6873    train acc 0.5519    test acc 0.5470
[2021-07-06 16:58:56] epoch 26   training loss 0.6863    test loss 0.6870    train acc 0.5534    test acc 0.5500
[2021-07-06 16:58:58] epoch 27   training loss 0.6859    test loss 0.6866    train acc 0.5557    test acc 0.5530
[2021-07-06 16:59:00] epoch 28   training loss 0.6857    test loss 0.6865    train acc 0.5554    test acc 0.5530
[2021-07-06 16:59:02] epoch 29   training loss 0.6854    test loss 0.6862    train acc 0.5571    test acc 0.5515
