[2021-07-06 23:19:49] STOP              
[2021-07-06 23:19:49] 250
[2021-07-06 23:19:49] SAVE_EVERY        
[2021-07-06 23:19:49] 20
[2021-07-06 23:19:49] LEARNING_RATE     
[2021-07-06 23:19:49] 0.005
[2021-07-06 23:19:49] EPOCH             
[2021-07-06 23:19:49] 300
[2021-07-06 23:19:49] DROPOUT_RATE      
[2021-07-06 23:19:49] 0.2
[2021-07-06 23:19:49] CLASS_NUM         
[2021-07-06 23:19:49] 2
[2021-07-06 23:19:49] NUM_LAYERS        
[2021-07-06 23:19:49] 1
[2021-07-06 23:19:49] HIDDEN_DIM        
[2021-07-06 23:19:49] 256
[2021-07-06 23:19:49] EMBED_SIZE        
[2021-07-06 23:19:49] 128
[2021-07-06 23:19:49] BATCH_SIZE        
[2021-07-06 23:19:49] 50
[2021-07-06 23:19:49] CELL              
[2021-07-06 23:19:49] lstm
[2021-07-06 23:19:49] data_helper       
[2021-07-06 23:19:49] <data.DataHelper object at 0x000001CDE63599E8>
[2021-07-06 23:19:55] epoch 1   training loss 0.6928    test loss 0.6928    train acc 0.5165    test acc 0.5085
[2021-07-06 23:19:59] epoch 2   training loss 0.6923    test loss 0.6924    train acc 0.5311    test acc 0.5255
[2021-07-06 23:20:03] epoch 3   training loss 0.6920    test loss 0.6921    train acc 0.5379    test acc 0.5265
[2021-07-06 23:20:07] epoch 4   training loss 0.6916    test loss 0.6919    train acc 0.5404    test acc 0.5325
[2021-07-06 23:20:11] epoch 5   training loss 0.6912    test loss 0.6915    train acc 0.5480    test acc 0.5340
[2021-07-06 23:20:15] epoch 6   training loss 0.6908    test loss 0.6913    train acc 0.5491    test acc 0.5330
[2021-07-06 23:20:19] epoch 7   training loss 0.6905    test loss 0.6910    train acc 0.5491    test acc 0.5385
[2021-07-06 23:20:23] epoch 8   training loss 0.6901    test loss 0.6906    train acc 0.5554    test acc 0.5425
[2021-07-06 23:20:27] epoch 9   training loss 0.6896    test loss 0.6904    train acc 0.5557    test acc 0.5410
[2021-07-06 23:20:30] epoch 10   training loss 0.6893    test loss 0.6901    train acc 0.5564    test acc 0.5440
[2021-07-06 23:20:34] epoch 11   training loss 0.6889    test loss 0.6897    train acc 0.5623    test acc 0.5485
