[2021-07-06 14:06:19] STOP              
[2021-07-06 14:06:19] 200
[2021-07-06 14:06:19] SAVE_EVERY        
[2021-07-06 14:06:19] 20
[2021-07-06 14:06:19] LEARNING_RATE     
[2021-07-06 14:06:19] 0.01
[2021-07-06 14:06:19] EPOCH             
[2021-07-06 14:06:19] 300
[2021-07-06 14:06:19] DROPOUT_RATE      
[2021-07-06 14:06:19] 0.5
[2021-07-06 14:06:19] CLASS_NUM         
[2021-07-06 14:06:19] 2
[2021-07-06 14:06:19] NUM_LAYERS        
[2021-07-06 14:06:19] 1
[2021-07-06 14:06:19] HIDDEN_DIM        
[2021-07-06 14:06:19] 144
[2021-07-06 14:06:19] EMBED_SIZE        
[2021-07-06 14:06:19] 128
[2021-07-06 14:06:19] BATCH_SIZE        
[2021-07-06 14:06:19] 50
[2021-07-06 14:06:19] CELL              
[2021-07-06 14:06:19] lstm
[2021-07-06 14:06:19] data_helper       
[2021-07-06 14:06:19] <data.DataHelper object at 0x00000252FD4D99E8>
[2021-07-06 14:06:23] epoch 1   training loss 0.6936    test loss 0.6924    train acc 0.4954    test acc 0.5395
[2021-07-06 14:06:24] epoch 2   training loss 0.6916    test loss 0.6909    train acc 0.5319    test acc 0.5470
[2021-07-06 14:06:26] epoch 3   training loss 0.6898    test loss 0.6895    train acc 0.5593    test acc 0.5550
[2021-07-06 14:06:27] epoch 4   training loss 0.6881    test loss 0.6880    train acc 0.5649    test acc 0.5520
[2021-07-06 14:06:29] epoch 5   training loss 0.6862    test loss 0.6866    train acc 0.5630    test acc 0.5625
[2021-07-06 14:06:30] epoch 6   training loss 0.6846    test loss 0.6851    train acc 0.5693    test acc 0.5580
[2021-07-06 14:06:32] epoch 7   training loss 0.6827    test loss 0.6837    train acc 0.5719    test acc 0.5590
[2021-07-06 14:06:34] epoch 8   training loss 0.6811    test loss 0.6824    train acc 0.5703    test acc 0.5605
[2021-07-06 14:06:35] epoch 9   training loss 0.6797    test loss 0.6812    train acc 0.5764    test acc 0.5630
[2021-07-06 14:06:37] epoch 10   training loss 0.6784    test loss 0.6801    train acc 0.5721    test acc 0.5640
[2021-07-06 14:06:38] epoch 11   training loss 0.6772    test loss 0.6791    train acc 0.5774    test acc 0.5660
[2021-07-06 14:06:40] epoch 12   training loss 0.6762    test loss 0.6780    train acc 0.5746    test acc 0.5675
[2021-07-06 14:06:42] epoch 13   training loss 0.6751    test loss 0.6768    train acc 0.5776    test acc 0.5710
[2021-07-06 14:06:43] epoch 14   training loss 0.6739    test loss 0.6757    train acc 0.5783    test acc 0.5675
[2021-07-06 14:06:45] epoch 15   training loss 0.6727    test loss 0.6736    train acc 0.5797    test acc 0.5725
[2021-07-06 14:06:46] epoch 16   training loss 0.6709    test loss 0.6708    train acc 0.5833    test acc 0.5860
[2021-07-06 14:06:48] epoch 17   training loss 0.6681    test loss 0.6667    train acc 0.5895    test acc 0.5835
[2021-07-06 14:06:49] epoch 18   training loss 0.6615    test loss 0.6528    train acc 0.6009    test acc 0.6265
[2021-07-06 14:06:51] epoch 19   training loss 0.6137    test loss 0.5655    train acc 0.6744    test acc 0.7350
[2021-07-06 14:06:53] epoch 20   training loss 0.5569    test loss 0.5523    train acc 0.7434    test acc 0.7535
[2021-07-06 14:06:54] epoch 21   training loss 0.5477    test loss 0.5437    train acc 0.7540    test acc 0.7495
[2021-07-06 14:06:56] epoch 22   training loss 0.5482    test loss 0.5413    train acc 0.7518    test acc 0.7535
[2021-07-06 14:06:58] epoch 23   training loss 0.5445    test loss 0.5342    train acc 0.7555    test acc 0.7700
[2021-07-06 14:06:59] epoch 24   training loss 0.5445    test loss 0.5330    train acc 0.7565    test acc 0.7695
[2021-07-06 14:07:01] epoch 25   training loss 0.5444    test loss 0.5323    train acc 0.7545    test acc 0.7740
[2021-07-06 14:07:03] epoch 26   training loss 0.5441    test loss 0.5342    train acc 0.7548    test acc 0.7695
[2021-07-06 14:07:04] epoch 27   training loss 0.5426    test loss 0.5337    train acc 0.7585    test acc 0.7640
[2021-07-06 14:07:06] epoch 28   training loss 0.5415    test loss 0.5324    train acc 0.7606    test acc 0.7680
[2021-07-06 14:07:08] epoch 29   training loss 0.5395    test loss 0.5299    train acc 0.7629    test acc 0.7730
[2021-07-06 14:07:09] epoch 30   training loss 0.5394    test loss 0.5330    train acc 0.7609    test acc 0.7695
[2021-07-06 14:07:11] epoch 31   training loss 0.5389    test loss 0.5274    train acc 0.7624    test acc 0.7765
[2021-07-06 14:07:12] epoch 32   training loss 0.5385    test loss 0.5466    train acc 0.7635    test acc 0.7490
[2021-07-06 14:07:14] epoch 33   training loss 0.5360    test loss 0.5254    train acc 0.7679    test acc 0.7775
[2021-07-06 14:07:16] epoch 34   training loss 0.5365    test loss 0.5273    train acc 0.7629    test acc 0.7725
[2021-07-06 14:07:17] epoch 35   training loss 0.5354    test loss 0.5221    train acc 0.7689    test acc 0.7805
[2021-07-06 14:07:19] epoch 36   training loss 0.5349    test loss 0.5220    train acc 0.7654    test acc 0.7790
[2021-07-06 14:07:21] epoch 37   training loss 0.5313    test loss 0.5241    train acc 0.7722    test acc 0.7805
[2021-07-06 14:07:22] epoch 38   training loss 0.5265    test loss 0.5152    train acc 0.7760    test acc 0.7845
[2021-07-06 14:07:24] epoch 39   training loss 0.5231    test loss 0.5264    train acc 0.7810    test acc 0.7725
[2021-07-06 14:07:26] epoch 40   training loss 0.5214    test loss 0.5117    train acc 0.7854    test acc 0.7870
[2021-07-06 14:07:27] epoch 41   training loss 0.5220    test loss 0.5139    train acc 0.7820    test acc 0.7875
[2021-07-06 14:07:29] epoch 42   training loss 0.5195    test loss 0.5201    train acc 0.7825    test acc 0.7820
[2021-07-06 14:07:31] epoch 43   training loss 0.5152    test loss 0.5208    train acc 0.7883    test acc 0.7825
[2021-07-06 14:07:32] epoch 44   training loss 0.5180    test loss 0.5091    train acc 0.7873    test acc 0.7900
[2021-07-06 14:07:34] epoch 45   training loss 0.5145    test loss 0.5149    train acc 0.7911    test acc 0.7860
[2021-07-06 14:07:35] epoch 46   training loss 0.5148    test loss 0.5102    train acc 0.7909    test acc 0.7920
[2021-07-06 14:07:37] epoch 47   training loss 0.5144    test loss 0.5073    train acc 0.7911    test acc 0.7920
[2021-07-06 14:07:39] epoch 48   training loss 0.5141    test loss 0.5051    train acc 0.7903    test acc 0.7915
[2021-07-06 14:07:40] epoch 49   training loss 0.5116    test loss 0.5044    train acc 0.7920    test acc 0.7940
[2021-07-06 14:07:42] epoch 50   training loss 0.5111    test loss 0.5123    train acc 0.7941    test acc 0.7895
[2021-07-06 14:07:44] epoch 51   training loss 0.5118    test loss 0.5046    train acc 0.7913    test acc 0.7975
[2021-07-06 14:07:45] epoch 52   training loss 0.5109    test loss 0.5081    train acc 0.7911    test acc 0.8010
[2021-07-06 14:07:47] epoch 53   training loss 0.5100    test loss 0.5028    train acc 0.7951    test acc 0.7975
[2021-07-06 14:07:48] epoch 54   training loss 0.5115    test loss 0.5148    train acc 0.7907    test acc 0.7850
[2021-07-06 14:07:50] epoch 55   training loss 0.5105    test loss 0.5029    train acc 0.7933    test acc 0.7955
[2021-07-06 14:07:52] epoch 56   training loss 0.5096    test loss 0.5036    train acc 0.7923    test acc 0.7970
[2021-07-06 14:07:53] epoch 57   training loss 0.5096    test loss 0.5023    train acc 0.7930    test acc 0.7975
[2021-07-06 14:07:55] epoch 58   training loss 0.5088    test loss 0.5088    train acc 0.7947    test acc 0.7935
