[2021-07-07 15:34:50] STOP              
[2021-07-07 15:34:50] 250
[2021-07-07 15:34:50] SAVE_EVERY        
[2021-07-07 15:34:50] 20
[2021-07-07 15:34:50] LEARNING_RATE     
[2021-07-07 15:34:50] 0.005
[2021-07-07 15:34:50] EPOCH             
[2021-07-07 15:34:50] 300
[2021-07-07 15:34:50] DROPOUT_RATE      
[2021-07-07 15:34:50] 0.2
[2021-07-07 15:34:50] CLASS_NUM         
[2021-07-07 15:34:50] 2
[2021-07-07 15:34:50] NUM_LAYERS        
[2021-07-07 15:34:50] 1
[2021-07-07 15:34:50] HIDDEN_DIM        
[2021-07-07 15:34:50] 256
[2021-07-07 15:34:50] EMBED_SIZE        
[2021-07-07 15:34:50] 128
[2021-07-07 15:34:50] BATCH_SIZE        
[2021-07-07 15:34:50] 50
[2021-07-07 15:34:50] CELL              
[2021-07-07 15:34:50] lstm
[2021-07-07 15:34:50] data_helper       
[2021-07-07 15:34:50] <data.DataHelper object at 0x000001A5928E99E8>
[2021-07-07 15:34:55] epoch 1   training loss 0.6934    test loss 0.6925    train acc 0.5011    test acc 0.5330
[2021-07-07 15:34:57] epoch 2   training loss 0.6926    test loss 0.6920    train acc 0.5181    test acc 0.5355
[2021-07-07 15:34:59] epoch 3   training loss 0.6919    test loss 0.6913    train acc 0.5377    test acc 0.5545
[2021-07-07 15:35:01] epoch 4   training loss 0.6913    test loss 0.6907    train acc 0.5480    test acc 0.5525
[2021-07-07 15:35:03] epoch 5   training loss 0.6907    test loss 0.6902    train acc 0.5555    test acc 0.5605
[2021-07-07 15:35:04] epoch 6   training loss 0.6900    test loss 0.6897    train acc 0.5587    test acc 0.5515
[2021-07-07 15:35:06] epoch 7   training loss 0.6894    test loss 0.6891    train acc 0.5620    test acc 0.5605
[2021-07-07 15:35:08] epoch 8   training loss 0.6888    test loss 0.6885    train acc 0.5625    test acc 0.5585
[2021-07-07 15:35:10] epoch 9   training loss 0.6881    test loss 0.6878    train acc 0.5680    test acc 0.5685
[2021-07-07 15:35:12] epoch 10   training loss 0.6873    test loss 0.6871    train acc 0.5661    test acc 0.5640
[2021-07-07 15:35:14] epoch 11   training loss 0.6866    test loss 0.6865    train acc 0.5717    test acc 0.5650
[2021-07-07 15:35:17] epoch 12   training loss 0.6859    test loss 0.6858    train acc 0.5733    test acc 0.5705
[2021-07-07 15:35:19] epoch 13   training loss 0.6851    test loss 0.6852    train acc 0.5726    test acc 0.5650
[2021-07-07 15:35:21] epoch 14   training loss 0.6843    test loss 0.6843    train acc 0.5770    test acc 0.5695
[2021-07-07 15:35:23] epoch 15   training loss 0.6835    test loss 0.6838    train acc 0.5715    test acc 0.5645
[2021-07-07 15:35:25] epoch 16   training loss 0.6827    test loss 0.6828    train acc 0.5781    test acc 0.5690
[2021-07-07 15:35:27] epoch 17   training loss 0.6818    test loss 0.6821    train acc 0.5735    test acc 0.5715
[2021-07-07 15:35:29] epoch 18   training loss 0.6810    test loss 0.6813    train acc 0.5760    test acc 0.5715
[2021-07-07 15:35:31] epoch 19   training loss 0.6801    test loss 0.6806    train acc 0.5760    test acc 0.5710
[2021-07-07 15:35:33] epoch 20   training loss 0.6792    test loss 0.6798    train acc 0.5794    test acc 0.5680
[2021-07-07 15:35:35] epoch 21   training loss 0.6785    test loss 0.6791    train acc 0.5750    test acc 0.5725
[2021-07-07 15:35:37] epoch 22   training loss 0.6775    test loss 0.6783    train acc 0.5780    test acc 0.5725
[2021-07-07 15:35:39] epoch 23   training loss 0.6767    test loss 0.6776    train acc 0.5771    test acc 0.5725
[2021-07-07 15:35:41] epoch 24   training loss 0.6758    test loss 0.6769    train acc 0.5787    test acc 0.5730
[2021-07-07 15:35:43] epoch 25   training loss 0.6751    test loss 0.6765    train acc 0.5781    test acc 0.5765
[2021-07-07 15:35:45] epoch 26   training loss 0.6742    test loss 0.6756    train acc 0.5813    test acc 0.5740
[2021-07-07 15:35:47] epoch 27   training loss 0.6734    test loss 0.6751    train acc 0.5816    test acc 0.5775
[2021-07-07 15:35:49] epoch 28   training loss 0.6727    test loss 0.6744    train acc 0.5833    test acc 0.5780
[2021-07-07 15:35:51] epoch 29   training loss 0.6719    test loss 0.6740    train acc 0.5854    test acc 0.5805
[2021-07-07 15:35:53] epoch 30   training loss 0.6712    test loss 0.6733    train acc 0.5857    test acc 0.5810
[2021-07-07 15:35:55] epoch 31   training loss 0.6704    test loss 0.6725    train acc 0.5864    test acc 0.5800
[2021-07-07 15:35:57] epoch 32   training loss 0.6696    test loss 0.6719    train acc 0.5876    test acc 0.5800
[2021-07-07 15:35:59] epoch 33   training loss 0.6690    test loss 0.6713    train acc 0.5885    test acc 0.5810
[2021-07-07 15:36:01] epoch 34   training loss 0.6682    test loss 0.6707    train acc 0.5870    test acc 0.5830
[2021-07-07 15:36:03] epoch 35   training loss 0.6674    test loss 0.6702    train acc 0.5913    test acc 0.5805
[2021-07-07 15:36:05] epoch 36   training loss 0.6666    test loss 0.6698    train acc 0.5933    test acc 0.5805
[2021-07-07 15:36:07] epoch 37   training loss 0.6659    test loss 0.6689    train acc 0.5926    test acc 0.5830
[2021-07-07 15:36:09] epoch 38   training loss 0.6650    test loss 0.6681    train acc 0.5925    test acc 0.5835
[2021-07-07 15:36:11] epoch 39   training loss 0.6641    test loss 0.6672    train acc 0.5968    test acc 0.5825
[2021-07-07 15:36:13] epoch 40   training loss 0.6632    test loss 0.6665    train acc 0.6005    test acc 0.5865
[2021-07-07 15:36:15] epoch 41   training loss 0.6623    test loss 0.6659    train acc 0.5998    test acc 0.5900
[2021-07-07 15:36:17] epoch 42   training loss 0.6613    test loss 0.6645    train acc 0.6039    test acc 0.5910
[2021-07-07 15:36:19] epoch 43   training loss 0.6602    test loss 0.6637    train acc 0.6052    test acc 0.5915
[2021-07-07 15:36:21] epoch 44   training loss 0.6589    test loss 0.6628    train acc 0.6074    test acc 0.5905
[2021-07-07 15:36:23] epoch 45   training loss 0.6577    test loss 0.6611    train acc 0.6088    test acc 0.5970
[2021-07-07 15:36:25] epoch 46   training loss 0.6561    test loss 0.6594    train acc 0.6135    test acc 0.6025
[2021-07-07 15:36:27] epoch 47   training loss 0.6544    test loss 0.6577    train acc 0.6178    test acc 0.6090
[2021-07-07 15:36:29] epoch 48   training loss 0.6525    test loss 0.6555    train acc 0.6215    test acc 0.6145
[2021-07-07 15:36:31] epoch 49   training loss 0.6503    test loss 0.6531    train acc 0.6228    test acc 0.6155
[2021-07-07 15:36:33] epoch 50   training loss 0.6475    test loss 0.6499    train acc 0.6252    test acc 0.6215
[2021-07-07 15:36:35] epoch 51   training loss 0.6440    test loss 0.6467    train acc 0.6342    test acc 0.6270
[2021-07-07 15:36:37] epoch 52   training loss 0.6395    test loss 0.6402    train acc 0.6399    test acc 0.6400
[2021-07-07 15:36:39] epoch 53   training loss 0.6329    test loss 0.6318    train acc 0.6478    test acc 0.6540
[2021-07-07 15:36:41] epoch 54   training loss 0.6223    test loss 0.6164    train acc 0.6603    test acc 0.6750
[2021-07-07 15:36:43] epoch 55   training loss 0.5994    test loss 0.5819    train acc 0.6905    test acc 0.7130
[2021-07-07 15:36:45] epoch 56   training loss 0.5493    test loss 0.5334    train acc 0.7554    test acc 0.7770
[2021-07-07 15:36:48] epoch 57   training loss 0.5985    test loss 0.5404    train acc 0.7049    test acc 0.7620
[2021-07-07 15:36:50] epoch 58   training loss 0.5379    test loss 0.5468    train acc 0.7671    test acc 0.7565
[2021-07-07 15:36:52] epoch 59   training loss 0.6398    test loss 0.7988    train acc 0.6667    test acc 0.5080
[2021-07-07 15:36:54] epoch 60   training loss 0.5891    test loss 0.5373    train acc 0.7143    test acc 0.7705
[2021-07-07 15:36:56] epoch 61   training loss 0.5540    test loss 0.5314    train acc 0.7509    test acc 0.7755
[2021-07-07 15:36:58] epoch 62   training loss 0.5635    test loss 0.5352    train acc 0.7410    test acc 0.7730
[2021-07-07 15:37:00] epoch 63   training loss 0.7373    test loss 0.8172    train acc 0.5726    test acc 0.4955
[2021-07-07 15:37:02] epoch 64   training loss 0.8136    test loss 0.8171    train acc 0.4991    test acc 0.4955
[2021-07-07 15:37:04] epoch 65   training loss 0.8134    test loss 0.8170    train acc 0.4991    test acc 0.4955
[2021-07-07 15:37:06] epoch 66   training loss 0.8132    test loss 0.8166    train acc 0.4994    test acc 0.4965
[2021-07-07 15:37:08] epoch 67   training loss 0.8128    test loss 0.8164    train acc 0.4998    test acc 0.4965
[2021-07-07 15:37:10] epoch 68   training loss 0.8125    test loss 0.8164    train acc 0.5004    test acc 0.4965
[2021-07-07 15:37:12] epoch 69   training loss 0.8124    test loss 0.8164    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:14] epoch 70   training loss 0.8123    test loss 0.8164    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:16] epoch 71   training loss 0.8123    test loss 0.8164    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:18] epoch 72   training loss 0.8123    test loss 0.8164    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:20] epoch 73   training loss 0.8123    test loss 0.8164    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:22] epoch 74   training loss 0.8122    test loss 0.8163    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:24] epoch 75   training loss 0.8122    test loss 0.8163    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:26] epoch 76   training loss 0.8122    test loss 0.8162    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:28] epoch 77   training loss 0.8121    test loss 0.8162    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:30] epoch 78   training loss 0.8121    test loss 0.8161    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:32] epoch 79   training loss 0.8120    test loss 0.8160    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:34] epoch 80   training loss 0.8119    test loss 0.8159    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:36] epoch 81   training loss 0.8118    test loss 0.8158    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:38] epoch 82   training loss 0.8116    test loss 0.8156    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:40] epoch 83   training loss 0.8114    test loss 0.8154    train acc 0.5006    test acc 0.4965
[2021-07-07 15:37:42] epoch 84   training loss 0.8111    test loss 0.8149    train acc 0.5005    test acc 0.4965
[2021-07-07 15:37:44] epoch 85   training loss 0.8106    test loss 0.8142    train acc 0.5005    test acc 0.4965
[2021-07-07 15:37:46] epoch 86   training loss 0.8094    test loss 0.8124    train acc 0.5004    test acc 0.4965
[2021-07-07 15:37:48] epoch 87   training loss 0.8047    test loss 0.8011    train acc 0.4996    test acc 0.4950
[2021-07-07 15:37:50] epoch 88   training loss 0.7251    test loss 0.6445    train acc 0.5451    test acc 0.6350
[2021-07-07 15:37:52] epoch 89   training loss 0.6206    test loss 0.5920    train acc 0.6713    test acc 0.7090
[2021-07-07 15:37:54] epoch 90   training loss 0.5613    test loss 0.5502    train acc 0.7465    test acc 0.7495
[2021-07-07 15:37:56] epoch 91   training loss 0.5367    test loss 0.5451    train acc 0.7710    test acc 0.7585
[2021-07-07 15:37:58] epoch 92   training loss 0.5256    test loss 0.5279    train acc 0.7831    test acc 0.7750
[2021-07-07 15:38:00] epoch 93   training loss 0.5164    test loss 0.5271    train acc 0.7906    test acc 0.7775
