[2021-07-06 14:19:33] STOP              
[2021-07-06 14:19:33] 200
[2021-07-06 14:19:33] SAVE_EVERY        
[2021-07-06 14:19:33] 20
[2021-07-06 14:19:33] LEARNING_RATE     
[2021-07-06 14:19:33] 0.01
[2021-07-06 14:19:33] EPOCH             
[2021-07-06 14:19:33] 300
[2021-07-06 14:19:33] DROPOUT_RATE      
[2021-07-06 14:19:33] 0.5
[2021-07-06 14:19:33] CLASS_NUM         
[2021-07-06 14:19:33] 2
[2021-07-06 14:19:33] NUM_LAYERS        
[2021-07-06 14:19:33] 1
[2021-07-06 14:19:33] HIDDEN_DIM        
[2021-07-06 14:19:33] 144
[2021-07-06 14:19:33] EMBED_SIZE        
[2021-07-06 14:19:33] 128
[2021-07-06 14:19:33] BATCH_SIZE        
[2021-07-06 14:19:33] 50
[2021-07-06 14:19:33] CELL              
[2021-07-06 14:19:33] lstm
[2021-07-06 14:19:33] data_helper       
[2021-07-06 14:19:33] <data.DataHelper object at 0x0000016107FE99E8>
[2021-07-06 14:19:37] epoch 1   training loss 0.6940    test loss 0.6922    train acc 0.4993    test acc 0.5360
[2021-07-06 14:19:39] epoch 2   training loss 0.6905    test loss 0.6889    train acc 0.5574    test acc 0.5685
[2021-07-06 14:19:40] epoch 3   training loss 0.6873    test loss 0.6859    train acc 0.5739    test acc 0.5720
[2021-07-06 14:19:42] epoch 4   training loss 0.6842    test loss 0.6829    train acc 0.5727    test acc 0.5755
[2021-07-06 14:19:44] epoch 5   training loss 0.6809    test loss 0.6804    train acc 0.5775    test acc 0.5800
[2021-07-06 14:19:45] epoch 6   training loss 0.6778    test loss 0.6772    train acc 0.5816    test acc 0.5790
[2021-07-06 14:19:47] epoch 7   training loss 0.6747    test loss 0.6743    train acc 0.5780    test acc 0.5805
[2021-07-06 14:19:48] epoch 8   training loss 0.6721    test loss 0.6717    train acc 0.5874    test acc 0.5855
[2021-07-06 14:19:50] epoch 9   training loss 0.6691    test loss 0.6686    train acc 0.5906    test acc 0.5930
[2021-07-06 14:19:52] epoch 10   training loss 0.6650    test loss 0.6642    train acc 0.5936    test acc 0.5980
[2021-07-06 14:19:53] epoch 11   training loss 0.6564    test loss 0.6525    train acc 0.6092    test acc 0.6250
[2021-07-06 14:19:55] epoch 12   training loss 0.6110    test loss 0.5697    train acc 0.6845    test acc 0.7350
[2021-07-06 14:19:56] epoch 13   training loss 0.5475    test loss 0.5334    train acc 0.7565    test acc 0.7765
[2021-07-06 14:19:58] epoch 14   training loss 0.5317    test loss 0.5188    train acc 0.7721    test acc 0.7855
[2021-07-06 14:20:00] epoch 15   training loss 0.5279    test loss 0.5240    train acc 0.7752    test acc 0.7780
[2021-07-06 14:20:01] epoch 16   training loss 0.5272    test loss 0.5164    train acc 0.7748    test acc 0.7885
[2021-07-06 14:20:03] epoch 17   training loss 0.5260    test loss 0.5148    train acc 0.7765    test acc 0.7875
[2021-07-06 14:20:04] epoch 18   training loss 0.5253    test loss 0.5115    train acc 0.7764    test acc 0.7910
[2021-07-06 14:20:06] epoch 19   training loss 0.5249    test loss 0.5148    train acc 0.7784    test acc 0.7860
[2021-07-06 14:20:07] epoch 20   training loss 0.5220    test loss 0.5103    train acc 0.7812    test acc 0.7950
[2021-07-06 14:20:09] epoch 21   training loss 0.5236    test loss 0.5222    train acc 0.7791    test acc 0.7830
[2021-07-06 14:20:11] epoch 22   training loss 0.5216    test loss 0.5141    train acc 0.7826    test acc 0.7920
[2021-07-06 14:20:13] epoch 23   training loss 0.5199    test loss 0.5090    train acc 0.7801    test acc 0.7905
[2021-07-06 14:20:16] epoch 24   training loss 0.5196    test loss 0.5086    train acc 0.7823    test acc 0.7950
[2021-07-06 14:20:18] epoch 25   training loss 0.5172    test loss 0.5086    train acc 0.7865    test acc 0.7985
[2021-07-06 14:20:20] epoch 26   training loss 0.5181    test loss 0.5066    train acc 0.7849    test acc 0.7955
[2021-07-06 14:20:23] epoch 27   training loss 0.5164    test loss 0.5043    train acc 0.7867    test acc 0.7985
[2021-07-06 14:20:25] epoch 28   training loss 0.5134    test loss 0.5016    train acc 0.7906    test acc 0.8020
[2021-07-06 14:20:28] epoch 29   training loss 0.5105    test loss 0.5040    train acc 0.7930    test acc 0.7995
[2021-07-06 14:20:30] epoch 30   training loss 0.5091    test loss 0.5077    train acc 0.7949    test acc 0.7970
[2021-07-06 14:20:32] epoch 31   training loss 0.5100    test loss 0.4959    train acc 0.7914    test acc 0.8125
[2021-07-06 14:20:34] epoch 32   training loss 0.5039    test loss 0.5105    train acc 0.7999    test acc 0.7950
[2021-07-06 14:20:36] epoch 33   training loss 0.5036    test loss 0.4996    train acc 0.8016    test acc 0.7990
[2021-07-06 14:20:39] epoch 34   training loss 0.5018    test loss 0.4926    train acc 0.8030    test acc 0.8140
