[2021-07-07 15:55:20] STOP              
[2021-07-07 15:55:20] 250
[2021-07-07 15:55:20] SAVE_EVERY        
[2021-07-07 15:55:20] 20
[2021-07-07 15:55:20] LEARNING_RATE     
[2021-07-07 15:55:20] 0.005
[2021-07-07 15:55:20] EPOCH             
[2021-07-07 15:55:20] 300
[2021-07-07 15:55:20] DROPOUT_RATE      
[2021-07-07 15:55:20] 0.2
[2021-07-07 15:55:20] CLASS_NUM         
[2021-07-07 15:55:20] 2
[2021-07-07 15:55:20] NUM_LAYERS        
[2021-07-07 15:55:20] 1
[2021-07-07 15:55:20] HIDDEN_DIM        
[2021-07-07 15:55:20] 256
[2021-07-07 15:55:20] EMBED_SIZE        
[2021-07-07 15:55:20] 128
[2021-07-07 15:55:20] BATCH_SIZE        
[2021-07-07 15:55:20] 50
[2021-07-07 15:55:20] CELL              
[2021-07-07 15:55:20] lstm
[2021-07-07 15:55:20] data_helper       
[2021-07-07 15:55:20] <data.DataHelper object at 0x00000259FD7E99E8>
[2021-07-07 15:55:24] epoch 1   training loss 0.6931    test loss 0.6926    train acc 0.5004    test acc 0.5105
[2021-07-07 15:55:26] epoch 2   training loss 0.6926    test loss 0.6922    train acc 0.5181    test acc 0.5445
[2021-07-07 15:55:28] epoch 3   training loss 0.6920    test loss 0.6916    train acc 0.5364    test acc 0.5425
[2021-07-07 15:55:30] epoch 4   training loss 0.6915    test loss 0.6911    train acc 0.5551    test acc 0.5430
[2021-07-07 15:55:32] epoch 5   training loss 0.6909    test loss 0.6906    train acc 0.5556    test acc 0.5535
[2021-07-07 15:55:34] epoch 6   training loss 0.6904    test loss 0.6900    train acc 0.5531    test acc 0.5695
[2021-07-07 15:55:36] epoch 7   training loss 0.6898    test loss 0.6895    train acc 0.5607    test acc 0.5715
[2021-07-07 15:55:38] epoch 8   training loss 0.6892    test loss 0.6889    train acc 0.5726    test acc 0.5770
[2021-07-07 15:55:40] epoch 9   training loss 0.6886    test loss 0.6883    train acc 0.5740    test acc 0.5730
[2021-07-07 15:55:42] epoch 10   training loss 0.6879    test loss 0.6878    train acc 0.5717    test acc 0.5705
[2021-07-07 15:55:44] epoch 11   training loss 0.6873    test loss 0.6871    train acc 0.5729    test acc 0.5775
[2021-07-07 15:55:46] epoch 12   training loss 0.6866    test loss 0.6865    train acc 0.5734    test acc 0.5855
[2021-07-07 15:55:48] epoch 13   training loss 0.6859    test loss 0.6858    train acc 0.5786    test acc 0.5820
[2021-07-07 15:55:50] epoch 14   training loss 0.6852    test loss 0.6851    train acc 0.5777    test acc 0.5805
[2021-07-07 15:55:52] epoch 15   training loss 0.6843    test loss 0.6844    train acc 0.5733    test acc 0.5790
[2021-07-07 15:55:54] epoch 16   training loss 0.6836    test loss 0.6836    train acc 0.5781    test acc 0.5855
[2021-07-07 15:55:55] epoch 17   training loss 0.6828    test loss 0.6828    train acc 0.5770    test acc 0.5835
[2021-07-07 15:55:58] epoch 18   training loss 0.6819    test loss 0.6820    train acc 0.5764    test acc 0.5760
[2021-07-07 15:56:00] epoch 19   training loss 0.6809    test loss 0.6812    train acc 0.5831    test acc 0.5840
[2021-07-07 15:56:01] epoch 20   training loss 0.6800    test loss 0.6806    train acc 0.5817    test acc 0.5765
[2021-07-07 15:56:03] epoch 21   training loss 0.6791    test loss 0.6796    train acc 0.5837    test acc 0.5825
[2021-07-07 15:56:05] epoch 22   training loss 0.6782    test loss 0.6786    train acc 0.5826    test acc 0.5750
[2021-07-07 15:56:07] epoch 23   training loss 0.6771    test loss 0.6778    train acc 0.5857    test acc 0.5840
[2021-07-07 15:56:09] epoch 24   training loss 0.6762    test loss 0.6771    train acc 0.5846    test acc 0.5760
[2021-07-07 15:56:11] epoch 25   training loss 0.6753    test loss 0.6761    train acc 0.5866    test acc 0.5790
[2021-07-07 15:56:13] epoch 26   training loss 0.6744    test loss 0.6753    train acc 0.5897    test acc 0.5825
[2021-07-07 15:56:15] epoch 27   training loss 0.6734    test loss 0.6746    train acc 0.5884    test acc 0.5880
[2021-07-07 15:56:17] epoch 28   training loss 0.6725    test loss 0.6738    train acc 0.5896    test acc 0.5760
[2021-07-07 15:56:19] epoch 29   training loss 0.6717    test loss 0.6731    train acc 0.5893    test acc 0.5750
[2021-07-07 15:56:21] epoch 30   training loss 0.6708    test loss 0.6723    train acc 0.5916    test acc 0.5930
[2021-07-07 15:56:23] epoch 31   training loss 0.6700    test loss 0.6716    train acc 0.5900    test acc 0.5820
[2021-07-07 15:56:25] epoch 32   training loss 0.6691    test loss 0.6712    train acc 0.5911    test acc 0.5770
[2021-07-07 15:56:27] epoch 33   training loss 0.6683    test loss 0.6705    train acc 0.5919    test acc 0.5775
[2021-07-07 15:56:29] epoch 34   training loss 0.6676    test loss 0.6696    train acc 0.5931    test acc 0.5905
[2021-07-07 15:56:31] epoch 35   training loss 0.6668    test loss 0.6690    train acc 0.5929    test acc 0.5870
[2021-07-07 15:56:33] epoch 36   training loss 0.6662    test loss 0.6684    train acc 0.5944    test acc 0.5925
[2021-07-07 15:56:35] epoch 37   training loss 0.6654    test loss 0.6678    train acc 0.5927    test acc 0.5895
[2021-07-07 15:56:37] epoch 38   training loss 0.6647    test loss 0.6671    train acc 0.5956    test acc 0.5900
[2021-07-07 15:56:39] epoch 39   training loss 0.6640    test loss 0.6665    train acc 0.5934    test acc 0.5905
[2021-07-07 15:56:41] epoch 40   training loss 0.6633    test loss 0.6660    train acc 0.5964    test acc 0.5950
[2021-07-07 15:56:43] epoch 41   training loss 0.6624    test loss 0.6653    train acc 0.6019    test acc 0.5970
[2021-07-07 15:56:45] epoch 42   training loss 0.6617    test loss 0.6645    train acc 0.5996    test acc 0.5940
[2021-07-07 15:56:47] epoch 43   training loss 0.6609    test loss 0.6638    train acc 0.6026    test acc 0.5980
[2021-07-07 15:56:49] epoch 44   training loss 0.6601    test loss 0.6630    train acc 0.6054    test acc 0.5975
[2021-07-07 15:56:51] epoch 45   training loss 0.6593    test loss 0.6622    train acc 0.6051    test acc 0.5985
[2021-07-07 15:56:53] epoch 46   training loss 0.6584    test loss 0.6612    train acc 0.6080    test acc 0.6020
[2021-07-07 15:56:55] epoch 47   training loss 0.6574    test loss 0.6603    train acc 0.6096    test acc 0.5990
[2021-07-07 15:56:57] epoch 48   training loss 0.6562    test loss 0.6595    train acc 0.6142    test acc 0.6030
[2021-07-07 15:56:59] epoch 49   training loss 0.6552    test loss 0.6580    train acc 0.6135    test acc 0.6075
[2021-07-07 15:57:01] epoch 50   training loss 0.6539    test loss 0.6566    train acc 0.6166    test acc 0.6100
[2021-07-07 15:57:03] epoch 51   training loss 0.6524    test loss 0.6551    train acc 0.6206    test acc 0.6140
[2021-07-07 15:57:05] epoch 52   training loss 0.6507    test loss 0.6537    train acc 0.6214    test acc 0.6130
[2021-07-07 15:57:07] epoch 53   training loss 0.6490    test loss 0.6513    train acc 0.6264    test acc 0.6190
[2021-07-07 15:57:09] epoch 54   training loss 0.6467    test loss 0.6489    train acc 0.6284    test acc 0.6210
[2021-07-07 15:57:11] epoch 55   training loss 0.6440    test loss 0.6456    train acc 0.6332    test acc 0.6255
[2021-07-07 15:57:13] epoch 56   training loss 0.6404    test loss 0.6415    train acc 0.6385    test acc 0.6410
[2021-07-07 15:57:15] epoch 57   training loss 0.6359    test loss 0.6363    train acc 0.6439    test acc 0.6405
[2021-07-07 15:57:17] epoch 58   training loss 0.6295    test loss 0.6283    train acc 0.6549    test acc 0.6630
[2021-07-07 15:57:19] epoch 59   training loss 0.6195    test loss 0.6156    train acc 0.6701    test acc 0.6775
[2021-07-07 15:57:21] epoch 60   training loss 0.6004    test loss 0.5930    train acc 0.6941    test acc 0.7015
[2021-07-07 15:57:23] epoch 61   training loss 0.5518    test loss 0.5261    train acc 0.7515    test acc 0.7810
[2021-07-07 15:57:25] epoch 62   training loss 0.5340    test loss 0.5214    train acc 0.7740    test acc 0.7850
[2021-07-07 15:57:27] epoch 63   training loss 0.5256    test loss 0.5512    train acc 0.7826    test acc 0.7535
