[2021-07-01 16:25:30] STOP            
[2021-07-01 16:25:30] 100
[2021-07-01 16:25:30] SAVE_EVERY      
[2021-07-01 16:25:30] 20
[2021-07-01 16:25:30] LEARNING_RATE   
[2021-07-01 16:25:30] 0.005
[2021-07-01 16:25:30] EPOCH           
[2021-07-01 16:25:30] 200
[2021-07-01 16:25:30] DROPOUT_RATE    
[2021-07-01 16:25:30] 0.2
[2021-07-01 16:25:30] CLASS_NUM       
[2021-07-01 16:25:30] 2
[2021-07-01 16:25:30] FILTER_SIZE     
[2021-07-01 16:25:30] [3, 4, 5]
[2021-07-01 16:25:30] FILTER_NUM      
[2021-07-01 16:25:30] 128
[2021-07-01 16:25:30] EMBED_SIZE      
[2021-07-01 16:25:30] 128
[2021-07-01 16:25:30] BATCH_SIZE      
[2021-07-01 16:25:30] 50
[2021-07-01 16:25:30] data_helper     
[2021-07-01 16:25:30] <data.DataHelper object at 0x00000216A93E3748>
[2021-07-01 16:25:34] epoch 1   training loss 0.6974    test loss 0.6938    train acc 0.5207    test acc 0.5202
[2021-07-01 16:25:36] epoch 2   training loss 0.6917    test loss 0.6891    train acc 0.5288    test acc 0.5425
[2021-07-01 16:25:38] epoch 3   training loss 0.6863    test loss 0.7016    train acc 0.5471    test acc 0.5105
[2021-07-01 16:25:41] epoch 4   training loss 0.6833    test loss 0.6858    train acc 0.5569    test acc 0.5525
[2021-07-01 16:25:43] epoch 5   training loss 0.6802    test loss 0.6767    train acc 0.5666    test acc 0.5763
[2021-07-01 16:25:45] epoch 6   training loss 0.6785    test loss 0.6778    train acc 0.5666    test acc 0.5690
[2021-07-01 16:25:47] epoch 7   training loss 0.6749    test loss 0.6744    train acc 0.5812    test acc 0.5843
[2021-07-01 16:25:49] epoch 8   training loss 0.6722    test loss 0.6808    train acc 0.5845    test acc 0.5490
[2021-07-01 16:25:51] epoch 9   training loss 0.6718    test loss 0.6750    train acc 0.5889    test acc 0.5770
[2021-07-01 16:25:54] epoch 10   training loss 0.6704    test loss 0.6690    train acc 0.5869    test acc 0.5950
[2021-07-01 16:25:56] epoch 11   training loss 0.6701    test loss 0.6681    train acc 0.5842    test acc 0.5985
[2021-07-01 16:25:58] epoch 12   training loss 0.6672    test loss 0.6690    train acc 0.5944    test acc 0.5845
[2021-07-01 16:26:00] epoch 13   training loss 0.6659    test loss 0.6656    train acc 0.5987    test acc 0.5970
[2021-07-01 16:26:03] epoch 14   training loss 0.6649    test loss 0.6642    train acc 0.5961    test acc 0.6055
[2021-07-01 16:26:05] epoch 15   training loss 0.6643    test loss 0.6724    train acc 0.5982    test acc 0.5790
