[2021-07-01 17:29:26] STOP            
[2021-07-01 17:29:26] 100
[2021-07-01 17:29:26] SAVE_EVERY      
[2021-07-01 17:29:26] 20
[2021-07-01 17:29:26] LEARNING_RATE   
[2021-07-01 17:29:26] 0.006
[2021-07-01 17:29:26] EPOCH           
[2021-07-01 17:29:26] 200
[2021-07-01 17:29:26] DROPOUT_RATE    
[2021-07-01 17:29:26] 0.2
[2021-07-01 17:29:26] CLASS_NUM       
[2021-07-01 17:29:26] 2
[2021-07-01 17:29:26] FILTER_SIZE     
[2021-07-01 17:29:26] [3, 4, 5]
[2021-07-01 17:29:26] FILTER_NUM      
[2021-07-01 17:29:26] 128
[2021-07-01 17:29:26] EMBED_SIZE      
[2021-07-01 17:29:26] 128
[2021-07-01 17:29:26] BATCH_SIZE      
[2021-07-01 17:29:26] 50
[2021-07-01 17:29:26] data_helper     
[2021-07-01 17:29:26] <data.DataHelper object at 0x0000024AD305B828>
[2021-07-01 17:29:31] epoch 1   training loss 0.6857    test loss 0.6738    train acc 0.5477    test acc 0.5910
[2021-07-01 17:29:33] epoch 2   training loss 0.6683    test loss 0.6624    train acc 0.5968    test acc 0.5952
[2021-07-01 17:29:35] epoch 3   training loss 0.6534    test loss 0.6478    train acc 0.6269    test acc 0.6345
[2021-07-01 17:29:37] epoch 4   training loss 0.6395    test loss 0.6372    train acc 0.6436    test acc 0.6400
[2021-07-01 17:29:40] epoch 5   training loss 0.6342    test loss 0.6322    train acc 0.6489    test acc 0.6478
[2021-07-01 17:29:42] epoch 6   training loss 0.6286    test loss 0.6301    train acc 0.6587    test acc 0.6492
[2021-07-01 17:29:44] epoch 7   training loss 0.6238    test loss 0.6206    train acc 0.6676    test acc 0.6690
[2021-07-01 17:29:47] epoch 8   training loss 0.6187    test loss 0.6210    train acc 0.6698    test acc 0.6673
[2021-07-01 17:29:49] epoch 9   training loss 0.6161    test loss 0.6111    train acc 0.6751    test acc 0.6727
[2021-07-01 17:29:52] epoch 10   training loss 0.6132    test loss 0.6136    train acc 0.6767    test acc 0.6765
[2021-07-01 17:29:54] epoch 11   training loss 0.6069    test loss 0.6117    train acc 0.6877    test acc 0.6675
[2021-07-01 17:29:56] epoch 12   training loss 0.6054    test loss 0.6060    train acc 0.6843    test acc 0.6843
[2021-07-01 17:29:58] epoch 13   training loss 0.6053    test loss 0.6004    train acc 0.6869    test acc 0.6977
[2021-07-01 17:30:01] epoch 14   training loss 0.6007    test loss 0.6026    train acc 0.6916    test acc 0.6835
[2021-07-01 17:30:03] epoch 15   training loss 0.5997    test loss 0.5970    train acc 0.6900    test acc 0.6970
[2021-07-01 17:30:05] epoch 16   training loss 0.5963    test loss 0.5986    train acc 0.6990    test acc 0.6905
[2021-07-01 17:30:08] epoch 17   training loss 0.5945    test loss 0.5966    train acc 0.6978    test acc 0.6970
[2021-07-01 17:30:10] epoch 18   training loss 0.5943    test loss 0.5873    train acc 0.6986    test acc 0.7143
[2021-07-01 17:30:13] epoch 19   training loss 0.5906    test loss 0.5953    train acc 0.7047    test acc 0.6847
[2021-07-01 17:30:15] epoch 20   training loss 0.5901    test loss 0.5920    train acc 0.7050    test acc 0.6973
[2021-07-01 17:30:17] epoch 21   training loss 0.5867    test loss 0.5960    train acc 0.7087    test acc 0.6947
[2021-07-01 17:30:20] epoch 22   training loss 0.5873    test loss 0.5914    train acc 0.7094    test acc 0.7013
[2021-07-01 17:30:22] epoch 23   training loss 0.5865    test loss 0.5849    train acc 0.7087    test acc 0.7073
[2021-07-01 17:30:24] epoch 24   training loss 0.5829    test loss 0.5890    train acc 0.7126    test acc 0.6983
[2021-07-01 17:30:27] epoch 25   training loss 0.5826    test loss 0.5908    train acc 0.7124    test acc 0.7093
[2021-07-01 17:30:29] epoch 26   training loss 0.5793    test loss 0.5864    train acc 0.7177    test acc 0.7035
[2021-07-01 17:30:31] epoch 27   training loss 0.5794    test loss 0.5841    train acc 0.7180    test acc 0.7045
[2021-07-01 17:30:34] epoch 28   training loss 0.5790    test loss 0.5834    train acc 0.7191    test acc 0.7113
