[2021-07-01 18:45:38] STOP            
[2021-07-01 18:45:38] 100
[2021-07-01 18:45:38] SAVE_EVERY      
[2021-07-01 18:45:38] 20
[2021-07-01 18:45:38] LEARNING_RATE   
[2021-07-01 18:45:38] 0.006
[2021-07-01 18:45:38] EPOCH           
[2021-07-01 18:45:38] 200
[2021-07-01 18:45:38] DROPOUT_RATE    
[2021-07-01 18:45:38] 0.2
[2021-07-01 18:45:38] CLASS_NUM       
[2021-07-01 18:45:38] 2
[2021-07-01 18:45:38] FILTER_SIZE     
[2021-07-01 18:45:38] [3, 4, 5]
[2021-07-01 18:45:38] FILTER_NUM      
[2021-07-01 18:45:38] 128
[2021-07-01 18:45:38] EMBED_SIZE      
[2021-07-01 18:45:38] 128
[2021-07-01 18:45:38] BATCH_SIZE      
[2021-07-01 18:45:38] 50
[2021-07-01 18:45:38] data_helper     
[2021-07-01 18:45:38] <data.DataHelper object at 0x000001B45BC9B828>
[2021-07-01 18:45:43] epoch 1   training loss 0.6808    test loss 0.6578    train acc 0.5654    test acc 0.6268
[2021-07-01 18:45:45] epoch 2   training loss 0.6433    test loss 0.6317    train acc 0.6499    test acc 0.6735
[2021-07-01 18:45:48] epoch 3   training loss 0.6172    test loss 0.6038    train acc 0.6863    test acc 0.7050
[2021-07-01 18:45:50] epoch 4   training loss 0.5981    test loss 0.5902    train acc 0.7064    test acc 0.7173
[2021-07-01 18:45:53] epoch 5   training loss 0.5888    test loss 0.5853    train acc 0.7147    test acc 0.7135
[2021-07-01 18:45:55] epoch 6   training loss 0.5802    test loss 0.5858    train acc 0.7241    test acc 0.7130
[2021-07-01 18:45:57] epoch 7   training loss 0.5764    test loss 0.5774    train acc 0.7262    test acc 0.7220
[2021-07-01 18:46:00] epoch 8   training loss 0.5698    test loss 0.5706    train acc 0.7319    test acc 0.7292
[2021-07-01 18:46:02] epoch 9   training loss 0.5658    test loss 0.5698    train acc 0.7368    test acc 0.7288
[2021-07-01 18:46:04] epoch 10   training loss 0.5646    test loss 0.5699    train acc 0.7351    test acc 0.7300
[2021-07-01 18:46:07] epoch 11   training loss 0.5608    test loss 0.5667    train acc 0.7379    test acc 0.7358
[2021-07-01 18:46:09] epoch 12   training loss 0.5595    test loss 0.5631    train acc 0.7408    test acc 0.7300
[2021-07-01 18:46:11] epoch 13   training loss 0.5547    test loss 0.5583    train acc 0.7469    test acc 0.7428
[2021-07-01 18:46:14] epoch 14   training loss 0.5521    test loss 0.5555    train acc 0.7499    test acc 0.7428
[2021-07-01 18:46:16] epoch 15   training loss 0.5523    test loss 0.5533    train acc 0.7506    test acc 0.7510
[2021-07-01 18:46:18] epoch 16   training loss 0.5488    test loss 0.5513    train acc 0.7534    test acc 0.7455
[2021-07-01 18:46:21] epoch 17   training loss 0.5459    test loss 0.5532    train acc 0.7574    test acc 0.7515
[2021-07-01 18:46:23] epoch 18   training loss 0.5445    test loss 0.5474    train acc 0.7552    test acc 0.7520
[2021-07-01 18:46:25] epoch 19   training loss 0.5425    test loss 0.5462    train acc 0.7630    test acc 0.7522
[2021-07-01 18:46:28] epoch 20   training loss 0.5405    test loss 0.5465    train acc 0.7628    test acc 0.7520
[2021-07-01 18:46:30] epoch 21   training loss 0.5397    test loss 0.5479    train acc 0.7644    test acc 0.7545
[2021-07-01 18:46:32] epoch 22   training loss 0.5382    test loss 0.5516    train acc 0.7638    test acc 0.7492
[2021-07-01 18:46:35] epoch 23   training loss 0.5357    test loss 0.5484    train acc 0.7675    test acc 0.7518
[2021-07-01 18:46:37] epoch 24   training loss 0.5353    test loss 0.5502    train acc 0.7667    test acc 0.7470
[2021-07-01 18:46:39] epoch 25   training loss 0.5343    test loss 0.5417    train acc 0.7713    test acc 0.7618
[2021-07-01 18:46:42] epoch 26   training loss 0.5327    test loss 0.5433    train acc 0.7736    test acc 0.7488
[2021-07-01 18:46:44] epoch 27   training loss 0.5297    test loss 0.5411    train acc 0.7766    test acc 0.7558
[2021-07-01 18:46:46] epoch 28   training loss 0.5291    test loss 0.5401    train acc 0.7742    test acc 0.7560
[2021-07-01 18:46:49] epoch 29   training loss 0.5288    test loss 0.5359    train acc 0.7768    test acc 0.7632
[2021-07-01 18:46:51] epoch 30   training loss 0.5268    test loss 0.5361    train acc 0.7765    test acc 0.7678
[2021-07-01 18:46:53] epoch 31   training loss 0.5266    test loss 0.5378    train acc 0.7803    test acc 0.7592
[2021-07-01 18:46:56] epoch 32   training loss 0.5255    test loss 0.5367    train acc 0.7803    test acc 0.7618
[2021-07-01 18:46:58] epoch 33   training loss 0.5232    test loss 0.5374    train acc 0.7814    test acc 0.7590
[2021-07-01 18:47:00] epoch 34   training loss 0.5248    test loss 0.5377    train acc 0.7827    test acc 0.7622
[2021-07-01 18:47:03] epoch 35   training loss 0.5232    test loss 0.5364    train acc 0.7822    test acc 0.7662
[2021-07-01 18:47:05] epoch 36   training loss 0.5222    test loss 0.5308    train acc 0.7833    test acc 0.7680
[2021-07-01 18:47:07] epoch 37   training loss 0.5198    test loss 0.5290    train acc 0.7860    test acc 0.7710
[2021-07-01 18:47:10] epoch 38   training loss 0.5211    test loss 0.5348    train acc 0.7851    test acc 0.7670
[2021-07-01 18:47:12] epoch 39   training loss 0.5184    test loss 0.5339    train acc 0.7877    test acc 0.7655
[2021-07-01 18:47:14] epoch 40   training loss 0.5198    test loss 0.5336    train acc 0.7843    test acc 0.7648
