[2021-07-01 19:07:21] STOP            
[2021-07-01 19:07:21] 100
[2021-07-01 19:07:21] SAVE_EVERY      
[2021-07-01 19:07:21] 20
[2021-07-01 19:07:21] LEARNING_RATE   
[2021-07-01 19:07:21] 0.006
[2021-07-01 19:07:21] EPOCH           
[2021-07-01 19:07:21] 200
[2021-07-01 19:07:21] DROPOUT_RATE    
[2021-07-01 19:07:21] 0.2
[2021-07-01 19:07:21] CLASS_NUM       
[2021-07-01 19:07:21] 2
[2021-07-01 19:07:21] FILTER_SIZE     
[2021-07-01 19:07:21] [3, 4, 5]
[2021-07-01 19:07:21] FILTER_NUM      
[2021-07-01 19:07:21] 128
[2021-07-01 19:07:21] EMBED_SIZE      
[2021-07-01 19:07:21] 128
[2021-07-01 19:07:21] BATCH_SIZE      
[2021-07-01 19:07:21] 50
[2021-07-01 19:07:21] data_helper     
[2021-07-01 19:07:21] <data.DataHelper object at 0x000001B48AC5B828>
[2021-07-01 19:07:28] epoch 1   training loss 0.6710    test loss 0.6414    train acc 0.5944    test acc 0.6707
[2021-07-01 19:07:32] epoch 2   training loss 0.6257    test loss 0.6087    train acc 0.6839    test acc 0.7095
[2021-07-01 19:07:35] epoch 3   training loss 0.5976    test loss 0.5828    train acc 0.7166    test acc 0.7310
[2021-07-01 19:07:38] epoch 4   training loss 0.5797    test loss 0.5704    train acc 0.7318    test acc 0.7418
[2021-07-01 19:07:41] epoch 5   training loss 0.5679    test loss 0.5585    train acc 0.7427    test acc 0.7522
[2021-07-01 19:07:44] epoch 6   training loss 0.5615    test loss 0.5550    train acc 0.7436    test acc 0.7500
[2021-07-01 19:07:48] epoch 7   training loss 0.5575    test loss 0.5494    train acc 0.7468    test acc 0.7540
[2021-07-01 19:07:51] epoch 8   training loss 0.5516    test loss 0.5503    train acc 0.7525    test acc 0.7540
[2021-07-01 19:07:54] epoch 9   training loss 0.5483    test loss 0.5504    train acc 0.7590    test acc 0.7522
[2021-07-01 19:07:57] epoch 10   training loss 0.5436    test loss 0.5385    train acc 0.7605    test acc 0.7660
[2021-07-01 19:08:01] epoch 11   training loss 0.5405    test loss 0.5372    train acc 0.7628    test acc 0.7660
[2021-07-01 19:08:04] epoch 12   training loss 0.5400    test loss 0.5337    train acc 0.7619    test acc 0.7708
[2021-07-01 19:08:07] epoch 13   training loss 0.5371    test loss 0.5343    train acc 0.7671    test acc 0.7748
[2021-07-01 19:08:10] epoch 14   training loss 0.5335    test loss 0.5394    train acc 0.7706    test acc 0.7682
[2021-07-01 19:08:13] epoch 15   training loss 0.5333    test loss 0.5313    train acc 0.7703    test acc 0.7702
[2021-07-01 19:08:17] epoch 16   training loss 0.5322    test loss 0.5229    train acc 0.7721    test acc 0.7833
[2021-07-01 19:08:20] epoch 17   training loss 0.5278    test loss 0.5281    train acc 0.7768    test acc 0.7760
[2021-07-01 19:08:23] epoch 18   training loss 0.5279    test loss 0.5261    train acc 0.7748    test acc 0.7788
[2021-07-01 19:08:26] epoch 19   training loss 0.5241    test loss 0.5327    train acc 0.7811    test acc 0.7648
[2021-07-01 19:08:30] epoch 20   training loss 0.5239    test loss 0.5223    train acc 0.7791    test acc 0.7798
[2021-07-01 19:08:33] epoch 21   training loss 0.5208    test loss 0.5260    train acc 0.7841    test acc 0.7772
[2021-07-01 19:08:36] epoch 22   training loss 0.5196    test loss 0.5242    train acc 0.7871    test acc 0.7792
[2021-07-01 19:08:39] epoch 23   training loss 0.5185    test loss 0.5208    train acc 0.7874    test acc 0.7830
[2021-07-01 19:08:43] epoch 24   training loss 0.5195    test loss 0.5190    train acc 0.7858    test acc 0.7798
[2021-07-01 19:08:46] epoch 25   training loss 0.5174    test loss 0.5149    train acc 0.7882    test acc 0.7873
[2021-07-01 19:08:49] epoch 26   training loss 0.5149    test loss 0.5149    train acc 0.7915    test acc 0.7860
[2021-07-01 19:08:53] epoch 27   training loss 0.5138    test loss 0.5174    train acc 0.7926    test acc 0.7887
[2021-07-01 19:08:56] epoch 28   training loss 0.5140    test loss 0.5155    train acc 0.7927    test acc 0.7865
[2021-07-01 19:08:59] epoch 29   training loss 0.5126    test loss 0.5165    train acc 0.7916    test acc 0.7833
[2021-07-01 19:09:03] epoch 30   training loss 0.5103    test loss 0.5109    train acc 0.7957    test acc 0.7960
[2021-07-01 19:09:06] epoch 31   training loss 0.5088    test loss 0.5124    train acc 0.7969    test acc 0.7907
