[2021-07-01 20:07:57] STOP            
[2021-07-01 20:07:57] 100
[2021-07-01 20:07:57] SAVE_EVERY      
[2021-07-01 20:07:57] 20
[2021-07-01 20:07:57] LEARNING_RATE   
[2021-07-01 20:07:57] 0.006
[2021-07-01 20:07:57] EPOCH           
[2021-07-01 20:07:57] 200
[2021-07-01 20:07:57] DROPOUT_RATE    
[2021-07-01 20:07:57] 0.2
[2021-07-01 20:07:57] CLASS_NUM       
[2021-07-01 20:07:57] 2
[2021-07-01 20:07:57] FILTER_SIZE     
[2021-07-01 20:07:57] [3, 4, 5]
[2021-07-01 20:07:57] FILTER_NUM      
[2021-07-01 20:07:57] 128
[2021-07-01 20:07:57] EMBED_SIZE      
[2021-07-01 20:07:57] 128
[2021-07-01 20:07:57] BATCH_SIZE      
[2021-07-01 20:07:57] 50
[2021-07-01 20:07:57] data_helper     
[2021-07-01 20:07:57] <data.DataHelper object at 0x000001B2779AB828>
[2021-07-01 20:08:02] epoch 1   training loss 0.6626    test loss 0.6414    train acc 0.6106    test acc 0.6410
[2021-07-01 20:08:04] epoch 2   training loss 0.6095    test loss 0.5930    train acc 0.7024    test acc 0.7255
[2021-07-01 20:08:06] epoch 3   training loss 0.5828    test loss 0.5747    train acc 0.7299    test acc 0.7355
[2021-07-01 20:08:08] epoch 4   training loss 0.5629    test loss 0.5618    train acc 0.7466    test acc 0.7495
[2021-07-01 20:08:10] epoch 5   training loss 0.5564    test loss 0.5536    train acc 0.7511    test acc 0.7510
[2021-07-01 20:08:13] epoch 6   training loss 0.5470    test loss 0.5516    train acc 0.7609    test acc 0.7510
[2021-07-01 20:08:15] epoch 7   training loss 0.5429    test loss 0.5505    train acc 0.7631    test acc 0.7545
[2021-07-01 20:08:17] epoch 8   training loss 0.5390    test loss 0.5450    train acc 0.7663    test acc 0.7540
[2021-07-01 20:08:19] epoch 9   training loss 0.5350    test loss 0.5385    train acc 0.7679    test acc 0.7625
[2021-07-01 20:08:21] epoch 10   training loss 0.5317    test loss 0.5358    train acc 0.7731    test acc 0.7675
[2021-07-01 20:08:23] epoch 11   training loss 0.5309    test loss 0.5360    train acc 0.7744    test acc 0.7712
[2021-07-01 20:08:26] epoch 12   training loss 0.5278    test loss 0.5329    train acc 0.7761    test acc 0.7672
[2021-07-01 20:08:28] epoch 13   training loss 0.5252    test loss 0.5300    train acc 0.7803    test acc 0.7688
[2021-07-01 20:08:30] epoch 14   training loss 0.5255    test loss 0.5295    train acc 0.7801    test acc 0.7792
[2021-07-01 20:08:32] epoch 15   training loss 0.5239    test loss 0.5273    train acc 0.7785    test acc 0.7745
[2021-07-01 20:08:35] epoch 16   training loss 0.5190    test loss 0.5262    train acc 0.7852    test acc 0.7775
[2021-07-01 20:08:37] epoch 17   training loss 0.5197    test loss 0.5286    train acc 0.7846    test acc 0.7738
[2021-07-01 20:08:39] epoch 18   training loss 0.5169    test loss 0.5221    train acc 0.7870    test acc 0.7815
[2021-07-01 20:08:41] epoch 19   training loss 0.5165    test loss 0.5209    train acc 0.7884    test acc 0.7875
[2021-07-01 20:08:43] epoch 20   training loss 0.5154    test loss 0.5207    train acc 0.7903    test acc 0.7835
[2021-07-01 20:08:46] epoch 21   training loss 0.5133    test loss 0.5213    train acc 0.7909    test acc 0.7798
[2021-07-01 20:08:48] epoch 22   training loss 0.5127    test loss 0.5216    train acc 0.7926    test acc 0.7795
