[2021-07-07 10:53:29] STOP            
[2021-07-07 10:53:29] 100
[2021-07-07 10:53:29] SAVE_EVERY      
[2021-07-07 10:53:29] 20
[2021-07-07 10:53:29] LEARNING_RATE   
[2021-07-07 10:53:29] 0.005
[2021-07-07 10:53:29] EPOCH           
[2021-07-07 10:53:29] 200
[2021-07-07 10:53:29] DROPOUT_RATE    
[2021-07-07 10:53:29] 0.2
[2021-07-07 10:53:29] CLASS_NUM       
[2021-07-07 10:53:29] 2
[2021-07-07 10:53:29] FILTER_SIZE     
[2021-07-07 10:53:29] [3, 4, 5]
[2021-07-07 10:53:29] FILTER_NUM      
[2021-07-07 10:53:29] 128
[2021-07-07 10:53:29] EMBED_SIZE      
[2021-07-07 10:53:29] 128
[2021-07-07 10:53:29] BATCH_SIZE      
[2021-07-07 10:53:29] 50
[2021-07-07 10:53:29] data_helper     
[2021-07-07 10:53:29] <data.DataHelper object at 0x000001C1200C4780>
[2021-07-07 10:53:33] epoch 1   training loss 0.6986    test loss 0.6960    train acc 0.5038    test acc 0.5240
[2021-07-07 10:53:34] epoch 2   training loss 0.6984    test loss 0.6930    train acc 0.5046    test acc 0.5210
[2021-07-07 10:53:35] epoch 3   training loss 0.6918    test loss 0.6948    train acc 0.5336    test acc 0.5205
[2021-07-07 10:53:36] epoch 4   training loss 0.6892    test loss 0.6983    train acc 0.5354    test acc 0.5190
[2021-07-07 10:53:37] epoch 5   training loss 0.6876    test loss 0.6831    train acc 0.5415    test acc 0.5610
[2021-07-07 10:53:38] epoch 6   training loss 0.6838    test loss 0.6880    train acc 0.5531    test acc 0.5330
[2021-07-07 10:53:39] epoch 7   training loss 0.6838    test loss 0.6830    train acc 0.5561    test acc 0.5615
[2021-07-07 10:53:41] epoch 8   training loss 0.6821    test loss 0.6815    train acc 0.5643    test acc 0.5680
[2021-07-07 10:53:42] epoch 9   training loss 0.6782    test loss 0.6757    train acc 0.5709    test acc 0.5845
[2021-07-07 10:53:43] epoch 10   training loss 0.6799    test loss 0.6768    train acc 0.5677    test acc 0.5660
[2021-07-07 10:53:44] epoch 11   training loss 0.6782    test loss 0.6756    train acc 0.5707    test acc 0.5690
[2021-07-07 10:53:45] epoch 12   training loss 0.6763    test loss 0.6760    train acc 0.5801    test acc 0.5790
[2021-07-07 10:53:46] epoch 13   training loss 0.6744    test loss 0.6723    train acc 0.5771    test acc 0.5855
[2021-07-07 10:53:47] epoch 14   training loss 0.6721    test loss 0.6729    train acc 0.5836    test acc 0.5740
[2021-07-07 10:53:48] epoch 15   training loss 0.6710    test loss 0.6791    train acc 0.5910    test acc 0.5495
[2021-07-07 10:53:50] epoch 16   training loss 0.6722    test loss 0.6743    train acc 0.5820    test acc 0.5810
[2021-07-07 10:53:51] epoch 17   training loss 0.6695    test loss 0.6702    train acc 0.5905    test acc 0.5835
[2021-07-07 10:53:52] epoch 18   training loss 0.6685    test loss 0.6687    train acc 0.5931    test acc 0.5875
[2021-07-07 10:53:53] epoch 19   training loss 0.6671    test loss 0.6718    train acc 0.5942    test acc 0.5840
[2021-07-07 10:53:54] epoch 20   training loss 0.6681    test loss 0.6672    train acc 0.5941    test acc 0.5915
[2021-07-07 10:53:55] epoch 21   training loss 0.6646    test loss 0.6687    train acc 0.5985    test acc 0.5930
[2021-07-07 10:53:57] epoch 22   training loss 0.6664    test loss 0.6649    train acc 0.5946    test acc 0.6050
[2021-07-07 10:53:58] epoch 23   training loss 0.6645    test loss 0.6699    train acc 0.6000    test acc 0.5880
[2021-07-07 10:53:59] epoch 24   training loss 0.6633    test loss 0.6627    train acc 0.5968    test acc 0.6070
