[2021-07-07 11:29:39] STOP            
[2021-07-07 11:29:39] 250
[2021-07-07 11:29:39] SAVE_EVERY      
[2021-07-07 11:29:39] 20
[2021-07-07 11:29:39] LEARNING_RATE   
[2021-07-07 11:29:39] 0.005
[2021-07-07 11:29:39] EPOCH           
[2021-07-07 11:29:39] 300
[2021-07-07 11:29:39] DROPOUT_RATE    
[2021-07-07 11:29:39] 0.2
[2021-07-07 11:29:39] CLASS_NUM       
[2021-07-07 11:29:39] 2
[2021-07-07 11:29:39] FILTER_SIZE     
[2021-07-07 11:29:39] [3, 4, 5]
[2021-07-07 11:29:39] FILTER_NUM      
[2021-07-07 11:29:39] 128
[2021-07-07 11:29:39] EMBED_SIZE      
[2021-07-07 11:29:39] 128
[2021-07-07 11:29:39] BATCH_SIZE      
[2021-07-07 11:29:39] 50
[2021-07-07 11:29:39] data_helper     
[2021-07-07 11:29:39] <data.DataHelper object at 0x00000241E7405978>
[2021-07-07 11:29:43] epoch 1   training loss 0.7015    test loss 0.6981    train acc 0.5090    test acc 0.4990
[2021-07-07 11:29:44] epoch 2   training loss 0.6975    test loss 0.6965    train acc 0.5180    test acc 0.5255
[2021-07-07 11:29:45] epoch 3   training loss 0.6929    test loss 0.6999    train acc 0.5286    test acc 0.5105
[2021-07-07 11:29:46] epoch 4   training loss 0.6883    test loss 0.6990    train acc 0.5426    test acc 0.5115
[2021-07-07 11:29:48] epoch 5   training loss 0.6875    test loss 0.6882    train acc 0.5464    test acc 0.5515
[2021-07-07 11:29:49] epoch 6   training loss 0.6844    test loss 0.6838    train acc 0.5566    test acc 0.5505
[2021-07-07 11:29:50] epoch 7   training loss 0.6827    test loss 0.6796    train acc 0.5564    test acc 0.5775
[2021-07-07 11:29:51] epoch 8   training loss 0.6804    test loss 0.6849    train acc 0.5609    test acc 0.5670
[2021-07-07 11:29:52] epoch 9   training loss 0.6778    test loss 0.6782    train acc 0.5714    test acc 0.5635
[2021-07-07 11:29:53] epoch 10   training loss 0.6777    test loss 0.6791    train acc 0.5716    test acc 0.5790
[2021-07-07 11:29:54] epoch 11   training loss 0.6749    test loss 0.6773    train acc 0.5753    test acc 0.5665
[2021-07-07 11:29:56] epoch 12   training loss 0.6742    test loss 0.6817    train acc 0.5777    test acc 0.5570
[2021-07-07 11:29:57] epoch 13   training loss 0.6723    test loss 0.6722    train acc 0.5846    test acc 0.5795
[2021-07-07 11:29:58] epoch 14   training loss 0.6709    test loss 0.6733    train acc 0.5870    test acc 0.5810
