[2021-07-07 11:41:06] STOP            
[2021-07-07 11:41:06] 250
[2021-07-07 11:41:06] SAVE_EVERY      
[2021-07-07 11:41:06] 20
[2021-07-07 11:41:06] LEARNING_RATE   
[2021-07-07 11:41:06] 0.005
[2021-07-07 11:41:06] EPOCH           
[2021-07-07 11:41:06] 300
[2021-07-07 11:41:06] DROPOUT_RATE    
[2021-07-07 11:41:06] 0.2
[2021-07-07 11:41:06] CLASS_NUM       
[2021-07-07 11:41:06] 2
[2021-07-07 11:41:06] FILTER_SIZE     
[2021-07-07 11:41:06] [3, 4, 5]
[2021-07-07 11:41:06] FILTER_NUM      
[2021-07-07 11:41:06] 128
[2021-07-07 11:41:06] EMBED_SIZE      
[2021-07-07 11:41:06] 128
[2021-07-07 11:41:06] BATCH_SIZE      
[2021-07-07 11:41:06] 50
[2021-07-07 11:41:06] data_helper     
[2021-07-07 11:41:06] <data.DataHelper object at 0x00000233B77F57F0>
[2021-07-07 11:41:09] epoch 1   training loss 0.7030    test loss 0.6927    train acc 0.5212    test acc 0.5255
[2021-07-07 11:41:10] epoch 2   training loss 0.6931    test loss 0.6896    train acc 0.5262    test acc 0.5435
[2021-07-07 11:41:11] epoch 3   training loss 0.6854    test loss 0.6881    train acc 0.5487    test acc 0.5325
[2021-07-07 11:41:13] epoch 4   training loss 0.6813    test loss 0.6861    train acc 0.5656    test acc 0.5420
[2021-07-07 11:41:14] epoch 5   training loss 0.6754    test loss 0.6740    train acc 0.5787    test acc 0.5820
[2021-07-07 11:41:15] epoch 6   training loss 0.6694    test loss 0.6721    train acc 0.5962    test acc 0.5750
[2021-07-07 11:41:16] epoch 7   training loss 0.6645    test loss 0.6701    train acc 0.6071    test acc 0.5945
[2021-07-07 11:41:17] epoch 8   training loss 0.6644    test loss 0.6677    train acc 0.6085    test acc 0.5830
[2021-07-07 11:41:18] epoch 9   training loss 0.6599    test loss 0.6670    train acc 0.6121    test acc 0.5960
[2021-07-07 11:41:19] epoch 10   training loss 0.6553    test loss 0.6567    train acc 0.6209    test acc 0.6105
[2021-07-07 11:41:20] epoch 11   training loss 0.6563    test loss 0.6604    train acc 0.6166    test acc 0.6160
[2021-07-07 11:41:21] epoch 12   training loss 0.6520    test loss 0.6599    train acc 0.6284    test acc 0.6035
[2021-07-07 11:41:23] epoch 13   training loss 0.6516    test loss 0.6616    train acc 0.6250    test acc 0.6120
[2021-07-07 11:41:24] epoch 14   training loss 0.6484    test loss 0.6529    train acc 0.6358    test acc 0.6250
[2021-07-07 11:41:25] epoch 15   training loss 0.6471    test loss 0.6497    train acc 0.6375    test acc 0.6175
[2021-07-07 11:41:26] epoch 16   training loss 0.6433    test loss 0.6536    train acc 0.6388    test acc 0.6130
[2021-07-07 11:41:27] epoch 17   training loss 0.6419    test loss 0.6561    train acc 0.6406    test acc 0.6155
[2021-07-07 11:41:28] epoch 18   training loss 0.6400    test loss 0.6511    train acc 0.6446    test acc 0.6160
[2021-07-07 11:41:29] epoch 19   training loss 0.6406    test loss 0.6453    train acc 0.6398    test acc 0.6255
[2021-07-07 11:41:30] epoch 20   training loss 0.6395    test loss 0.6448    train acc 0.6461    test acc 0.6270
[2021-07-07 11:41:31] epoch 21   training loss 0.6369    test loss 0.6436    train acc 0.6484    test acc 0.6345
[2021-07-07 11:41:33] epoch 22   training loss 0.6354    test loss 0.6499    train acc 0.6485    test acc 0.6320
[2021-07-07 11:41:34] epoch 23   training loss 0.6342    test loss 0.6476    train acc 0.6521    test acc 0.6250
[2021-07-07 11:41:35] epoch 24   training loss 0.6340    test loss 0.6440    train acc 0.6486    test acc 0.6385
[2021-07-07 11:41:36] epoch 25   training loss 0.6309    test loss 0.6426    train acc 0.6565    test acc 0.6360
[2021-07-07 11:41:37] epoch 26   training loss 0.6326    test loss 0.6463    train acc 0.6518    test acc 0.6190
[2021-07-07 11:41:38] epoch 27   training loss 0.6305    test loss 0.6470    train acc 0.6511    test acc 0.6245
[2021-07-07 11:41:39] epoch 28   training loss 0.6291    test loss 0.6499    train acc 0.6591    test acc 0.6180
[2021-07-07 11:41:40] epoch 29   training loss 0.6239    test loss 0.6392    train acc 0.6615    test acc 0.6335
[2021-07-07 11:41:42] epoch 30   training loss 0.6276    test loss 0.6446    train acc 0.6546    test acc 0.6350
[2021-07-07 11:41:43] epoch 31   training loss 0.6266    test loss 0.6485    train acc 0.6566    test acc 0.6310
[2021-07-07 11:41:44] epoch 32   training loss 0.6238    test loss 0.6407    train acc 0.6661    test acc 0.6375
[2021-07-07 11:41:45] epoch 33   training loss 0.6253    test loss 0.6338    train acc 0.6595    test acc 0.6515
[2021-07-07 11:41:46] epoch 34   training loss 0.6224    test loss 0.6383    train acc 0.6665    test acc 0.6370
[2021-07-07 11:41:47] epoch 35   training loss 0.6214    test loss 0.6380    train acc 0.6653    test acc 0.6415
[2021-07-07 11:41:48] epoch 36   training loss 0.6191    test loss 0.6413    train acc 0.6701    test acc 0.6400
[2021-07-07 11:41:49] epoch 37   training loss 0.6149    test loss 0.6381    train acc 0.6726    test acc 0.6355
[2021-07-07 11:41:51] epoch 38   training loss 0.6185    test loss 0.6389    train acc 0.6711    test acc 0.6435
[2021-07-07 11:41:52] epoch 39   training loss 0.6188    test loss 0.6480    train acc 0.6697    test acc 0.6200
