[2021-07-07 12:33:57] STOP            
[2021-07-07 12:33:57] 250
[2021-07-07 12:33:57] SAVE_EVERY      
[2021-07-07 12:33:57] 20
[2021-07-07 12:33:57] LEARNING_RATE   
[2021-07-07 12:33:57] 0.005
[2021-07-07 12:33:57] EPOCH           
[2021-07-07 12:33:57] 300
[2021-07-07 12:33:57] DROPOUT_RATE    
[2021-07-07 12:33:57] 0.2
[2021-07-07 12:33:57] CLASS_NUM       
[2021-07-07 12:33:57] 2
[2021-07-07 12:33:57] FILTER_SIZE     
[2021-07-07 12:33:57] [3, 4, 5]
[2021-07-07 12:33:57] FILTER_NUM      
[2021-07-07 12:33:57] 128
[2021-07-07 12:33:57] EMBED_SIZE      
[2021-07-07 12:33:57] 128
[2021-07-07 12:33:57] BATCH_SIZE      
[2021-07-07 12:33:57] 50
[2021-07-07 12:33:57] data_helper     
[2021-07-07 12:33:57] <data.DataHelper object at 0x000001B9ABA657F0>
[2021-07-07 12:34:00] epoch 1   training loss 0.6973    test loss 0.6923    train acc 0.5106    test acc 0.5215
[2021-07-07 12:34:01] epoch 2   training loss 0.6850    test loss 0.6823    train acc 0.5514    test acc 0.5605
[2021-07-07 12:34:02] epoch 3   training loss 0.6746    test loss 0.6707    train acc 0.5803    test acc 0.5910
[2021-07-07 12:34:04] epoch 4   training loss 0.6672    test loss 0.6601    train acc 0.5979    test acc 0.6225
[2021-07-07 12:34:05] epoch 5   training loss 0.6592    test loss 0.6653    train acc 0.6161    test acc 0.6030
[2021-07-07 12:34:06] epoch 6   training loss 0.6546    test loss 0.6491    train acc 0.6200    test acc 0.6350
[2021-07-07 12:34:07] epoch 7   training loss 0.6470    test loss 0.6517    train acc 0.6412    test acc 0.6280
[2021-07-07 12:34:08] epoch 8   training loss 0.6431    test loss 0.6406    train acc 0.6392    test acc 0.6530
[2021-07-07 12:34:09] epoch 9   training loss 0.6383    test loss 0.6385    train acc 0.6511    test acc 0.6455
[2021-07-07 12:34:10] epoch 10   training loss 0.6342    test loss 0.6364    train acc 0.6576    test acc 0.6390
[2021-07-07 12:34:11] epoch 11   training loss 0.6310    test loss 0.6303    train acc 0.6529    test acc 0.6510
[2021-07-07 12:34:12] epoch 12   training loss 0.6277    test loss 0.6286    train acc 0.6615    test acc 0.6650
[2021-07-07 12:34:13] epoch 13   training loss 0.6245    test loss 0.6258    train acc 0.6701    test acc 0.6645
[2021-07-07 12:34:14] epoch 14   training loss 0.6226    test loss 0.6191    train acc 0.6677    test acc 0.6800
[2021-07-07 12:34:16] epoch 15   training loss 0.6188    test loss 0.6221    train acc 0.6711    test acc 0.6675
[2021-07-07 12:34:17] epoch 16   training loss 0.6170    test loss 0.6135    train acc 0.6775    test acc 0.6850
[2021-07-07 12:34:18] epoch 17   training loss 0.6159    test loss 0.6220    train acc 0.6780    test acc 0.6680
[2021-07-07 12:34:19] epoch 18   training loss 0.6159    test loss 0.6241    train acc 0.6716    test acc 0.6580
[2021-07-07 12:34:20] epoch 19   training loss 0.6114    test loss 0.6122    train acc 0.6810    test acc 0.6800
[2021-07-07 12:34:21] epoch 20   training loss 0.6082    test loss 0.6169    train acc 0.6847    test acc 0.6680
[2021-07-07 12:34:22] epoch 21   training loss 0.6076    test loss 0.6108    train acc 0.6841    test acc 0.6810
[2021-07-07 12:34:24] epoch 22   training loss 0.6061    test loss 0.6135    train acc 0.6873    test acc 0.6775
[2021-07-07 12:34:25] epoch 23   training loss 0.6050    test loss 0.6118    train acc 0.6881    test acc 0.6830
[2021-07-07 12:34:26] epoch 24   training loss 0.6010    test loss 0.6141    train acc 0.6941    test acc 0.6760
[2021-07-07 12:34:27] epoch 25   training loss 0.6041    test loss 0.6170    train acc 0.6891    test acc 0.6745
[2021-07-07 12:34:28] epoch 26   training loss 0.6014    test loss 0.6166    train acc 0.6916    test acc 0.6710
[2021-07-07 12:34:29] epoch 27   training loss 0.6038    test loss 0.6097    train acc 0.6866    test acc 0.6680
[2021-07-07 12:34:30] epoch 28   training loss 0.5995    test loss 0.6083    train acc 0.6920    test acc 0.6860
[2021-07-07 12:34:32] epoch 29   training loss 0.5944    test loss 0.6028    train acc 0.6989    test acc 0.6840
[2021-07-07 12:34:33] epoch 30   training loss 0.5970    test loss 0.6102    train acc 0.6986    test acc 0.6755
[2021-07-07 12:34:34] epoch 31   training loss 0.5943    test loss 0.6064    train acc 0.7005    test acc 0.6805
[2021-07-07 12:34:35] epoch 32   training loss 0.5964    test loss 0.6018    train acc 0.6995    test acc 0.6900
[2021-07-07 12:34:36] epoch 33   training loss 0.5924    test loss 0.6043    train acc 0.7029    test acc 0.6840
[2021-07-07 12:34:37] epoch 34   training loss 0.5960    test loss 0.6045    train acc 0.6970    test acc 0.6860
[2021-07-07 12:34:38] epoch 35   training loss 0.5910    test loss 0.5999    train acc 0.7054    test acc 0.6930
[2021-07-07 12:34:39] epoch 36   training loss 0.5911    test loss 0.6017    train acc 0.7074    test acc 0.6950
[2021-07-07 12:34:41] epoch 37   training loss 0.5910    test loss 0.5979    train acc 0.7031    test acc 0.6945
[2021-07-07 12:34:42] epoch 38   training loss 0.5881    test loss 0.6008    train acc 0.7059    test acc 0.6915
[2021-07-07 12:34:43] epoch 39   training loss 0.5856    test loss 0.6010    train acc 0.7110    test acc 0.6880
[2021-07-07 12:34:44] epoch 40   training loss 0.5870    test loss 0.5944    train acc 0.7097    test acc 0.6950
[2021-07-07 12:34:45] epoch 41   training loss 0.5868    test loss 0.5961    train acc 0.7131    test acc 0.6885
[2021-07-07 12:34:46] epoch 42   training loss 0.5853    test loss 0.5909    train acc 0.7109    test acc 0.7045
[2021-07-07 12:34:47] epoch 43   training loss 0.5825    test loss 0.5897    train acc 0.7170    test acc 0.7080
[2021-07-07 12:34:48] epoch 44   training loss 0.5829    test loss 0.5909    train acc 0.7189    test acc 0.7055
[2021-07-07 12:34:50] epoch 45   training loss 0.5847    test loss 0.5952    train acc 0.7140    test acc 0.6935
[2021-07-07 12:34:51] epoch 46   training loss 0.5811    test loss 0.5874    train acc 0.7176    test acc 0.7085
[2021-07-07 12:34:52] epoch 47   training loss 0.5801    test loss 0.5962    train acc 0.7184    test acc 0.6970
[2021-07-07 12:34:53] epoch 48   training loss 0.5795    test loss 0.5924    train acc 0.7173    test acc 0.6980
[2021-07-07 12:34:54] epoch 49   training loss 0.5826    test loss 0.5964    train acc 0.7139    test acc 0.6875
[2021-07-07 12:34:55] epoch 50   training loss 0.5785    test loss 0.5862    train acc 0.7183    test acc 0.7035
[2021-07-07 12:34:57] epoch 51   training loss 0.5771    test loss 0.5965    train acc 0.7190    test acc 0.6955
