[2021-07-07 12:45:42] STOP            
[2021-07-07 12:45:42] 250
[2021-07-07 12:45:42] SAVE_EVERY      
[2021-07-07 12:45:42] 20
[2021-07-07 12:45:42] LEARNING_RATE   
[2021-07-07 12:45:42] 0.005
[2021-07-07 12:45:42] EPOCH           
[2021-07-07 12:45:42] 300
[2021-07-07 12:45:42] DROPOUT_RATE    
[2021-07-07 12:45:42] 0.2
[2021-07-07 12:45:42] CLASS_NUM       
[2021-07-07 12:45:42] 2
[2021-07-07 12:45:42] FILTER_SIZE     
[2021-07-07 12:45:42] [3, 4, 5]
[2021-07-07 12:45:42] FILTER_NUM      
[2021-07-07 12:45:42] 128
[2021-07-07 12:45:42] EMBED_SIZE      
[2021-07-07 12:45:42] 128
[2021-07-07 12:45:42] BATCH_SIZE      
[2021-07-07 12:45:42] 50
[2021-07-07 12:45:42] data_helper     
[2021-07-07 12:45:42] <data.DataHelper object at 0x00000246F0B45978>
[2021-07-07 12:45:45] epoch 1   training loss 0.6889    test loss 0.6905    train acc 0.5387    test acc 0.5255
[2021-07-07 12:45:46] epoch 2   training loss 0.6756    test loss 0.6794    train acc 0.5821    test acc 0.5535
[2021-07-07 12:45:48] epoch 3   training loss 0.6651    test loss 0.6595    train acc 0.6079    test acc 0.6130
[2021-07-07 12:45:49] epoch 4   training loss 0.6556    test loss 0.6510    train acc 0.6341    test acc 0.6380
[2021-07-07 12:45:50] epoch 5   training loss 0.6414    test loss 0.6447    train acc 0.6489    test acc 0.6620
[2021-07-07 12:45:51] epoch 6   training loss 0.6336    test loss 0.6449    train acc 0.6640    test acc 0.6275
[2021-07-07 12:45:52] epoch 7   training loss 0.6292    test loss 0.6335    train acc 0.6674    test acc 0.6475
[2021-07-07 12:45:53] epoch 8   training loss 0.6171    test loss 0.6261    train acc 0.6880    test acc 0.6645
[2021-07-07 12:45:54] epoch 9   training loss 0.6146    test loss 0.6235    train acc 0.6933    test acc 0.6660
[2021-07-07 12:45:55] epoch 10   training loss 0.6108    test loss 0.6208    train acc 0.6869    test acc 0.6760
[2021-07-07 12:45:56] epoch 11   training loss 0.6073    test loss 0.6156    train acc 0.6955    test acc 0.6815
[2021-07-07 12:45:57] epoch 12   training loss 0.6033    test loss 0.6089    train acc 0.6974    test acc 0.6920
[2021-07-07 12:45:59] epoch 13   training loss 0.6035    test loss 0.6128    train acc 0.6941    test acc 0.6800
[2021-07-07 12:46:00] epoch 14   training loss 0.5968    test loss 0.6104    train acc 0.7053    test acc 0.6855
[2021-07-07 12:46:01] epoch 15   training loss 0.5960    test loss 0.6019    train acc 0.7027    test acc 0.6865
[2021-07-07 12:46:02] epoch 16   training loss 0.5949    test loss 0.6099    train acc 0.7055    test acc 0.6880
[2021-07-07 12:46:03] epoch 17   training loss 0.5925    test loss 0.6078    train acc 0.7063    test acc 0.6755
[2021-07-07 12:46:04] epoch 18   training loss 0.5881    test loss 0.5983    train acc 0.7139    test acc 0.7120
[2021-07-07 12:46:05] epoch 19   training loss 0.5893    test loss 0.5994    train acc 0.7110    test acc 0.6985
[2021-07-07 12:46:06] epoch 20   training loss 0.5867    test loss 0.5992    train acc 0.7126    test acc 0.6960
[2021-07-07 12:46:07] epoch 21   training loss 0.5862    test loss 0.5924    train acc 0.7139    test acc 0.7085
[2021-07-07 12:46:09] epoch 22   training loss 0.5854    test loss 0.5957    train acc 0.7137    test acc 0.6980
[2021-07-07 12:46:10] epoch 23   training loss 0.5822    test loss 0.6039    train acc 0.7195    test acc 0.6890
[2021-07-07 12:46:11] epoch 24   training loss 0.5827    test loss 0.5932    train acc 0.7140    test acc 0.7060
[2021-07-07 12:46:12] epoch 25   training loss 0.5754    test loss 0.5922    train acc 0.7244    test acc 0.7060
[2021-07-07 12:46:13] epoch 26   training loss 0.5791    test loss 0.5925    train acc 0.7196    test acc 0.6960
[2021-07-07 12:46:14] epoch 27   training loss 0.5748    test loss 0.5903    train acc 0.7251    test acc 0.7020
[2021-07-07 12:46:15] epoch 28   training loss 0.5736    test loss 0.5831    train acc 0.7292    test acc 0.7170
[2021-07-07 12:46:16] epoch 29   training loss 0.5768    test loss 0.5818    train acc 0.7220    test acc 0.7175
[2021-07-07 12:46:17] epoch 30   training loss 0.5712    test loss 0.5827    train acc 0.7295    test acc 0.7245
[2021-07-07 12:46:19] epoch 31   training loss 0.5700    test loss 0.5904    train acc 0.7329    test acc 0.7100
[2021-07-07 12:46:20] epoch 32   training loss 0.5714    test loss 0.5847    train acc 0.7262    test acc 0.7160
[2021-07-07 12:46:21] epoch 33   training loss 0.5673    test loss 0.5942    train acc 0.7322    test acc 0.6965
[2021-07-07 12:46:22] epoch 34   training loss 0.5690    test loss 0.5903    train acc 0.7331    test acc 0.7080
[2021-07-07 12:46:23] epoch 35   training loss 0.5693    test loss 0.5781    train acc 0.7314    test acc 0.7285
[2021-07-07 12:46:24] epoch 36   training loss 0.5664    test loss 0.5870    train acc 0.7351    test acc 0.7100
[2021-07-07 12:46:25] epoch 37   training loss 0.5656    test loss 0.5853    train acc 0.7332    test acc 0.7085
[2021-07-07 12:46:26] epoch 38   training loss 0.5659    test loss 0.5823    train acc 0.7325    test acc 0.7225
[2021-07-07 12:46:27] epoch 39   training loss 0.5663    test loss 0.5767    train acc 0.7311    test acc 0.7270
[2021-07-07 12:46:29] epoch 40   training loss 0.5650    test loss 0.5788    train acc 0.7354    test acc 0.7180
[2021-07-07 12:46:30] epoch 41   training loss 0.5629    test loss 0.5774    train acc 0.7369    test acc 0.7205
[2021-07-07 12:46:31] epoch 42   training loss 0.5594    test loss 0.5745    train acc 0.7418    test acc 0.7220
[2021-07-07 12:46:32] epoch 43   training loss 0.5620    test loss 0.5773    train acc 0.7378    test acc 0.7230
[2021-07-07 12:46:33] epoch 44   training loss 0.5596    test loss 0.5756    train acc 0.7408    test acc 0.7265
[2021-07-07 12:46:34] epoch 45   training loss 0.5603    test loss 0.5787    train acc 0.7429    test acc 0.7185
[2021-07-07 12:46:35] epoch 46   training loss 0.5588    test loss 0.5778    train acc 0.7411    test acc 0.7210
[2021-07-07 12:46:36] epoch 47   training loss 0.5593    test loss 0.5810    train acc 0.7415    test acc 0.7120
[2021-07-07 12:46:38] epoch 48   training loss 0.5569    test loss 0.5713    train acc 0.7448    test acc 0.7325
[2021-07-07 12:46:39] epoch 49   training loss 0.5588    test loss 0.5779    train acc 0.7418    test acc 0.7200
[2021-07-07 12:46:40] epoch 50   training loss 0.5559    test loss 0.5701    train acc 0.7450    test acc 0.7345
[2021-07-07 12:46:41] epoch 51   training loss 0.5564    test loss 0.5729    train acc 0.7492    test acc 0.7245
[2021-07-07 12:46:42] epoch 52   training loss 0.5528    test loss 0.5741    train acc 0.7519    test acc 0.7255
[2021-07-07 12:46:43] epoch 53   training loss 0.5502    test loss 0.5739    train acc 0.7546    test acc 0.7165
[2021-07-07 12:46:44] epoch 54   training loss 0.5522    test loss 0.5678    train acc 0.7508    test acc 0.7390
[2021-07-07 12:46:45] epoch 55   training loss 0.5535    test loss 0.5658    train acc 0.7472    test acc 0.7345
[2021-07-07 12:46:46] epoch 56   training loss 0.5503    test loss 0.5709    train acc 0.7521    test acc 0.7245
[2021-07-07 12:46:48] epoch 57   training loss 0.5505    test loss 0.5675    train acc 0.7504    test acc 0.7280
[2021-07-07 12:46:49] epoch 58   training loss 0.5498    test loss 0.5684    train acc 0.7539    test acc 0.7320
[2021-07-07 12:46:50] epoch 59   training loss 0.5526    test loss 0.5657    train acc 0.7485    test acc 0.7305
[2021-07-07 12:46:51] epoch 60   training loss 0.5503    test loss 0.5675    train acc 0.7514    test acc 0.7325
[2021-07-07 12:46:52] epoch 61   training loss 0.5454    test loss 0.5661    train acc 0.7588    test acc 0.7345
[2021-07-07 12:46:53] epoch 62   training loss 0.5468    test loss 0.5634    train acc 0.7581    test acc 0.7350
[2021-07-07 12:46:54] epoch 63   training loss 0.5454    test loss 0.5616    train acc 0.7560    test acc 0.7310
[2021-07-07 12:46:55] epoch 64   training loss 0.5466    test loss 0.5688    train acc 0.7552    test acc 0.7300
[2021-07-07 12:46:57] epoch 65   training loss 0.5455    test loss 0.5652    train acc 0.7599    test acc 0.7365
[2021-07-07 12:46:58] epoch 66   training loss 0.5463    test loss 0.5662    train acc 0.7594    test acc 0.7300
[2021-07-07 12:46:59] epoch 67   training loss 0.5477    test loss 0.5602    train acc 0.7545    test acc 0.7415
[2021-07-07 12:47:00] epoch 68   training loss 0.5436    test loss 0.5666    train acc 0.7581    test acc 0.7335
[2021-07-07 12:47:01] epoch 69   training loss 0.5413    test loss 0.5637    train acc 0.7649    test acc 0.7305
[2021-07-07 12:47:02] epoch 70   training loss 0.5421    test loss 0.5684    train acc 0.7645    test acc 0.7275
[2021-07-07 12:47:03] epoch 71   training loss 0.5412    test loss 0.5640    train acc 0.7678    test acc 0.7365
[2021-07-07 12:47:04] epoch 72   training loss 0.5426    test loss 0.5678    train acc 0.7604    test acc 0.7290
[2021-07-07 12:47:05] epoch 73   training loss 0.5421    test loss 0.5587    train acc 0.7651    test acc 0.7445
[2021-07-07 12:47:07] epoch 74   training loss 0.5405    test loss 0.5655    train acc 0.7648    test acc 0.7270
[2021-07-07 12:47:08] epoch 75   training loss 0.5410    test loss 0.5623    train acc 0.7630    test acc 0.7390
[2021-07-07 12:47:09] epoch 76   training loss 0.5383    test loss 0.5660    train acc 0.7670    test acc 0.7245
[2021-07-07 12:47:10] epoch 77   training loss 0.5417    test loss 0.5605    train acc 0.7600    test acc 0.7365
[2021-07-07 12:47:11] epoch 78   training loss 0.5392    test loss 0.5542    train acc 0.7642    test acc 0.7565
[2021-07-07 12:47:12] epoch 79   training loss 0.5409    test loss 0.5588    train acc 0.7634    test acc 0.7375
[2021-07-07 12:47:13] epoch 80   training loss 0.5372    test loss 0.5574    train acc 0.7670    test acc 0.7375
[2021-07-07 12:47:14] epoch 81   training loss 0.5374    test loss 0.5564    train acc 0.7675    test acc 0.7425
[2021-07-07 12:47:16] epoch 82   training loss 0.5374    test loss 0.5593    train acc 0.7656    test acc 0.7355
[2021-07-07 12:47:17] epoch 83   training loss 0.5380    test loss 0.5533    train acc 0.7691    test acc 0.7505
[2021-07-07 12:47:18] epoch 84   training loss 0.5378    test loss 0.5544    train acc 0.7714    test acc 0.7415
[2021-07-07 12:47:19] epoch 85   training loss 0.5344    test loss 0.5636    train acc 0.7656    test acc 0.7270
[2021-07-07 12:47:20] epoch 86   training loss 0.5360    test loss 0.5558    train acc 0.7668    test acc 0.7385
[2021-07-07 12:47:21] epoch 87   training loss 0.5367    test loss 0.5514    train acc 0.7678    test acc 0.7515
[2021-07-07 12:47:22] epoch 88   training loss 0.5325    test loss 0.5519    train acc 0.7721    test acc 0.7490
[2021-07-07 12:47:23] epoch 89   training loss 0.5358    test loss 0.5572    train acc 0.7675    test acc 0.7455
[2021-07-07 12:47:24] epoch 90   training loss 0.5348    test loss 0.5551    train acc 0.7711    test acc 0.7420
[2021-07-07 12:47:26] epoch 91   training loss 0.5342    test loss 0.5556    train acc 0.7699    test acc 0.7440
