[2021-07-07 12:59:15] STOP            
[2021-07-07 12:59:15] 250
[2021-07-07 12:59:15] SAVE_EVERY      
[2021-07-07 12:59:15] 20
[2021-07-07 12:59:15] LEARNING_RATE   
[2021-07-07 12:59:15] 0.005
[2021-07-07 12:59:15] EPOCH           
[2021-07-07 12:59:15] 300
[2021-07-07 12:59:15] DROPOUT_RATE    
[2021-07-07 12:59:15] 0.2
[2021-07-07 12:59:15] CLASS_NUM       
[2021-07-07 12:59:15] 2
[2021-07-07 12:59:15] FILTER_SIZE     
[2021-07-07 12:59:15] [3, 4, 5]
[2021-07-07 12:59:15] FILTER_NUM      
[2021-07-07 12:59:15] 128
[2021-07-07 12:59:15] EMBED_SIZE      
[2021-07-07 12:59:15] 128
[2021-07-07 12:59:15] BATCH_SIZE      
[2021-07-07 12:59:15] 50
[2021-07-07 12:59:15] data_helper     
[2021-07-07 12:59:15] <data.DataHelper object at 0x000002B8046957F0>
[2021-07-07 12:59:18] epoch 1   training loss 0.6933    test loss 0.6853    train acc 0.5215    test acc 0.5480
[2021-07-07 12:59:19] epoch 2   training loss 0.6729    test loss 0.6711    train acc 0.5865    test acc 0.5790
[2021-07-07 12:59:20] epoch 3   training loss 0.6591    test loss 0.6651    train acc 0.6202    test acc 0.6005
[2021-07-07 12:59:21] epoch 4   training loss 0.6460    test loss 0.6385    train acc 0.6500    test acc 0.6660
[2021-07-07 12:59:23] epoch 5   training loss 0.6344    test loss 0.6294    train acc 0.6627    test acc 0.6750
[2021-07-07 12:59:24] epoch 6   training loss 0.6197    test loss 0.6256    train acc 0.6889    test acc 0.6600
[2021-07-07 12:59:25] epoch 7   training loss 0.6115    test loss 0.6114    train acc 0.6995    test acc 0.6845
[2021-07-07 12:59:26] epoch 8   training loss 0.6028    test loss 0.6055    train acc 0.7047    test acc 0.6955
[2021-07-07 12:59:27] epoch 9   training loss 0.5983    test loss 0.6002    train acc 0.7099    test acc 0.7085
[2021-07-07 12:59:28] epoch 10   training loss 0.5885    test loss 0.5980    train acc 0.7195    test acc 0.6965
[2021-07-07 12:59:29] epoch 11   training loss 0.5886    test loss 0.5874    train acc 0.7145    test acc 0.7125
[2021-07-07 12:59:30] epoch 12   training loss 0.5829    test loss 0.5920    train acc 0.7234    test acc 0.7080
[2021-07-07 12:59:31] epoch 13   training loss 0.5788    test loss 0.5869    train acc 0.7291    test acc 0.7100
[2021-07-07 12:59:32] epoch 14   training loss 0.5777    test loss 0.5791    train acc 0.7279    test acc 0.7285
[2021-07-07 12:59:34] epoch 15   training loss 0.5736    test loss 0.5847    train acc 0.7324    test acc 0.7235
[2021-07-07 12:59:35] epoch 16   training loss 0.5711    test loss 0.5779    train acc 0.7315    test acc 0.7235
[2021-07-07 12:59:36] epoch 17   training loss 0.5695    test loss 0.5729    train acc 0.7384    test acc 0.7345
[2021-07-07 12:59:37] epoch 18   training loss 0.5682    test loss 0.5806    train acc 0.7332    test acc 0.7155
[2021-07-07 12:59:38] epoch 19   training loss 0.5646    test loss 0.5714    train acc 0.7411    test acc 0.7315
[2021-07-07 12:59:39] epoch 20   training loss 0.5584    test loss 0.5705    train acc 0.7479    test acc 0.7310
[2021-07-07 12:59:40] epoch 21   training loss 0.5593    test loss 0.5723    train acc 0.7450    test acc 0.7280
[2021-07-07 12:59:41] epoch 22   training loss 0.5567    test loss 0.5713    train acc 0.7471    test acc 0.7250
[2021-07-07 12:59:42] epoch 23   training loss 0.5554    test loss 0.5734    train acc 0.7486    test acc 0.7310
[2021-07-07 12:59:44] epoch 24   training loss 0.5531    test loss 0.5615    train acc 0.7529    test acc 0.7380
[2021-07-07 12:59:45] epoch 25   training loss 0.5521    test loss 0.5656    train acc 0.7512    test acc 0.7315
[2021-07-07 12:59:46] epoch 26   training loss 0.5540    test loss 0.5650    train acc 0.7500    test acc 0.7370
[2021-07-07 12:59:47] epoch 27   training loss 0.5498    test loss 0.5642    train acc 0.7580    test acc 0.7390
[2021-07-07 12:59:48] epoch 28   training loss 0.5490    test loss 0.5619    train acc 0.7559    test acc 0.7380
[2021-07-07 12:59:49] epoch 29   training loss 0.5464    test loss 0.5577    train acc 0.7612    test acc 0.7455
[2021-07-07 12:59:50] epoch 30   training loss 0.5465    test loss 0.5617    train acc 0.7574    test acc 0.7420
[2021-07-07 12:59:51] epoch 31   training loss 0.5474    test loss 0.5577    train acc 0.7532    test acc 0.7500
[2021-07-07 12:59:52] epoch 32   training loss 0.5429    test loss 0.5621    train acc 0.7640    test acc 0.7380
[2021-07-07 12:59:54] epoch 33   training loss 0.5421    test loss 0.5700    train acc 0.7660    test acc 0.7285
[2021-07-07 12:59:55] epoch 34   training loss 0.5437    test loss 0.5557    train acc 0.7615    test acc 0.7445
[2021-07-07 12:59:56] epoch 35   training loss 0.5391    test loss 0.5567    train acc 0.7704    test acc 0.7445
[2021-07-07 12:59:57] epoch 36   training loss 0.5426    test loss 0.5510    train acc 0.7596    test acc 0.7450
[2021-07-07 12:59:58] epoch 37   training loss 0.5391    test loss 0.5572    train acc 0.7650    test acc 0.7435
[2021-07-07 12:59:59] epoch 38   training loss 0.5404    test loss 0.5486    train acc 0.7634    test acc 0.7560
[2021-07-07 13:00:01] epoch 39   training loss 0.5370    test loss 0.5495    train acc 0.7684    test acc 0.7560
[2021-07-07 13:00:02] epoch 40   training loss 0.5333    test loss 0.5511    train acc 0.7758    test acc 0.7595
[2021-07-07 13:00:03] epoch 41   training loss 0.5396    test loss 0.5484    train acc 0.7641    test acc 0.7615
[2021-07-07 13:00:04] epoch 42   training loss 0.5339    test loss 0.5561    train acc 0.7729    test acc 0.7510
[2021-07-07 13:00:05] epoch 43   training loss 0.5340    test loss 0.5543    train acc 0.7720    test acc 0.7455
[2021-07-07 13:00:06] epoch 44   training loss 0.5349    test loss 0.5508    train acc 0.7699    test acc 0.7475
[2021-07-07 13:00:08] epoch 45   training loss 0.5375    test loss 0.5462    train acc 0.7671    test acc 0.7595
[2021-07-07 13:00:09] epoch 46   training loss 0.5333    test loss 0.5494    train acc 0.7718    test acc 0.7500
[2021-07-07 13:00:10] epoch 47   training loss 0.5302    test loss 0.5540    train acc 0.7781    test acc 0.7420
[2021-07-07 13:00:11] epoch 48   training loss 0.5326    test loss 0.5540    train acc 0.7735    test acc 0.7470
[2021-07-07 13:00:12] epoch 49   training loss 0.5289    test loss 0.5426    train acc 0.7774    test acc 0.7625
[2021-07-07 13:00:13] epoch 50   training loss 0.5288    test loss 0.5476    train acc 0.7772    test acc 0.7555
[2021-07-07 13:00:14] epoch 51   training loss 0.5278    test loss 0.5429    train acc 0.7802    test acc 0.7585
[2021-07-07 13:00:15] epoch 52   training loss 0.5291    test loss 0.5446    train acc 0.7741    test acc 0.7570
[2021-07-07 13:00:16] epoch 53   training loss 0.5297    test loss 0.5510    train acc 0.7745    test acc 0.7450
[2021-07-07 13:00:18] epoch 54   training loss 0.5275    test loss 0.5426    train acc 0.7772    test acc 0.7560
[2021-07-07 13:00:19] epoch 55   training loss 0.5282    test loss 0.5437    train acc 0.7779    test acc 0.7560
[2021-07-07 13:00:20] epoch 56   training loss 0.5263    test loss 0.5457    train acc 0.7800    test acc 0.7465
[2021-07-07 13:00:21] epoch 57   training loss 0.5261    test loss 0.5447    train acc 0.7805    test acc 0.7565
[2021-07-07 13:00:22] epoch 58   training loss 0.5252    test loss 0.5410    train acc 0.7781    test acc 0.7625
[2021-07-07 13:00:23] epoch 59   training loss 0.5255    test loss 0.5434    train acc 0.7808    test acc 0.7550
[2021-07-07 13:00:24] epoch 60   training loss 0.5220    test loss 0.5418    train acc 0.7850    test acc 0.7620
[2021-07-07 13:00:25] epoch 61   training loss 0.5249    test loss 0.5422    train acc 0.7817    test acc 0.7625
