[2021-07-07 13:11:41] STOP            
[2021-07-07 13:11:41] 250
[2021-07-07 13:11:41] SAVE_EVERY      
[2021-07-07 13:11:41] 20
[2021-07-07 13:11:41] LEARNING_RATE   
[2021-07-07 13:11:41] 0.005
[2021-07-07 13:11:41] EPOCH           
[2021-07-07 13:11:41] 300
[2021-07-07 13:11:41] DROPOUT_RATE    
[2021-07-07 13:11:41] 0.2
[2021-07-07 13:11:41] CLASS_NUM       
[2021-07-07 13:11:41] 2
[2021-07-07 13:11:41] FILTER_SIZE     
[2021-07-07 13:11:41] [3, 4, 5]
[2021-07-07 13:11:41] FILTER_NUM      
[2021-07-07 13:11:41] 128
[2021-07-07 13:11:41] EMBED_SIZE      
[2021-07-07 13:11:41] 128
[2021-07-07 13:11:41] BATCH_SIZE      
[2021-07-07 13:11:41] 50
[2021-07-07 13:11:41] data_helper     
[2021-07-07 13:11:41] <data.DataHelper object at 0x0000025A26395978>
[2021-07-07 13:11:44] epoch 1   training loss 0.6855    test loss 0.6712    train acc 0.5501    test acc 0.5925
[2021-07-07 13:11:45] epoch 2   training loss 0.6606    test loss 0.6499    train acc 0.6156    test acc 0.6525
[2021-07-07 13:11:46] epoch 3   training loss 0.6436    test loss 0.6400    train acc 0.6624    test acc 0.6495
[2021-07-07 13:11:47] epoch 4   training loss 0.6225    test loss 0.6200    train acc 0.6866    test acc 0.6755
[2021-07-07 13:11:49] epoch 5   training loss 0.6087    test loss 0.6063    train acc 0.7024    test acc 0.6990
[2021-07-07 13:11:50] epoch 6   training loss 0.5969    test loss 0.5868    train acc 0.7125    test acc 0.7285
[2021-07-07 13:11:51] epoch 7   training loss 0.5903    test loss 0.5828    train acc 0.7171    test acc 0.7255
[2021-07-07 13:11:52] epoch 8   training loss 0.5814    test loss 0.5806    train acc 0.7245    test acc 0.7295
[2021-07-07 13:11:53] epoch 9   training loss 0.5747    test loss 0.5725    train acc 0.7352    test acc 0.7300
[2021-07-07 13:11:54] epoch 10   training loss 0.5720    test loss 0.5701    train acc 0.7375    test acc 0.7395
[2021-07-07 13:11:55] epoch 11   training loss 0.5685    test loss 0.5733    train acc 0.7354    test acc 0.7295
[2021-07-07 13:11:56] epoch 12   training loss 0.5629    test loss 0.5647    train acc 0.7459    test acc 0.7415
[2021-07-07 13:11:57] epoch 13   training loss 0.5588    test loss 0.5631    train acc 0.7481    test acc 0.7335
[2021-07-07 13:11:58] epoch 14   training loss 0.5542    test loss 0.5532    train acc 0.7506    test acc 0.7510
[2021-07-07 13:12:00] epoch 15   training loss 0.5561    test loss 0.5559    train acc 0.7491    test acc 0.7440
[2021-07-07 13:12:01] epoch 16   training loss 0.5525    test loss 0.5562    train acc 0.7511    test acc 0.7435
[2021-07-07 13:12:02] epoch 17   training loss 0.5489    test loss 0.5490    train acc 0.7586    test acc 0.7545
[2021-07-07 13:12:03] epoch 18   training loss 0.5480    test loss 0.5433    train acc 0.7568    test acc 0.7660
[2021-07-07 13:12:04] epoch 19   training loss 0.5459    test loss 0.5501    train acc 0.7588    test acc 0.7520
[2021-07-07 13:12:05] epoch 20   training loss 0.5413    test loss 0.5432    train acc 0.7670    test acc 0.7575
[2021-07-07 13:12:06] epoch 21   training loss 0.5456    test loss 0.5451    train acc 0.7552    test acc 0.7625
[2021-07-07 13:12:07] epoch 22   training loss 0.5422    test loss 0.5434    train acc 0.7614    test acc 0.7575
[2021-07-07 13:12:08] epoch 23   training loss 0.5405    test loss 0.5427    train acc 0.7636    test acc 0.7500
[2021-07-07 13:12:10] epoch 24   training loss 0.5397    test loss 0.5469    train acc 0.7668    test acc 0.7500
[2021-07-07 13:12:11] epoch 25   training loss 0.5399    test loss 0.5394    train acc 0.7618    test acc 0.7660
[2021-07-07 13:12:12] epoch 26   training loss 0.5373    test loss 0.5388    train acc 0.7686    test acc 0.7590
[2021-07-07 13:12:13] epoch 27   training loss 0.5361    test loss 0.5390    train acc 0.7671    test acc 0.7625
[2021-07-07 13:12:14] epoch 28   training loss 0.5355    test loss 0.5402    train acc 0.7676    test acc 0.7600
[2021-07-07 13:12:15] epoch 29   training loss 0.5356    test loss 0.5395    train acc 0.7682    test acc 0.7605
[2021-07-07 13:12:16] epoch 30   training loss 0.5341    test loss 0.5420    train acc 0.7716    test acc 0.7620
[2021-07-07 13:12:17] epoch 31   training loss 0.5304    test loss 0.5420    train acc 0.7748    test acc 0.7590
[2021-07-07 13:12:19] epoch 32   training loss 0.5323    test loss 0.5374    train acc 0.7696    test acc 0.7690
[2021-07-07 13:12:20] epoch 33   training loss 0.5300    test loss 0.5427    train acc 0.7758    test acc 0.7570
[2021-07-07 13:12:21] epoch 34   training loss 0.5304    test loss 0.5326    train acc 0.7722    test acc 0.7660
[2021-07-07 13:12:22] epoch 35   training loss 0.5279    test loss 0.5342    train acc 0.7782    test acc 0.7725
[2021-07-07 13:12:23] epoch 36   training loss 0.5282    test loss 0.5363    train acc 0.7761    test acc 0.7730
[2021-07-07 13:12:24] epoch 37   training loss 0.5269    test loss 0.5350    train acc 0.7748    test acc 0.7665
[2021-07-07 13:12:25] epoch 38   training loss 0.5282    test loss 0.5330    train acc 0.7738    test acc 0.7685
[2021-07-07 13:12:26] epoch 39   training loss 0.5252    test loss 0.5321    train acc 0.7790    test acc 0.7755
[2021-07-07 13:12:27] epoch 40   training loss 0.5251    test loss 0.5316    train acc 0.7782    test acc 0.7690
[2021-07-07 13:12:29] epoch 41   training loss 0.5195    test loss 0.5380    train acc 0.7875    test acc 0.7670
[2021-07-07 13:12:30] epoch 42   training loss 0.5209    test loss 0.5322    train acc 0.7871    test acc 0.7660
[2021-07-07 13:12:31] epoch 43   training loss 0.5205    test loss 0.5305    train acc 0.7866    test acc 0.7765
[2021-07-07 13:12:32] epoch 44   training loss 0.5230    test loss 0.5266    train acc 0.7808    test acc 0.7710
[2021-07-07 13:12:33] epoch 45   training loss 0.5213    test loss 0.5278    train acc 0.7809    test acc 0.7755
[2021-07-07 13:12:34] epoch 46   training loss 0.5169    test loss 0.5284    train acc 0.7891    test acc 0.7765
[2021-07-07 13:12:35] epoch 47   training loss 0.5201    test loss 0.5275    train acc 0.7861    test acc 0.7695
[2021-07-07 13:12:36] epoch 48   training loss 0.5146    test loss 0.5235    train acc 0.7910    test acc 0.7820
[2021-07-07 13:12:38] epoch 49   training loss 0.5199    test loss 0.5305    train acc 0.7841    test acc 0.7730
[2021-07-07 13:12:39] epoch 50   training loss 0.5156    test loss 0.5210    train acc 0.7883    test acc 0.7835
[2021-07-07 13:12:40] epoch 51   training loss 0.5192    test loss 0.5235    train acc 0.7865    test acc 0.7775
[2021-07-07 13:12:41] epoch 52   training loss 0.5164    test loss 0.5313    train acc 0.7869    test acc 0.7670
[2021-07-07 13:12:42] epoch 53   training loss 0.5156    test loss 0.5257    train acc 0.7895    test acc 0.7770
[2021-07-07 13:12:43] epoch 54   training loss 0.5152    test loss 0.5224    train acc 0.7910    test acc 0.7860
[2021-07-07 13:12:44] epoch 55   training loss 0.5136    test loss 0.5225    train acc 0.7931    test acc 0.7825
