[2021-07-07 14:12:22] STOP            
[2021-07-07 14:12:22] 250
[2021-07-07 14:12:22] SAVE_EVERY      
[2021-07-07 14:12:22] 20
[2021-07-07 14:12:22] LEARNING_RATE   
[2021-07-07 14:12:22] 0.005
[2021-07-07 14:12:22] EPOCH           
[2021-07-07 14:12:22] 300
[2021-07-07 14:12:22] DROPOUT_RATE    
[2021-07-07 14:12:22] 0.2
[2021-07-07 14:12:22] CLASS_NUM       
[2021-07-07 14:12:22] 2
[2021-07-07 14:12:22] FILTER_SIZE     
[2021-07-07 14:12:22] [3, 4, 5]
[2021-07-07 14:12:22] FILTER_NUM      
[2021-07-07 14:12:22] 128
[2021-07-07 14:12:22] EMBED_SIZE      
[2021-07-07 14:12:22] 128
[2021-07-07 14:12:22] BATCH_SIZE      
[2021-07-07 14:12:22] 50
[2021-07-07 14:12:22] data_helper     
[2021-07-07 14:12:22] <data.DataHelper object at 0x0000017E7B4C0AC8>
[2021-07-07 14:12:25] epoch 1   training loss 0.6984    test loss 0.6922    train acc 0.5165    test acc 0.5360
[2021-07-07 14:12:27] epoch 2   training loss 0.6725    test loss 0.6664    train acc 0.5893    test acc 0.5935
[2021-07-07 14:12:28] epoch 3   training loss 0.6511    test loss 0.6409    train acc 0.6368    test acc 0.6580
[2021-07-07 14:12:29] epoch 4   training loss 0.6328    test loss 0.6199    train acc 0.6690    test acc 0.6925
[2021-07-07 14:12:30] epoch 5   training loss 0.6208    test loss 0.6157    train acc 0.6856    test acc 0.6915
[2021-07-07 14:12:31] epoch 6   training loss 0.6078    test loss 0.6052    train acc 0.7034    test acc 0.7055
[2021-07-07 14:12:32] epoch 7   training loss 0.5989    test loss 0.5966    train acc 0.7113    test acc 0.7145
[2021-07-07 14:12:33] epoch 8   training loss 0.5872    test loss 0.5850    train acc 0.7252    test acc 0.7230
[2021-07-07 14:12:35] epoch 9   training loss 0.5736    test loss 0.5786    train acc 0.7431    test acc 0.7330
[2021-07-07 14:12:36] epoch 10   training loss 0.5685    test loss 0.5742    train acc 0.7450    test acc 0.7285
[2021-07-07 14:12:37] epoch 11   training loss 0.5646    test loss 0.5696    train acc 0.7504    test acc 0.7435
