[2021-07-07 13:30:12] STOP            
[2021-07-07 13:30:12] 250
[2021-07-07 13:30:12] SAVE_EVERY      
[2021-07-07 13:30:12] 20
[2021-07-07 13:30:12] LEARNING_RATE   
[2021-07-07 13:30:12] 0.005
[2021-07-07 13:30:12] EPOCH           
[2021-07-07 13:30:12] 300
[2021-07-07 13:30:12] DROPOUT_RATE    
[2021-07-07 13:30:12] 0.2
[2021-07-07 13:30:12] CLASS_NUM       
[2021-07-07 13:30:12] 2
[2021-07-07 13:30:12] FILTER_SIZE     
[2021-07-07 13:30:12] [3, 4, 5]
[2021-07-07 13:30:12] FILTER_NUM      
[2021-07-07 13:30:12] 128
[2021-07-07 13:30:12] EMBED_SIZE      
[2021-07-07 13:30:12] 128
[2021-07-07 13:30:12] BATCH_SIZE      
[2021-07-07 13:30:12] 50
[2021-07-07 13:30:12] data_helper     
[2021-07-07 13:30:12] <data.DataHelper object at 0x0000020648D15978>
[2021-07-07 13:30:15] epoch 1   training loss 0.6905    test loss 0.6703    train acc 0.5383    test acc 0.5910
[2021-07-07 13:30:16] epoch 2   training loss 0.6631    test loss 0.6539    train acc 0.6136    test acc 0.6420
[2021-07-07 13:30:17] epoch 3   training loss 0.6400    test loss 0.6276    train acc 0.6606    test acc 0.6990
[2021-07-07 13:30:19] epoch 4   training loss 0.6189    test loss 0.6132    train acc 0.6955    test acc 0.7140
[2021-07-07 13:30:20] epoch 5   training loss 0.6052    test loss 0.6005    train acc 0.7096    test acc 0.7115
[2021-07-07 13:30:21] epoch 6   training loss 0.5928    test loss 0.5821    train acc 0.7224    test acc 0.7320
[2021-07-07 13:30:22] epoch 7   training loss 0.5814    test loss 0.5751    train acc 0.7299    test acc 0.7405
[2021-07-07 13:30:23] epoch 8   training loss 0.5747    test loss 0.5651    train acc 0.7402    test acc 0.7505
[2021-07-07 13:30:24] epoch 9   training loss 0.5679    test loss 0.5627    train acc 0.7438    test acc 0.7535
[2021-07-07 13:30:25] epoch 10   training loss 0.5612    test loss 0.5610    train acc 0.7484    test acc 0.7465
[2021-07-07 13:30:26] epoch 11   training loss 0.5557    test loss 0.5608    train acc 0.7521    test acc 0.7445
[2021-07-07 13:30:27] epoch 12   training loss 0.5513    test loss 0.5517    train acc 0.7624    test acc 0.7565
[2021-07-07 13:30:28] epoch 13   training loss 0.5478    test loss 0.5544    train acc 0.7612    test acc 0.7455
[2021-07-07 13:30:29] epoch 14   training loss 0.5453    test loss 0.5431    train acc 0.7635    test acc 0.7730
[2021-07-07 13:30:30] epoch 15   training loss 0.5423    test loss 0.5434    train acc 0.7629    test acc 0.7665
