[2021-07-07 15:25:15] STOP            
[2021-07-07 15:25:15] 200
[2021-07-07 15:25:15] SAVE_EVERY      
[2021-07-07 15:25:15] 20
[2021-07-07 15:25:15] LEARNING_RATE   
[2021-07-07 15:25:15] 0.001
[2021-07-07 15:25:15] EPOCH           
[2021-07-07 15:25:15] 250
[2021-07-07 15:25:15] DROPOUT_RATE    
[2021-07-07 15:25:15] 0.2
[2021-07-07 15:25:15] CLASS_NUM       
[2021-07-07 15:25:15] 2
[2021-07-07 15:25:15] FILTER_SIZE     
[2021-07-07 15:25:15] [3, 4, 5]
[2021-07-07 15:25:15] FILTER_NUM      
[2021-07-07 15:25:15] 128
[2021-07-07 15:25:15] EMBED_SIZE      
[2021-07-07 15:25:15] 128
[2021-07-07 15:25:15] BATCH_SIZE      
[2021-07-07 15:25:15] 50
[2021-07-07 15:25:15] data_helper     
[2021-07-07 15:25:15] <data.DataHelper object at 0x00000230B4930AC8>
[2021-07-07 15:25:19] epoch 1   training loss 0.7022    test loss 0.7052    train acc 0.4990    test acc 0.4815
[2021-07-07 15:25:20] epoch 2   training loss 0.7013    test loss 0.7053    train acc 0.4986    test acc 0.4855
[2021-07-07 15:25:21] epoch 3   training loss 0.7010    test loss 0.6972    train acc 0.5012    test acc 0.5190
[2021-07-07 15:25:22] epoch 4   training loss 0.6982    test loss 0.7044    train acc 0.5100    test acc 0.4930
[2021-07-07 15:25:23] epoch 5   training loss 0.6980    test loss 0.7041    train acc 0.5094    test acc 0.4925
[2021-07-07 15:25:24] epoch 6   training loss 0.6973    test loss 0.7003    train acc 0.5179    test acc 0.5040
[2021-07-07 15:25:26] epoch 7   training loss 0.6996    test loss 0.6997    train acc 0.5006    test acc 0.5135
[2021-07-07 15:25:27] epoch 8   training loss 0.6959    test loss 0.6998    train acc 0.5172    test acc 0.5200
[2021-07-07 15:25:28] epoch 9   training loss 0.6967    test loss 0.6960    train acc 0.5141    test acc 0.5025
[2021-07-07 15:25:29] epoch 10   training loss 0.6937    test loss 0.6969    train acc 0.5224    test acc 0.5150
[2021-07-07 15:25:30] epoch 11   training loss 0.6932    test loss 0.6992    train acc 0.5339    test acc 0.5030
[2021-07-07 15:25:31] epoch 12   training loss 0.6967    test loss 0.7015    train acc 0.5088    test acc 0.5020
[2021-07-07 15:25:32] epoch 13   training loss 0.6943    test loss 0.6994    train acc 0.5211    test acc 0.5185
[2021-07-07 15:25:34] epoch 14   training loss 0.6938    test loss 0.6995    train acc 0.5191    test acc 0.5040
[2021-07-07 15:25:35] epoch 15   training loss 0.6946    test loss 0.7000    train acc 0.5169    test acc 0.5065
[2021-07-07 15:25:36] epoch 16   training loss 0.6935    test loss 0.6999    train acc 0.5234    test acc 0.5110
[2021-07-07 15:25:37] epoch 17   training loss 0.6927    test loss 0.7021    train acc 0.5335    test acc 0.4930
[2021-07-07 15:25:38] epoch 18   training loss 0.6890    test loss 0.7001    train acc 0.5414    test acc 0.5060
[2021-07-07 15:25:39] epoch 19   training loss 0.6906    test loss 0.6998    train acc 0.5285    test acc 0.5020
[2021-07-07 15:25:41] epoch 20   training loss 0.6896    test loss 0.6920    train acc 0.5445    test acc 0.5330
[2021-07-07 15:25:42] epoch 21   training loss 0.6904    test loss 0.6954    train acc 0.5357    test acc 0.5005
[2021-07-07 15:25:43] epoch 22   training loss 0.6906    test loss 0.6956    train acc 0.5288    test acc 0.5130
[2021-07-07 15:25:44] epoch 23   training loss 0.6909    test loss 0.6980    train acc 0.5255    test acc 0.5070
[2021-07-07 15:25:45] epoch 24   training loss 0.6900    test loss 0.6959    train acc 0.5329    test acc 0.5215
[2021-07-07 15:25:46] epoch 25   training loss 0.6899    test loss 0.6918    train acc 0.5319    test acc 0.5365
[2021-07-07 15:25:47] epoch 26   training loss 0.6877    test loss 0.6989    train acc 0.5386    test acc 0.5055
[2021-07-07 15:25:49] epoch 27   training loss 0.6865    test loss 0.6954    train acc 0.5426    test acc 0.5240
[2021-07-07 15:25:50] epoch 28   training loss 0.6879    test loss 0.6961    train acc 0.5394    test acc 0.5205
[2021-07-07 15:25:51] epoch 29   training loss 0.6902    test loss 0.6939    train acc 0.5321    test acc 0.5100
[2021-07-07 15:25:52] epoch 30   training loss 0.6850    test loss 0.6909    train acc 0.5501    test acc 0.5375
