[2021-07-02 15:27:44] STOP            
[2021-07-02 15:27:44] 100
[2021-07-02 15:27:44] SAVE_EVERY      
[2021-07-02 15:27:44] 20
[2021-07-02 15:27:44] LEARNING_RATE   
[2021-07-02 15:27:44] 0.001
[2021-07-02 15:27:44] EPOCH           
[2021-07-02 15:27:44] 200
[2021-07-02 15:27:44] DROPOUT_RATE    
[2021-07-02 15:27:44] 0.2
[2021-07-02 15:27:44] CLASS_NUM       
[2021-07-02 15:27:44] 2
[2021-07-02 15:27:44] FILTER_SIZE     
[2021-07-02 15:27:44] [3, 4, 5]
[2021-07-02 15:27:44] FILTER_NUM      
[2021-07-02 15:27:44] 128
[2021-07-02 15:27:44] EMBED_SIZE      
[2021-07-02 15:27:44] 128
[2021-07-02 15:27:44] BATCH_SIZE      
[2021-07-02 15:27:44] 50
[2021-07-02 15:27:44] data_helper     
[2021-07-02 15:27:44] <data.DataHelper object at 0x00000239C1142860>
[2021-07-02 15:27:47] epoch 1   training loss 0.7066    test loss 0.7000    train acc 0.5009    test acc 0.5235
[2021-07-02 15:27:48] epoch 2   training loss 0.7045    test loss 0.7049    train acc 0.5038    test acc 0.4990
[2021-07-02 15:27:49] epoch 3   training loss 0.7028    test loss 0.6980    train acc 0.5061    test acc 0.5140
[2021-07-02 15:27:51] epoch 4   training loss 0.7005    test loss 0.6946    train acc 0.5121    test acc 0.5195
[2021-07-02 15:27:52] epoch 5   training loss 0.7002    test loss 0.6948    train acc 0.5088    test acc 0.5295
[2021-07-02 15:27:53] epoch 6   training loss 0.6960    test loss 0.7014    train acc 0.5218    test acc 0.5080
[2021-07-02 15:27:54] epoch 7   training loss 0.6946    test loss 0.6960    train acc 0.5264    test acc 0.5250
[2021-07-02 15:27:55] epoch 8   training loss 0.6944    test loss 0.6890    train acc 0.5246    test acc 0.5395
[2021-07-02 15:27:56] epoch 9   training loss 0.6915    test loss 0.6909    train acc 0.5355    test acc 0.5405
[2021-07-02 15:27:57] epoch 10   training loss 0.6935    test loss 0.6877    train acc 0.5195    test acc 0.5495
[2021-07-02 15:27:58] epoch 11   training loss 0.6907    test loss 0.6891    train acc 0.5371    test acc 0.5480
[2021-07-02 15:27:59] epoch 12   training loss 0.6892    test loss 0.6881    train acc 0.5364    test acc 0.5255
[2021-07-02 15:28:00] epoch 13   training loss 0.6890    test loss 0.6916    train acc 0.5385    test acc 0.5440
[2021-07-02 15:28:02] epoch 14   training loss 0.6854    test loss 0.6865    train acc 0.5574    test acc 0.5470
[2021-07-02 15:28:03] epoch 15   training loss 0.6846    test loss 0.6916    train acc 0.5580    test acc 0.5490
[2021-07-02 15:28:04] epoch 16   training loss 0.6837    test loss 0.6917    train acc 0.5546    test acc 0.5300
[2021-07-02 15:28:05] epoch 17   training loss 0.6836    test loss 0.6907    train acc 0.5539    test acc 0.5475
[2021-07-02 15:28:06] epoch 18   training loss 0.6811    test loss 0.6889    train acc 0.5615    test acc 0.5450
[2021-07-02 15:28:07] epoch 19   training loss 0.6769    test loss 0.6907    train acc 0.5741    test acc 0.5375
[2021-07-02 15:28:08] epoch 20   training loss 0.6815    test loss 0.6818    train acc 0.5623    test acc 0.5645
[2021-07-02 15:28:09] epoch 21   training loss 0.6817    test loss 0.6813    train acc 0.5671    test acc 0.5645
[2021-07-02 15:28:10] epoch 22   training loss 0.6779    test loss 0.6833    train acc 0.5714    test acc 0.5555
[2021-07-02 15:28:12] epoch 23   training loss 0.6777    test loss 0.6844    train acc 0.5744    test acc 0.5505
[2021-07-02 15:28:13] epoch 24   training loss 0.6772    test loss 0.6920    train acc 0.5761    test acc 0.5445
[2021-07-02 15:28:14] epoch 25   training loss 0.6760    test loss 0.6814    train acc 0.5773    test acc 0.5490
[2021-07-02 15:28:15] epoch 26   training loss 0.6776    test loss 0.6831    train acc 0.5716    test acc 0.5630
[2021-07-02 15:28:16] epoch 27   training loss 0.6774    test loss 0.6836    train acc 0.5726    test acc 0.5720
[2021-07-02 15:28:17] epoch 28   training loss 0.6726    test loss 0.6799    train acc 0.5874    test acc 0.5675
[2021-07-02 15:28:18] epoch 29   training loss 0.6763    test loss 0.6837    train acc 0.5793    test acc 0.5630
[2021-07-02 15:28:19] epoch 30   training loss 0.6740    test loss 0.6885    train acc 0.5839    test acc 0.5535
[2021-07-02 15:28:20] epoch 31   training loss 0.6742    test loss 0.6829    train acc 0.5804    test acc 0.5615
[2021-07-02 15:28:22] epoch 32   training loss 0.6712    test loss 0.6862    train acc 0.5909    test acc 0.5560
[2021-07-02 15:28:23] epoch 33   training loss 0.6719    test loss 0.6821    train acc 0.5924    test acc 0.5655
[2021-07-02 15:28:24] epoch 34   training loss 0.6717    test loss 0.6694    train acc 0.5874    test acc 0.5885
[2021-07-02 15:28:25] epoch 35   training loss 0.6712    test loss 0.6810    train acc 0.5916    test acc 0.5725
[2021-07-02 15:28:26] epoch 36   training loss 0.6712    test loss 0.6829    train acc 0.5830    test acc 0.5650
[2021-07-02 15:28:27] epoch 37   training loss 0.6696    test loss 0.6796    train acc 0.5938    test acc 0.5640
[2021-07-02 15:28:28] epoch 38   training loss 0.6691    test loss 0.6733    train acc 0.5951    test acc 0.5820
[2021-07-02 15:28:29] epoch 39   training loss 0.6665    test loss 0.6754    train acc 0.5979    test acc 0.5905
[2021-07-02 15:28:30] epoch 40   training loss 0.6668    test loss 0.6826    train acc 0.6009    test acc 0.5610
[2021-07-02 15:28:31] epoch 41   training loss 0.6663    test loss 0.6806    train acc 0.5984    test acc 0.5745
[2021-07-02 15:28:33] epoch 42   training loss 0.6682    test loss 0.6784    train acc 0.5933    test acc 0.5800
[2021-07-02 15:28:34] epoch 43   training loss 0.6661    test loss 0.6799    train acc 0.5974    test acc 0.5680
[2021-07-02 15:28:35] epoch 44   training loss 0.6658    test loss 0.6726    train acc 0.6002    test acc 0.5935
[2021-07-02 15:28:36] epoch 45   training loss 0.6668    test loss 0.6748    train acc 0.5913    test acc 0.5810
