[2021-07-07 14:58:13] STOP            
[2021-07-07 14:58:13] 200
[2021-07-07 14:58:13] SAVE_EVERY      
[2021-07-07 14:58:13] 20
[2021-07-07 14:58:13] LEARNING_RATE   
[2021-07-07 14:58:13] 0.004
[2021-07-07 14:58:13] EPOCH           
[2021-07-07 14:58:13] 250
[2021-07-07 14:58:13] DROPOUT_RATE    
[2021-07-07 14:58:13] 0.2
[2021-07-07 14:58:13] CLASS_NUM       
[2021-07-07 14:58:13] 2
[2021-07-07 14:58:13] FILTER_SIZE     
[2021-07-07 14:58:13] [3, 4, 5]
[2021-07-07 14:58:13] FILTER_NUM      
[2021-07-07 14:58:13] 128
[2021-07-07 14:58:13] EMBED_SIZE      
[2021-07-07 14:58:13] 128
[2021-07-07 14:58:13] BATCH_SIZE      
[2021-07-07 14:58:13] 50
[2021-07-07 14:58:13] data_helper     
[2021-07-07 14:58:13] <data.DataHelper object at 0x000001D50C275AC8>
[2021-07-07 14:58:17] epoch 1   training loss 0.7033    test loss 0.7103    train acc 0.5008    test acc 0.4955
[2021-07-07 14:58:18] epoch 2   training loss 0.6952    test loss 0.6963    train acc 0.5242    test acc 0.5215
[2021-07-07 14:58:19] epoch 3   training loss 0.6895    test loss 0.6945    train acc 0.5425    test acc 0.5225
[2021-07-07 14:58:20] epoch 4   training loss 0.6897    test loss 0.6905    train acc 0.5370    test acc 0.5335
[2021-07-07 14:58:21] epoch 5   training loss 0.6853    test loss 0.6873    train acc 0.5489    test acc 0.5450
[2021-07-07 14:58:23] epoch 6   training loss 0.6793    test loss 0.6834    train acc 0.5643    test acc 0.5580
[2021-07-07 14:58:24] epoch 7   training loss 0.6823    test loss 0.6861    train acc 0.5579    test acc 0.5415
[2021-07-07 14:58:25] epoch 8   training loss 0.6761    test loss 0.6771    train acc 0.5774    test acc 0.5855
[2021-07-07 14:58:27] epoch 9   training loss 0.6725    test loss 0.6786    train acc 0.5906    test acc 0.5660
[2021-07-07 14:58:28] epoch 10   training loss 0.6714    test loss 0.6766    train acc 0.5853    test acc 0.5685
[2021-07-07 14:58:29] epoch 11   training loss 0.6684    test loss 0.6776    train acc 0.5920    test acc 0.5660
[2021-07-07 14:58:30] epoch 12   training loss 0.6671    test loss 0.6737    train acc 0.5955    test acc 0.5850
[2021-07-07 14:58:31] epoch 13   training loss 0.6654    test loss 0.6784    train acc 0.5951    test acc 0.5660
[2021-07-07 14:58:32] epoch 14   training loss 0.6639    test loss 0.6733    train acc 0.5959    test acc 0.5715
[2021-07-07 14:58:34] epoch 15   training loss 0.6641    test loss 0.6685    train acc 0.5978    test acc 0.6085
[2021-07-07 14:58:35] epoch 16   training loss 0.6615    test loss 0.6724    train acc 0.6150    test acc 0.5925
[2021-07-07 14:58:36] epoch 17   training loss 0.6591    test loss 0.6646    train acc 0.6108    test acc 0.6075
[2021-07-07 14:58:37] epoch 18   training loss 0.6604    test loss 0.6704    train acc 0.6080    test acc 0.5975
[2021-07-07 14:58:38] epoch 19   training loss 0.6571    test loss 0.6664    train acc 0.6185    test acc 0.5935
[2021-07-07 14:58:40] epoch 20   training loss 0.6573    test loss 0.6661    train acc 0.6111    test acc 0.6085
[2021-07-07 14:58:41] epoch 21   training loss 0.6545    test loss 0.6676    train acc 0.6174    test acc 0.5910
[2021-07-07 14:58:42] epoch 22   training loss 0.6518    test loss 0.6623    train acc 0.6199    test acc 0.6075
[2021-07-07 14:58:43] epoch 23   training loss 0.6495    test loss 0.6714    train acc 0.6326    test acc 0.5780
[2021-07-07 14:58:44] epoch 24   training loss 0.6497    test loss 0.6602    train acc 0.6240    test acc 0.6105
[2021-07-07 14:58:46] epoch 25   training loss 0.6514    test loss 0.6568    train acc 0.6178    test acc 0.6165
[2021-07-07 14:58:47] epoch 26   training loss 0.6457    test loss 0.6555    train acc 0.6309    test acc 0.6215
[2021-07-07 14:58:48] epoch 27   training loss 0.6441    test loss 0.6674    train acc 0.6376    test acc 0.5945
[2021-07-07 14:58:49] epoch 28   training loss 0.6450    test loss 0.6668    train acc 0.6282    test acc 0.6065
[2021-07-07 14:58:51] epoch 29   training loss 0.6432    test loss 0.6553    train acc 0.6316    test acc 0.6190
[2021-07-07 14:58:52] epoch 30   training loss 0.6432    test loss 0.6542    train acc 0.6345    test acc 0.6210
[2021-07-07 14:58:53] epoch 31   training loss 0.6407    test loss 0.6616    train acc 0.6428    test acc 0.6105
[2021-07-07 14:58:54] epoch 32   training loss 0.6423    test loss 0.6549    train acc 0.6354    test acc 0.6150
[2021-07-07 14:58:55] epoch 33   training loss 0.6400    test loss 0.6674    train acc 0.6381    test acc 0.5980
[2021-07-07 14:58:57] epoch 34   training loss 0.6406    test loss 0.6620    train acc 0.6415    test acc 0.6105
[2021-07-07 14:58:58] epoch 35   training loss 0.6371    test loss 0.6670    train acc 0.6432    test acc 0.5895
[2021-07-07 14:58:59] epoch 36   training loss 0.6398    test loss 0.6628    train acc 0.6384    test acc 0.5975
[2021-07-07 14:59:00] epoch 37   training loss 0.6385    test loss 0.6583    train acc 0.6364    test acc 0.5985
[2021-07-07 14:59:01] epoch 38   training loss 0.6342    test loss 0.6612    train acc 0.6516    test acc 0.6005
[2021-07-07 14:59:03] epoch 39   training loss 0.6337    test loss 0.6570    train acc 0.6442    test acc 0.6210
[2021-07-07 14:59:04] epoch 40   training loss 0.6338    test loss 0.6618    train acc 0.6501    test acc 0.5875
[2021-07-07 14:59:05] epoch 41   training loss 0.6324    test loss 0.6581    train acc 0.6492    test acc 0.6095
[2021-07-07 14:59:07] epoch 42   training loss 0.6307    test loss 0.6550    train acc 0.6561    test acc 0.6070
[2021-07-07 14:59:08] epoch 43   training loss 0.6303    test loss 0.6562    train acc 0.6491    test acc 0.6150
[2021-07-07 14:59:09] epoch 44   training loss 0.6292    test loss 0.6557    train acc 0.6567    test acc 0.6165
[2021-07-07 14:59:10] epoch 45   training loss 0.6320    test loss 0.6576    train acc 0.6509    test acc 0.6110
[2021-07-07 14:59:11] epoch 46   training loss 0.6282    test loss 0.6660    train acc 0.6559    test acc 0.6005
[2021-07-07 14:59:13] epoch 47   training loss 0.6247    test loss 0.6634    train acc 0.6597    test acc 0.6020
[2021-07-07 14:59:14] epoch 48   training loss 0.6265    test loss 0.6536    train acc 0.6561    test acc 0.6125
[2021-07-07 14:59:15] epoch 49   training loss 0.6248    test loss 0.6496    train acc 0.6575    test acc 0.6260
[2021-07-07 14:59:16] epoch 50   training loss 0.6255    test loss 0.6569    train acc 0.6623    test acc 0.6100
[2021-07-07 14:59:17] epoch 51   training loss 0.6230    test loss 0.6524    train acc 0.6653    test acc 0.6185
[2021-07-07 14:59:19] epoch 52   training loss 0.6250    test loss 0.6578    train acc 0.6575    test acc 0.6160
[2021-07-07 14:59:20] epoch 53   training loss 0.6237    test loss 0.6576    train acc 0.6637    test acc 0.6125
[2021-07-07 14:59:21] epoch 54   training loss 0.6221    test loss 0.6510    train acc 0.6644    test acc 0.6225
[2021-07-07 14:59:22] epoch 55   training loss 0.6181    test loss 0.6581    train acc 0.6707    test acc 0.6020
[2021-07-07 14:59:23] epoch 56   training loss 0.6274    test loss 0.6663    train acc 0.6593    test acc 0.5890
[2021-07-07 14:59:25] epoch 57   training loss 0.6179    test loss 0.6629    train acc 0.6679    test acc 0.6000
[2021-07-07 14:59:26] epoch 58   training loss 0.6194    test loss 0.6603    train acc 0.6693    test acc 0.5980
[2021-07-07 14:59:27] epoch 59   training loss 0.6200    test loss 0.6591    train acc 0.6690    test acc 0.6070
[2021-07-07 14:59:28] epoch 60   training loss 0.6193    test loss 0.6525    train acc 0.6671    test acc 0.6095
[2021-07-07 14:59:29] epoch 61   training loss 0.6177    test loss 0.6561    train acc 0.6681    test acc 0.6085
[2021-07-07 14:59:31] epoch 62   training loss 0.6178    test loss 0.6626    train acc 0.6689    test acc 0.6060
[2021-07-07 14:59:32] epoch 63   training loss 0.6165    test loss 0.6494    train acc 0.6680    test acc 0.6255
[2021-07-07 14:59:33] epoch 64   training loss 0.6188    test loss 0.6520    train acc 0.6666    test acc 0.6200
[2021-07-07 14:59:35] epoch 65   training loss 0.6158    test loss 0.6573    train acc 0.6734    test acc 0.6200
[2021-07-07 14:59:36] epoch 66   training loss 0.6135    test loss 0.6632    train acc 0.6740    test acc 0.5955
[2021-07-07 14:59:37] epoch 67   training loss 0.6124    test loss 0.6483    train acc 0.6784    test acc 0.6375
[2021-07-07 14:59:38] epoch 68   training loss 0.6145    test loss 0.6470    train acc 0.6759    test acc 0.6350
[2021-07-07 14:59:40] epoch 69   training loss 0.6122    test loss 0.6549    train acc 0.6755    test acc 0.6195
[2021-07-07 14:59:41] epoch 70   training loss 0.6111    test loss 0.6420    train acc 0.6779    test acc 0.6450
[2021-07-07 14:59:42] epoch 71   training loss 0.6117    test loss 0.6609    train acc 0.6745    test acc 0.6085
[2021-07-07 14:59:44] epoch 72   training loss 0.6070    test loss 0.6524    train acc 0.6823    test acc 0.6175
[2021-07-07 14:59:45] epoch 73   training loss 0.6095    test loss 0.6597    train acc 0.6793    test acc 0.6085
[2021-07-07 14:59:46] epoch 74   training loss 0.6066    test loss 0.6613    train acc 0.6820    test acc 0.6020
[2021-07-07 14:59:47] epoch 75   training loss 0.6090    test loss 0.6565    train acc 0.6844    test acc 0.6125
