[2021-07-02 15:35:15] STOP            
[2021-07-02 15:35:15] 100
[2021-07-02 15:35:15] SAVE_EVERY      
[2021-07-02 15:35:15] 20
[2021-07-02 15:35:15] LEARNING_RATE   
[2021-07-02 15:35:15] 0.001
[2021-07-02 15:35:15] EPOCH           
[2021-07-02 15:35:15] 200
[2021-07-02 15:35:15] DROPOUT_RATE    
[2021-07-02 15:35:15] 0.2
[2021-07-02 15:35:15] CLASS_NUM       
[2021-07-02 15:35:15] 2
[2021-07-02 15:35:15] FILTER_SIZE     
[2021-07-02 15:35:15] [3, 4, 5]
[2021-07-02 15:35:15] FILTER_NUM      
[2021-07-02 15:35:15] 128
[2021-07-02 15:35:15] EMBED_SIZE      
[2021-07-02 15:35:15] 128
[2021-07-02 15:35:15] BATCH_SIZE      
[2021-07-02 15:35:15] 50
[2021-07-02 15:35:15] data_helper     
[2021-07-02 15:35:15] <data.DataHelper object at 0x000001CDBE642860>
[2021-07-02 15:35:18] epoch 1   training loss 0.7023    test loss 0.6984    train acc 0.4998    test acc 0.5185
[2021-07-02 15:35:19] epoch 2   training loss 0.6969    test loss 0.6972    train acc 0.5158    test acc 0.5125
[2021-07-02 15:35:20] epoch 3   training loss 0.6973    test loss 0.6973    train acc 0.5180    test acc 0.5085
[2021-07-02 15:35:22] epoch 4   training loss 0.6954    test loss 0.6942    train acc 0.5282    test acc 0.5265
[2021-07-02 15:35:23] epoch 5   training loss 0.6938    test loss 0.6926    train acc 0.5302    test acc 0.5285
[2021-07-02 15:35:24] epoch 6   training loss 0.6902    test loss 0.6928    train acc 0.5336    test acc 0.5205
[2021-07-02 15:35:25] epoch 7   training loss 0.6878    test loss 0.6900    train acc 0.5449    test acc 0.5340
[2021-07-02 15:35:26] epoch 8   training loss 0.6869    test loss 0.6804    train acc 0.5443    test acc 0.5550
[2021-07-02 15:35:27] epoch 9   training loss 0.6854    test loss 0.6903    train acc 0.5501    test acc 0.5390
[2021-07-02 15:35:28] epoch 10   training loss 0.6845    test loss 0.6885    train acc 0.5447    test acc 0.5320
[2021-07-02 15:35:29] epoch 11   training loss 0.6811    test loss 0.6786    train acc 0.5600    test acc 0.5650
[2021-07-02 15:35:30] epoch 12   training loss 0.6825    test loss 0.6829    train acc 0.5550    test acc 0.5535
[2021-07-02 15:35:31] epoch 13   training loss 0.6774    test loss 0.6820    train acc 0.5763    test acc 0.5665
[2021-07-02 15:35:32] epoch 14   training loss 0.6781    test loss 0.6784    train acc 0.5700    test acc 0.5705
[2021-07-02 15:35:33] epoch 15   training loss 0.6772    test loss 0.6769    train acc 0.5795    test acc 0.5650
[2021-07-02 15:35:35] epoch 16   training loss 0.6698    test loss 0.6799    train acc 0.5948    test acc 0.5740
[2021-07-02 15:35:36] epoch 17   training loss 0.6724    test loss 0.6772    train acc 0.5834    test acc 0.5710
[2021-07-02 15:35:37] epoch 18   training loss 0.6694    test loss 0.6733    train acc 0.5966    test acc 0.5860
[2021-07-02 15:35:38] epoch 19   training loss 0.6704    test loss 0.6753    train acc 0.5945    test acc 0.5775
[2021-07-02 15:35:39] epoch 20   training loss 0.6698    test loss 0.6755    train acc 0.5951    test acc 0.5695
[2021-07-02 15:35:40] epoch 21   training loss 0.6664    test loss 0.6705    train acc 0.5984    test acc 0.5840
[2021-07-02 15:35:41] epoch 22   training loss 0.6668    test loss 0.6731    train acc 0.6034    test acc 0.5825
[2021-07-02 15:35:42] epoch 23   training loss 0.6637    test loss 0.6752    train acc 0.6111    test acc 0.5805
[2021-07-02 15:35:43] epoch 24   training loss 0.6637    test loss 0.6755    train acc 0.6104    test acc 0.5870
[2021-07-02 15:35:44] epoch 25   training loss 0.6623    test loss 0.6682    train acc 0.6152    test acc 0.5930
[2021-07-02 15:35:46] epoch 26   training loss 0.6621    test loss 0.6690    train acc 0.6075    test acc 0.5895
[2021-07-02 15:35:47] epoch 27   training loss 0.6591    test loss 0.6674    train acc 0.6162    test acc 0.5755
[2021-07-02 15:35:48] epoch 28   training loss 0.6550    test loss 0.6658    train acc 0.6289    test acc 0.6085
[2021-07-02 15:35:49] epoch 29   training loss 0.6591    test loss 0.6649    train acc 0.6209    test acc 0.5965
[2021-07-02 15:35:50] epoch 30   training loss 0.6556    test loss 0.6662    train acc 0.6262    test acc 0.6140
[2021-07-02 15:35:51] epoch 31   training loss 0.6567    test loss 0.6642    train acc 0.6124    test acc 0.5910
[2021-07-02 15:35:52] epoch 32   training loss 0.6537    test loss 0.6675    train acc 0.6318    test acc 0.5970
[2021-07-02 15:35:53] epoch 33   training loss 0.6528    test loss 0.6544    train acc 0.6300    test acc 0.6310
[2021-07-02 15:35:54] epoch 34   training loss 0.6531    test loss 0.6586    train acc 0.6270    test acc 0.6255
[2021-07-02 15:35:56] epoch 35   training loss 0.6505    test loss 0.6618    train acc 0.6348    test acc 0.6015
[2021-07-02 15:35:57] epoch 36   training loss 0.6498    test loss 0.6594    train acc 0.6321    test acc 0.6040
[2021-07-02 15:35:58] epoch 37   training loss 0.6519    test loss 0.6598    train acc 0.6289    test acc 0.6135
[2021-07-02 15:35:59] epoch 38   training loss 0.6446    test loss 0.6564    train acc 0.6404    test acc 0.6165
[2021-07-02 15:36:00] epoch 39   training loss 0.6471    test loss 0.6555    train acc 0.6436    test acc 0.6235
[2021-07-02 15:36:01] epoch 40   training loss 0.6468    test loss 0.6556    train acc 0.6400    test acc 0.6105
[2021-07-02 15:36:02] epoch 41   training loss 0.6437    test loss 0.6601    train acc 0.6459    test acc 0.6125
[2021-07-02 15:36:03] epoch 42   training loss 0.6447    test loss 0.6549    train acc 0.6421    test acc 0.6180
[2021-07-02 15:36:04] epoch 43   training loss 0.6458    test loss 0.6542    train acc 0.6386    test acc 0.6085
[2021-07-02 15:36:06] epoch 44   training loss 0.6438    test loss 0.6567    train acc 0.6356    test acc 0.6185
[2021-07-02 15:36:07] epoch 45   training loss 0.6414    test loss 0.6535    train acc 0.6499    test acc 0.6190
[2021-07-02 15:36:08] epoch 46   training loss 0.6392    test loss 0.6509    train acc 0.6490    test acc 0.6350
[2021-07-02 15:36:09] epoch 47   training loss 0.6411    test loss 0.6545    train acc 0.6471    test acc 0.6190
[2021-07-02 15:36:10] epoch 48   training loss 0.6386    test loss 0.6510    train acc 0.6496    test acc 0.6165
[2021-07-02 15:36:11] epoch 49   training loss 0.6402    test loss 0.6507    train acc 0.6491    test acc 0.6235
[2021-07-02 15:36:12] epoch 50   training loss 0.6357    test loss 0.6588    train acc 0.6529    test acc 0.6105
[2021-07-02 15:36:13] epoch 51   training loss 0.6382    test loss 0.6497    train acc 0.6505    test acc 0.6285
[2021-07-02 15:36:14] epoch 52   training loss 0.6370    test loss 0.6426    train acc 0.6514    test acc 0.6460
[2021-07-02 15:36:16] epoch 53   training loss 0.6381    test loss 0.6492    train acc 0.6469    test acc 0.6185
[2021-07-02 15:36:17] epoch 54   training loss 0.6322    test loss 0.6430    train acc 0.6600    test acc 0.6350
[2021-07-02 15:36:18] epoch 55   training loss 0.6322    test loss 0.6483    train acc 0.6597    test acc 0.6415
[2021-07-02 15:36:19] epoch 56   training loss 0.6345    test loss 0.6480    train acc 0.6546    test acc 0.6340
[2021-07-02 15:36:20] epoch 57   training loss 0.6320    test loss 0.6472    train acc 0.6585    test acc 0.6295
[2021-07-02 15:36:21] epoch 58   training loss 0.6342    test loss 0.6475    train acc 0.6562    test acc 0.6310
[2021-07-02 15:36:22] epoch 59   training loss 0.6318    test loss 0.6493    train acc 0.6624    test acc 0.6200
[2021-07-02 15:36:23] epoch 60   training loss 0.6275    test loss 0.6486    train acc 0.6630    test acc 0.6340
[2021-07-02 15:36:25] epoch 61   training loss 0.6303    test loss 0.6494    train acc 0.6581    test acc 0.6180
[2021-07-02 15:36:26] epoch 62   training loss 0.6302    test loss 0.6441    train acc 0.6633    test acc 0.6340
[2021-07-02 15:36:27] epoch 63   training loss 0.6299    test loss 0.6501    train acc 0.6580    test acc 0.6230
[2021-07-02 15:36:28] epoch 64   training loss 0.6289    test loss 0.6456    train acc 0.6656    test acc 0.6330
[2021-07-02 15:36:29] epoch 65   training loss 0.6321    test loss 0.6478    train acc 0.6573    test acc 0.6120
[2021-07-02 15:36:30] epoch 66   training loss 0.6278    test loss 0.6421    train acc 0.6616    test acc 0.6370
[2021-07-02 15:36:31] epoch 67   training loss 0.6250    test loss 0.6400    train acc 0.6674    test acc 0.6390
[2021-07-02 15:36:32] epoch 68   training loss 0.6242    test loss 0.6394    train acc 0.6706    test acc 0.6420
[2021-07-02 15:36:33] epoch 69   training loss 0.6233    test loss 0.6414    train acc 0.6749    test acc 0.6420
[2021-07-02 15:36:35] epoch 70   training loss 0.6259    test loss 0.6398    train acc 0.6664    test acc 0.6335
[2021-07-02 15:36:36] epoch 71   training loss 0.6264    test loss 0.6432    train acc 0.6653    test acc 0.6375
[2021-07-02 15:36:37] epoch 72   training loss 0.6256    test loss 0.6421    train acc 0.6611    test acc 0.6280
