[2021-07-07 14:48:34] STOP            
[2021-07-07 14:48:34] 200
[2021-07-07 14:48:34] SAVE_EVERY      
[2021-07-07 14:48:34] 20
[2021-07-07 14:48:34] LEARNING_RATE   
[2021-07-07 14:48:34] 0.004
[2021-07-07 14:48:34] EPOCH           
[2021-07-07 14:48:34] 250
[2021-07-07 14:48:34] DROPOUT_RATE    
[2021-07-07 14:48:34] 0.2
[2021-07-07 14:48:34] CLASS_NUM       
[2021-07-07 14:48:34] 2
[2021-07-07 14:48:34] FILTER_SIZE     
[2021-07-07 14:48:34] [3, 4, 5]
[2021-07-07 14:48:34] FILTER_NUM      
[2021-07-07 14:48:34] 128
[2021-07-07 14:48:34] EMBED_SIZE      
[2021-07-07 14:48:34] 128
[2021-07-07 14:48:34] BATCH_SIZE      
[2021-07-07 14:48:34] 50
[2021-07-07 14:48:34] data_helper     
[2021-07-07 14:48:34] <data.DataHelper object at 0x000002B7CF7E0AC8>
[2021-07-07 14:48:37] epoch 1   training loss 0.6995    test loss 0.6945    train acc 0.5100    test acc 0.5250
[2021-07-07 14:48:38] epoch 2   training loss 0.6872    test loss 0.6887    train acc 0.5470    test acc 0.5500
[2021-07-07 14:48:40] epoch 3   training loss 0.6792    test loss 0.6813    train acc 0.5693    test acc 0.5610
[2021-07-07 14:48:41] epoch 4   training loss 0.6744    test loss 0.6747    train acc 0.5871    test acc 0.5785
[2021-07-07 14:48:42] epoch 5   training loss 0.6691    test loss 0.6755    train acc 0.5933    test acc 0.5720
[2021-07-07 14:48:43] epoch 6   training loss 0.6632    test loss 0.6604    train acc 0.6010    test acc 0.6100
[2021-07-07 14:48:44] epoch 7   training loss 0.6643    test loss 0.6644    train acc 0.6064    test acc 0.6055
[2021-07-07 14:48:45] epoch 8   training loss 0.6566    test loss 0.6635    train acc 0.6220    test acc 0.6050
[2021-07-07 14:48:46] epoch 9   training loss 0.6524    test loss 0.6614    train acc 0.6241    test acc 0.6135
[2021-07-07 14:48:47] epoch 10   training loss 0.6496    test loss 0.6513    train acc 0.6292    test acc 0.6400
[2021-07-07 14:48:48] epoch 11   training loss 0.6437    test loss 0.6619    train acc 0.6375    test acc 0.6120
[2021-07-07 14:48:49] epoch 12   training loss 0.6433    test loss 0.6483    train acc 0.6349    test acc 0.6405
[2021-07-07 14:48:51] epoch 13   training loss 0.6372    test loss 0.6458    train acc 0.6434    test acc 0.6345
[2021-07-07 14:48:52] epoch 14   training loss 0.6332    test loss 0.6444    train acc 0.6569    test acc 0.6460
[2021-07-07 14:48:53] epoch 15   training loss 0.6286    test loss 0.6527    train acc 0.6626    test acc 0.6215
[2021-07-07 14:48:54] epoch 16   training loss 0.6275    test loss 0.6485    train acc 0.6647    test acc 0.6360
[2021-07-07 14:48:55] epoch 17   training loss 0.6278    test loss 0.6396    train acc 0.6590    test acc 0.6470
[2021-07-07 14:48:57] epoch 18   training loss 0.6274    test loss 0.6418    train acc 0.6577    test acc 0.6475
[2021-07-07 14:48:58] epoch 19   training loss 0.6196    test loss 0.6334    train acc 0.6763    test acc 0.6525
[2021-07-07 14:48:59] epoch 20   training loss 0.6215    test loss 0.6403    train acc 0.6695    test acc 0.6390
[2021-07-07 14:49:00] epoch 21   training loss 0.6182    test loss 0.6258    train acc 0.6686    test acc 0.6705
[2021-07-07 14:49:01] epoch 22   training loss 0.6173    test loss 0.6340    train acc 0.6739    test acc 0.6500
[2021-07-07 14:49:02] epoch 23   training loss 0.6151    test loss 0.6384    train acc 0.6740    test acc 0.6470
[2021-07-07 14:49:04] epoch 24   training loss 0.6115    test loss 0.6343    train acc 0.6800    test acc 0.6470
[2021-07-07 14:49:05] epoch 25   training loss 0.6136    test loss 0.6316    train acc 0.6709    test acc 0.6520
[2021-07-07 14:49:06] epoch 26   training loss 0.6090    test loss 0.6364    train acc 0.6813    test acc 0.6380
[2021-07-07 14:49:07] epoch 27   training loss 0.6131    test loss 0.6315    train acc 0.6721    test acc 0.6590
[2021-07-07 14:49:08] epoch 28   training loss 0.6065    test loss 0.6342    train acc 0.6841    test acc 0.6470
[2021-07-07 14:49:09] epoch 29   training loss 0.6083    test loss 0.6309    train acc 0.6840    test acc 0.6585
[2021-07-07 14:49:11] epoch 30   training loss 0.6053    test loss 0.6276    train acc 0.6897    test acc 0.6545
[2021-07-07 14:49:12] epoch 31   training loss 0.6031    test loss 0.6210    train acc 0.6915    test acc 0.6675
[2021-07-07 14:49:13] epoch 32   training loss 0.5984    test loss 0.6285    train acc 0.7001    test acc 0.6470
[2021-07-07 14:49:14] epoch 33   training loss 0.6020    test loss 0.6285    train acc 0.6907    test acc 0.6580
[2021-07-07 14:49:16] epoch 34   training loss 0.5997    test loss 0.6288    train acc 0.6929    test acc 0.6580
[2021-07-07 14:49:17] epoch 35   training loss 0.6028    test loss 0.6226    train acc 0.6906    test acc 0.6555
[2021-07-07 14:49:18] epoch 36   training loss 0.5969    test loss 0.6242    train acc 0.6966    test acc 0.6560
[2021-07-07 14:49:19] epoch 37   training loss 0.5956    test loss 0.6244    train acc 0.7037    test acc 0.6665
[2021-07-07 14:49:21] epoch 38   training loss 0.5992    test loss 0.6210    train acc 0.6931    test acc 0.6720
[2021-07-07 14:49:22] epoch 39   training loss 0.5899    test loss 0.6265    train acc 0.7089    test acc 0.6580
[2021-07-07 14:49:23] epoch 40   training loss 0.5906    test loss 0.6250    train acc 0.7071    test acc 0.6565
[2021-07-07 14:49:24] epoch 41   training loss 0.5907    test loss 0.6278    train acc 0.7077    test acc 0.6570
[2021-07-07 14:49:25] epoch 42   training loss 0.5884    test loss 0.6236    train acc 0.7109    test acc 0.6575
[2021-07-07 14:49:27] epoch 43   training loss 0.5917    test loss 0.6288    train acc 0.7015    test acc 0.6560
[2021-07-07 14:49:28] epoch 44   training loss 0.5910    test loss 0.6209    train acc 0.7075    test acc 0.6680
[2021-07-07 14:49:29] epoch 45   training loss 0.5901    test loss 0.6172    train acc 0.7016    test acc 0.6720
[2021-07-07 14:49:30] epoch 46   training loss 0.5908    test loss 0.6210    train acc 0.7027    test acc 0.6560
[2021-07-07 14:49:31] epoch 47   training loss 0.5855    test loss 0.6202    train acc 0.7067    test acc 0.6655
[2021-07-07 14:49:32] epoch 48   training loss 0.5874    test loss 0.6221    train acc 0.7065    test acc 0.6630
[2021-07-07 14:49:33] epoch 49   training loss 0.5833    test loss 0.6228    train acc 0.7141    test acc 0.6565
[2021-07-07 14:49:34] epoch 50   training loss 0.5826    test loss 0.6192    train acc 0.7130    test acc 0.6730
[2021-07-07 14:49:36] epoch 51   training loss 0.5832    test loss 0.6220    train acc 0.7151    test acc 0.6630
[2021-07-07 14:49:37] epoch 52   training loss 0.5812    test loss 0.6156    train acc 0.7171    test acc 0.6630
[2021-07-07 14:49:38] epoch 53   training loss 0.5824    test loss 0.6149    train acc 0.7145    test acc 0.6740
[2021-07-07 14:49:39] epoch 54   training loss 0.5834    test loss 0.6090    train acc 0.7114    test acc 0.6800
[2021-07-07 14:49:40] epoch 55   training loss 0.5778    test loss 0.6092    train acc 0.7205    test acc 0.6805
[2021-07-07 14:49:41] epoch 56   training loss 0.5766    test loss 0.6201    train acc 0.7225    test acc 0.6615
[2021-07-07 14:49:42] epoch 57   training loss 0.5774    test loss 0.6156    train acc 0.7209    test acc 0.6655
[2021-07-07 14:49:43] epoch 58   training loss 0.5759    test loss 0.6154    train acc 0.7211    test acc 0.6645
[2021-07-07 14:49:45] epoch 59   training loss 0.5771    test loss 0.6052    train acc 0.7171    test acc 0.6915
[2021-07-07 14:49:46] epoch 60   training loss 0.5736    test loss 0.6221    train acc 0.7252    test acc 0.6550
[2021-07-07 14:49:47] epoch 61   training loss 0.5738    test loss 0.6159    train acc 0.7279    test acc 0.6755
[2021-07-07 14:49:48] epoch 62   training loss 0.5745    test loss 0.6167    train acc 0.7234    test acc 0.6665
[2021-07-07 14:49:49] epoch 63   training loss 0.5714    test loss 0.6231    train acc 0.7255    test acc 0.6605
[2021-07-07 14:49:50] epoch 64   training loss 0.5726    test loss 0.6175    train acc 0.7290    test acc 0.6685
[2021-07-07 14:49:51] epoch 65   training loss 0.5695    test loss 0.6204    train acc 0.7280    test acc 0.6705
[2021-07-07 14:49:52] epoch 66   training loss 0.5689    test loss 0.6196    train acc 0.7318    test acc 0.6670
