[2021-07-02 15:43:04] STOP            
[2021-07-02 15:43:04] 100
[2021-07-02 15:43:04] SAVE_EVERY      
[2021-07-02 15:43:04] 20
[2021-07-02 15:43:04] LEARNING_RATE   
[2021-07-02 15:43:04] 0.001
[2021-07-02 15:43:04] EPOCH           
[2021-07-02 15:43:04] 200
[2021-07-02 15:43:04] DROPOUT_RATE    
[2021-07-02 15:43:04] 0.2
[2021-07-02 15:43:04] CLASS_NUM       
[2021-07-02 15:43:04] 2
[2021-07-02 15:43:04] FILTER_SIZE     
[2021-07-02 15:43:04] [3, 4, 5]
[2021-07-02 15:43:04] FILTER_NUM      
[2021-07-02 15:43:04] 128
[2021-07-02 15:43:04] EMBED_SIZE      
[2021-07-02 15:43:04] 128
[2021-07-02 15:43:04] BATCH_SIZE      
[2021-07-02 15:43:04] 50
[2021-07-02 15:43:04] data_helper     
[2021-07-02 15:43:04] <data.DataHelper object at 0x0000015124152860>
[2021-07-02 15:43:07] epoch 1   training loss 0.6999    test loss 0.6955    train acc 0.5101    test acc 0.5255
[2021-07-02 15:43:08] epoch 2   training loss 0.6930    test loss 0.6914    train acc 0.5282    test acc 0.5370
[2021-07-02 15:43:09] epoch 3   training loss 0.6931    test loss 0.6937    train acc 0.5262    test acc 0.5275
[2021-07-02 15:43:10] epoch 4   training loss 0.6932    test loss 0.6922    train acc 0.5271    test acc 0.5495
[2021-07-02 15:43:11] epoch 5   training loss 0.6898    test loss 0.6903    train acc 0.5335    test acc 0.5425
[2021-07-02 15:43:13] epoch 6   training loss 0.6864    test loss 0.6849    train acc 0.5433    test acc 0.5580
[2021-07-02 15:43:14] epoch 7   training loss 0.6799    test loss 0.6860    train acc 0.5700    test acc 0.5540
[2021-07-02 15:43:15] epoch 8   training loss 0.6805    test loss 0.6802    train acc 0.5633    test acc 0.5720
[2021-07-02 15:43:16] epoch 9   training loss 0.6784    test loss 0.6813    train acc 0.5726    test acc 0.5620
[2021-07-02 15:43:17] epoch 10   training loss 0.6763    test loss 0.6701    train acc 0.5726    test acc 0.6045
[2021-07-02 15:43:18] epoch 11   training loss 0.6736    test loss 0.6734    train acc 0.5903    test acc 0.5760
[2021-07-02 15:43:19] epoch 12   training loss 0.6741    test loss 0.6706    train acc 0.5763    test acc 0.5940
[2021-07-02 15:43:20] epoch 13   training loss 0.6700    test loss 0.6695    train acc 0.5966    test acc 0.5875
[2021-07-02 15:43:21] epoch 14   training loss 0.6707    test loss 0.6685    train acc 0.5905    test acc 0.5955
[2021-07-02 15:43:22] epoch 15   training loss 0.6687    test loss 0.6677    train acc 0.5934    test acc 0.6000
[2021-07-02 15:43:23] epoch 16   training loss 0.6623    test loss 0.6604    train acc 0.6176    test acc 0.6165
[2021-07-02 15:43:24] epoch 17   training loss 0.6631    test loss 0.6662    train acc 0.6066    test acc 0.6000
[2021-07-02 15:43:26] epoch 18   training loss 0.6642    test loss 0.6618    train acc 0.6091    test acc 0.6140
[2021-07-02 15:43:27] epoch 19   training loss 0.6610    test loss 0.6564    train acc 0.6142    test acc 0.6195
[2021-07-02 15:43:28] epoch 20   training loss 0.6578    test loss 0.6577    train acc 0.6249    test acc 0.6070
[2021-07-02 15:43:29] epoch 21   training loss 0.6554    test loss 0.6560    train acc 0.6274    test acc 0.6295
[2021-07-02 15:43:30] epoch 22   training loss 0.6531    test loss 0.6546    train acc 0.6260    test acc 0.6275
[2021-07-02 15:43:31] epoch 23   training loss 0.6519    test loss 0.6499    train acc 0.6355    test acc 0.6335
[2021-07-02 15:43:32] epoch 24   training loss 0.6516    test loss 0.6577    train acc 0.6302    test acc 0.6190
[2021-07-02 15:43:33] epoch 25   training loss 0.6494    test loss 0.6473    train acc 0.6282    test acc 0.6520
[2021-07-02 15:43:34] epoch 26   training loss 0.6459    test loss 0.6445    train acc 0.6369    test acc 0.6530
[2021-07-02 15:43:35] epoch 27   training loss 0.6462    test loss 0.6476    train acc 0.6398    test acc 0.6470
