[2021-07-07 14:36:35] STOP            
[2021-07-07 14:36:35] 250
[2021-07-07 14:36:35] SAVE_EVERY      
[2021-07-07 14:36:35] 20
[2021-07-07 14:36:35] LEARNING_RATE   
[2021-07-07 14:36:35] 0.003
[2021-07-07 14:36:35] EPOCH           
[2021-07-07 14:36:35] 300
[2021-07-07 14:36:35] DROPOUT_RATE    
[2021-07-07 14:36:35] 0.2
[2021-07-07 14:36:35] CLASS_NUM       
[2021-07-07 14:36:35] 2
[2021-07-07 14:36:35] FILTER_SIZE     
[2021-07-07 14:36:35] [3, 4, 5]
[2021-07-07 14:36:35] FILTER_NUM      
[2021-07-07 14:36:35] 128
[2021-07-07 14:36:35] EMBED_SIZE      
[2021-07-07 14:36:35] 128
[2021-07-07 14:36:35] BATCH_SIZE      
[2021-07-07 14:36:35] 50
[2021-07-07 14:36:35] data_helper     
[2021-07-07 14:36:35] <data.DataHelper object at 0x0000017228750AC8>
[2021-07-07 14:36:39] epoch 1   training loss 0.7004    test loss 0.6889    train acc 0.5062    test acc 0.5370
[2021-07-07 14:36:40] epoch 2   training loss 0.6911    test loss 0.6876    train acc 0.5324    test acc 0.5365
[2021-07-07 14:36:41] epoch 3   training loss 0.6830    test loss 0.6845    train acc 0.5640    test acc 0.5580
[2021-07-07 14:36:42] epoch 4   training loss 0.6742    test loss 0.6715    train acc 0.5850    test acc 0.5820
[2021-07-07 14:36:43] epoch 5   training loss 0.6664    test loss 0.6712    train acc 0.6029    test acc 0.5785
[2021-07-07 14:36:44] epoch 6   training loss 0.6589    test loss 0.6632    train acc 0.6224    test acc 0.6025
[2021-07-07 14:36:45] epoch 7   training loss 0.6564    test loss 0.6594    train acc 0.6205    test acc 0.6140
[2021-07-07 14:36:46] epoch 8   training loss 0.6504    test loss 0.6570    train acc 0.6334    test acc 0.6215
[2021-07-07 14:36:48] epoch 9   training loss 0.6429    test loss 0.6549    train acc 0.6452    test acc 0.6265
[2021-07-07 14:36:49] epoch 10   training loss 0.6419    test loss 0.6484    train acc 0.6425    test acc 0.6295
[2021-07-07 14:36:50] epoch 11   training loss 0.6342    test loss 0.6453    train acc 0.6562    test acc 0.6320
[2021-07-07 14:36:51] epoch 12   training loss 0.6318    test loss 0.6505    train acc 0.6675    test acc 0.6320
[2021-07-07 14:36:52] epoch 13   training loss 0.6274    test loss 0.6380    train acc 0.6695    test acc 0.6660
[2021-07-07 14:36:53] epoch 14   training loss 0.6224    test loss 0.6363    train acc 0.6753    test acc 0.6535
[2021-07-07 14:36:54] epoch 15   training loss 0.6215    test loss 0.6343    train acc 0.6727    test acc 0.6545
[2021-07-07 14:36:55] epoch 16   training loss 0.6146    test loss 0.6317    train acc 0.6840    test acc 0.6585
[2021-07-07 14:36:56] epoch 17   training loss 0.6141    test loss 0.6252    train acc 0.6816    test acc 0.6635
[2021-07-07 14:36:58] epoch 18   training loss 0.6120    test loss 0.6318    train acc 0.6855    test acc 0.6530
[2021-07-07 14:36:59] epoch 19   training loss 0.6096    test loss 0.6221    train acc 0.6883    test acc 0.6730
[2021-07-07 14:37:00] epoch 20   training loss 0.6071    test loss 0.6285    train acc 0.6899    test acc 0.6445
[2021-07-07 14:37:01] epoch 21   training loss 0.6054    test loss 0.6231    train acc 0.6937    test acc 0.6695
[2021-07-07 14:37:02] epoch 22   training loss 0.6023    test loss 0.6239    train acc 0.7004    test acc 0.6615
[2021-07-07 14:37:03] epoch 23   training loss 0.6004    test loss 0.6234    train acc 0.6963    test acc 0.6605
[2021-07-07 14:37:04] epoch 24   training loss 0.5959    test loss 0.6159    train acc 0.7095    test acc 0.6750
[2021-07-07 14:37:05] epoch 25   training loss 0.5976    test loss 0.6246    train acc 0.6979    test acc 0.6680
[2021-07-07 14:37:06] epoch 26   training loss 0.5942    test loss 0.6202    train acc 0.6999    test acc 0.6670
[2021-07-07 14:37:08] epoch 27   training loss 0.5912    test loss 0.6272    train acc 0.7124    test acc 0.6470
[2021-07-07 14:37:09] epoch 28   training loss 0.5939    test loss 0.6186    train acc 0.7066    test acc 0.6695
[2021-07-07 14:37:10] epoch 29   training loss 0.5926    test loss 0.6165    train acc 0.7007    test acc 0.6705
[2021-07-07 14:37:11] epoch 30   training loss 0.5872    test loss 0.6165    train acc 0.7143    test acc 0.6700
[2021-07-07 14:37:12] epoch 31   training loss 0.5884    test loss 0.6193    train acc 0.7106    test acc 0.6635
[2021-07-07 14:37:13] epoch 32   training loss 0.5838    test loss 0.6109    train acc 0.7147    test acc 0.6765
[2021-07-07 14:37:14] epoch 33   training loss 0.5858    test loss 0.6132    train acc 0.7119    test acc 0.6755
[2021-07-07 14:37:15] epoch 34   training loss 0.5841    test loss 0.6189    train acc 0.7149    test acc 0.6695
[2021-07-07 14:37:17] epoch 35   training loss 0.5816    test loss 0.6115    train acc 0.7177    test acc 0.6870
[2021-07-07 14:37:18] epoch 36   training loss 0.5810    test loss 0.6078    train acc 0.7196    test acc 0.6850
[2021-07-07 14:37:19] epoch 37   training loss 0.5798    test loss 0.6060    train acc 0.7151    test acc 0.6805
[2021-07-07 14:37:20] epoch 38   training loss 0.5770    test loss 0.6140    train acc 0.7254    test acc 0.6760
[2021-07-07 14:37:21] epoch 39   training loss 0.5766    test loss 0.6138    train acc 0.7205    test acc 0.6725
[2021-07-07 14:37:22] epoch 40   training loss 0.5765    test loss 0.6096    train acc 0.7206    test acc 0.6760
[2021-07-07 14:37:23] epoch 41   training loss 0.5762    test loss 0.6143    train acc 0.7261    test acc 0.6725
[2021-07-07 14:37:24] epoch 42   training loss 0.5741    test loss 0.6101    train acc 0.7265    test acc 0.6755
[2021-07-07 14:37:25] epoch 43   training loss 0.5711    test loss 0.6058    train acc 0.7341    test acc 0.6855
[2021-07-07 14:37:27] epoch 44   training loss 0.5719    test loss 0.6068    train acc 0.7320    test acc 0.6715
[2021-07-07 14:37:28] epoch 45   training loss 0.5756    test loss 0.6080    train acc 0.7225    test acc 0.6820
[2021-07-07 14:37:29] epoch 46   training loss 0.5737    test loss 0.6063    train acc 0.7254    test acc 0.6950
[2021-07-07 14:37:30] epoch 47   training loss 0.5691    test loss 0.6032    train acc 0.7348    test acc 0.6935
[2021-07-07 14:37:31] epoch 48   training loss 0.5716    test loss 0.6068    train acc 0.7286    test acc 0.6885
[2021-07-07 14:37:32] epoch 49   training loss 0.5697    test loss 0.6084    train acc 0.7258    test acc 0.6825
[2021-07-07 14:37:33] epoch 50   training loss 0.5666    test loss 0.6037    train acc 0.7366    test acc 0.6935
[2021-07-07 14:37:34] epoch 51   training loss 0.5665    test loss 0.6083    train acc 0.7370    test acc 0.6780
[2021-07-07 14:37:36] epoch 52   training loss 0.5653    test loss 0.6008    train acc 0.7340    test acc 0.6935
