[2021-07-02 15:48:59] STOP            
[2021-07-02 15:48:59] 100
[2021-07-02 15:48:59] SAVE_EVERY      
[2021-07-02 15:48:59] 20
[2021-07-02 15:48:59] LEARNING_RATE   
[2021-07-02 15:48:59] 0.001
[2021-07-02 15:48:59] EPOCH           
[2021-07-02 15:48:59] 200
[2021-07-02 15:48:59] DROPOUT_RATE    
[2021-07-02 15:48:59] 0.2
[2021-07-02 15:48:59] CLASS_NUM       
[2021-07-02 15:48:59] 2
[2021-07-02 15:48:59] FILTER_SIZE     
[2021-07-02 15:48:59] [3, 4, 5]
[2021-07-02 15:48:59] FILTER_NUM      
[2021-07-02 15:48:59] 128
[2021-07-02 15:48:59] EMBED_SIZE      
[2021-07-02 15:48:59] 128
[2021-07-02 15:48:59] BATCH_SIZE      
[2021-07-02 15:48:59] 50
[2021-07-02 15:48:59] data_helper     
[2021-07-02 15:48:59] <data.DataHelper object at 0x000002ACE11F2860>
[2021-07-02 15:49:03] epoch 1   training loss 0.7025    test loss 0.6988    train acc 0.5102    test acc 0.5065
[2021-07-02 15:49:04] epoch 2   training loss 0.6984    test loss 0.6935    train acc 0.5092    test acc 0.5150
[2021-07-02 15:49:05] epoch 3   training loss 0.6925    test loss 0.6959    train acc 0.5304    test acc 0.5120
[2021-07-02 15:49:06] epoch 4   training loss 0.6896    test loss 0.6922    train acc 0.5390    test acc 0.5265
[2021-07-02 15:49:07] epoch 5   training loss 0.6852    test loss 0.6835    train acc 0.5514    test acc 0.5515
[2021-07-02 15:49:08] epoch 6   training loss 0.6781    test loss 0.6839    train acc 0.5694    test acc 0.5550
[2021-07-02 15:49:09] epoch 7   training loss 0.6804    test loss 0.6751    train acc 0.5667    test acc 0.5770
[2021-07-02 15:49:10] epoch 8   training loss 0.6747    test loss 0.6761    train acc 0.5803    test acc 0.5760
[2021-07-02 15:49:11] epoch 9   training loss 0.6722    test loss 0.6723    train acc 0.5855    test acc 0.5920
[2021-07-02 15:49:13] epoch 10   training loss 0.6683    test loss 0.6688    train acc 0.6049    test acc 0.5915
[2021-07-02 15:49:14] epoch 11   training loss 0.6661    test loss 0.6686    train acc 0.5994    test acc 0.5970
[2021-07-02 15:49:15] epoch 12   training loss 0.6641    test loss 0.6630    train acc 0.6082    test acc 0.6150
[2021-07-02 15:49:16] epoch 13   training loss 0.6595    test loss 0.6621    train acc 0.6144    test acc 0.6095
[2021-07-02 15:49:17] epoch 14   training loss 0.6576    test loss 0.6588    train acc 0.6200    test acc 0.6220
[2021-07-02 15:49:18] epoch 15   training loss 0.6539    test loss 0.6590    train acc 0.6338    test acc 0.6155
[2021-07-02 15:49:19] epoch 16   training loss 0.6525    test loss 0.6562    train acc 0.6372    test acc 0.6230
[2021-07-02 15:49:20] epoch 17   training loss 0.6467    test loss 0.6533    train acc 0.6432    test acc 0.6265
[2021-07-02 15:49:21] epoch 18   training loss 0.6467    test loss 0.6491    train acc 0.6434    test acc 0.6395
[2021-07-02 15:49:22] epoch 19   training loss 0.6432    test loss 0.6465    train acc 0.6571    test acc 0.6385
[2021-07-02 15:49:24] epoch 20   training loss 0.6409    test loss 0.6496    train acc 0.6577    test acc 0.6395
[2021-07-02 15:49:25] epoch 21   training loss 0.6380    test loss 0.6501    train acc 0.6566    test acc 0.6385
[2021-07-02 15:49:26] epoch 22   training loss 0.6344    test loss 0.6428    train acc 0.6681    test acc 0.6625
[2021-07-02 15:49:27] epoch 23   training loss 0.6334    test loss 0.6455    train acc 0.6703    test acc 0.6510
[2021-07-02 15:49:28] epoch 24   training loss 0.6329    test loss 0.6401    train acc 0.6676    test acc 0.6570
[2021-07-02 15:49:29] epoch 25   training loss 0.6312    test loss 0.6475    train acc 0.6661    test acc 0.6410
[2021-07-02 15:49:30] epoch 26   training loss 0.6284    test loss 0.6416    train acc 0.6711    test acc 0.6475
[2021-07-02 15:49:31] epoch 27   training loss 0.6269    test loss 0.6374    train acc 0.6724    test acc 0.6475
[2021-07-02 15:49:32] epoch 28   training loss 0.6232    test loss 0.6255    train acc 0.6785    test acc 0.6790
[2021-07-02 15:49:34] epoch 29   training loss 0.6226    test loss 0.6279    train acc 0.6816    test acc 0.6730
[2021-07-02 15:49:35] epoch 30   training loss 0.6221    test loss 0.6291    train acc 0.6800    test acc 0.6605
[2021-07-02 15:49:36] epoch 31   training loss 0.6187    test loss 0.6278    train acc 0.6837    test acc 0.6625
[2021-07-02 15:49:37] epoch 32   training loss 0.6155    test loss 0.6280    train acc 0.6947    test acc 0.6810
[2021-07-02 15:49:38] epoch 33   training loss 0.6136    test loss 0.6238    train acc 0.6970    test acc 0.6735
[2021-07-02 15:49:39] epoch 34   training loss 0.6137    test loss 0.6223    train acc 0.6889    test acc 0.6675
[2021-07-02 15:49:40] epoch 35   training loss 0.6099    test loss 0.6137    train acc 0.6961    test acc 0.6890
[2021-07-02 15:49:41] epoch 36   training loss 0.6087    test loss 0.6146    train acc 0.6967    test acc 0.6905
[2021-07-02 15:49:42] epoch 37   training loss 0.6064    test loss 0.6143    train acc 0.6997    test acc 0.6835
[2021-07-02 15:49:43] epoch 38   training loss 0.6049    test loss 0.6167    train acc 0.7069    test acc 0.6855
[2021-07-02 15:49:45] epoch 39   training loss 0.6031    test loss 0.6205    train acc 0.7025    test acc 0.6875
[2021-07-02 15:49:46] epoch 40   training loss 0.6047    test loss 0.6165    train acc 0.6997    test acc 0.6805
[2021-07-02 15:49:47] epoch 41   training loss 0.6021    test loss 0.6158    train acc 0.7065    test acc 0.6855
[2021-07-02 15:49:48] epoch 42   training loss 0.6000    test loss 0.6135    train acc 0.7060    test acc 0.6900
[2021-07-02 15:49:49] epoch 43   training loss 0.5966    test loss 0.6079    train acc 0.7116    test acc 0.6960
[2021-07-02 15:49:50] epoch 44   training loss 0.5966    test loss 0.6034    train acc 0.7126    test acc 0.7065
[2021-07-02 15:49:51] epoch 45   training loss 0.5922    test loss 0.6143    train acc 0.7177    test acc 0.6785
[2021-07-02 15:49:52] epoch 46   training loss 0.5952    test loss 0.6059    train acc 0.7124    test acc 0.6965
[2021-07-02 15:49:53] epoch 47   training loss 0.5910    test loss 0.6101    train acc 0.7240    test acc 0.6915
[2021-07-02 15:49:55] epoch 48   training loss 0.5914    test loss 0.6054    train acc 0.7151    test acc 0.6975
[2021-07-02 15:49:56] epoch 49   training loss 0.5916    test loss 0.6044    train acc 0.7166    test acc 0.7015
[2021-07-02 15:49:57] epoch 50   training loss 0.5901    test loss 0.6058    train acc 0.7117    test acc 0.6875
[2021-07-02 15:49:58] epoch 51   training loss 0.5889    test loss 0.6061    train acc 0.7185    test acc 0.6910
[2021-07-02 15:49:59] epoch 52   training loss 0.5899    test loss 0.6032    train acc 0.7155    test acc 0.6835
[2021-07-02 15:50:00] epoch 53   training loss 0.5856    test loss 0.6014    train acc 0.7210    test acc 0.7000
[2021-07-02 15:50:01] epoch 54   training loss 0.5855    test loss 0.5934    train acc 0.7210    test acc 0.7095
[2021-07-02 15:50:02] epoch 55   training loss 0.5838    test loss 0.5973    train acc 0.7268    test acc 0.6965
[2021-07-02 15:50:03] epoch 56   training loss 0.5837    test loss 0.6012    train acc 0.7234    test acc 0.6990
[2021-07-02 15:50:05] epoch 57   training loss 0.5806    test loss 0.5985    train acc 0.7266    test acc 0.6975
[2021-07-02 15:50:06] epoch 58   training loss 0.5857    test loss 0.5944    train acc 0.7177    test acc 0.7050
[2021-07-02 15:50:07] epoch 59   training loss 0.5821    test loss 0.5976    train acc 0.7212    test acc 0.7030
[2021-07-02 15:50:08] epoch 60   training loss 0.5791    test loss 0.5954    train acc 0.7289    test acc 0.7145
[2021-07-02 15:50:09] epoch 61   training loss 0.5812    test loss 0.6018    train acc 0.7289    test acc 0.7040
[2021-07-02 15:50:10] epoch 62   training loss 0.5783    test loss 0.5958    train acc 0.7249    test acc 0.7035
[2021-07-02 15:50:11] epoch 63   training loss 0.5763    test loss 0.5948    train acc 0.7286    test acc 0.7060
[2021-07-02 15:50:12] epoch 64   training loss 0.5747    test loss 0.5971    train acc 0.7385    test acc 0.7025
[2021-07-02 15:50:13] epoch 65   training loss 0.5746    test loss 0.5877    train acc 0.7338    test acc 0.7180
[2021-07-02 15:50:15] epoch 66   training loss 0.5719    test loss 0.5875    train acc 0.7390    test acc 0.7145
[2021-07-02 15:50:16] epoch 67   training loss 0.5706    test loss 0.5856    train acc 0.7376    test acc 0.7165
[2021-07-02 15:50:17] epoch 68   training loss 0.5741    test loss 0.5946    train acc 0.7370    test acc 0.7050
[2021-07-02 15:50:18] epoch 69   training loss 0.5754    test loss 0.5890    train acc 0.7308    test acc 0.7180
[2021-07-02 15:50:19] epoch 70   training loss 0.5707    test loss 0.5928    train acc 0.7380    test acc 0.7000
[2021-07-02 15:50:20] epoch 71   training loss 0.5702    test loss 0.5869    train acc 0.7360    test acc 0.7190
[2021-07-02 15:50:21] epoch 72   training loss 0.5665    test loss 0.5912    train acc 0.7416    test acc 0.7030
[2021-07-02 15:50:22] epoch 73   training loss 0.5706    test loss 0.5870    train acc 0.7358    test acc 0.7160
[2021-07-02 15:50:23] epoch 74   training loss 0.5710    test loss 0.5856    train acc 0.7332    test acc 0.7090
[2021-07-02 15:50:24] epoch 75   training loss 0.5690    test loss 0.5888    train acc 0.7380    test acc 0.7065
[2021-07-02 15:50:26] epoch 76   training loss 0.5669    test loss 0.5925    train acc 0.7412    test acc 0.7030
[2021-07-02 15:50:27] epoch 77   training loss 0.5681    test loss 0.5865    train acc 0.7385    test acc 0.7190
[2021-07-02 15:50:28] epoch 78   training loss 0.5680    test loss 0.5828    train acc 0.7366    test acc 0.7105
[2021-07-02 15:50:29] epoch 79   training loss 0.5682    test loss 0.5869    train acc 0.7371    test acc 0.7080
[2021-07-02 15:50:30] epoch 80   training loss 0.5616    test loss 0.5865    train acc 0.7450    test acc 0.7060
[2021-07-02 15:50:31] epoch 81   training loss 0.5673    test loss 0.5836    train acc 0.7388    test acc 0.7190
[2021-07-02 15:50:32] epoch 82   training loss 0.5633    test loss 0.5887    train acc 0.7408    test acc 0.6995
[2021-07-02 15:50:33] epoch 83   training loss 0.5656    test loss 0.5811    train acc 0.7411    test acc 0.7180
[2021-07-02 15:50:34] epoch 84   training loss 0.5656    test loss 0.5866    train acc 0.7391    test acc 0.7075
[2021-07-02 15:50:36] epoch 85   training loss 0.5621    test loss 0.5831    train acc 0.7408    test acc 0.7220
[2021-07-02 15:50:37] epoch 86   training loss 0.5606    test loss 0.5850    train acc 0.7409    test acc 0.7140
[2021-07-02 15:50:38] epoch 87   training loss 0.5627    test loss 0.5823    train acc 0.7428    test acc 0.7135
[2021-07-02 15:50:39] epoch 88   training loss 0.5635    test loss 0.5861    train acc 0.7378    test acc 0.7160
