[2021-07-07 14:25:14] STOP            
[2021-07-07 14:25:14] 250
[2021-07-07 14:25:14] SAVE_EVERY      
[2021-07-07 14:25:14] 20
[2021-07-07 14:25:14] LEARNING_RATE   
[2021-07-07 14:25:14] 0.005
[2021-07-07 14:25:14] EPOCH           
[2021-07-07 14:25:14] 300
[2021-07-07 14:25:14] DROPOUT_RATE    
[2021-07-07 14:25:14] 0.2
[2021-07-07 14:25:14] CLASS_NUM       
[2021-07-07 14:25:14] 2
[2021-07-07 14:25:14] FILTER_SIZE     
[2021-07-07 14:25:14] [3, 4, 5]
[2021-07-07 14:25:14] FILTER_NUM      
[2021-07-07 14:25:14] 128
[2021-07-07 14:25:14] EMBED_SIZE      
[2021-07-07 14:25:14] 128
[2021-07-07 14:25:14] BATCH_SIZE      
[2021-07-07 14:25:14] 50
[2021-07-07 14:25:14] data_helper     
[2021-07-07 14:25:14] <data.DataHelper object at 0x0000022524EA0AC8>
[2021-07-07 14:25:18] epoch 1   training loss 0.6980    test loss 0.6866    train acc 0.5211    test acc 0.5530
[2021-07-07 14:25:19] epoch 2   training loss 0.6780    test loss 0.6675    train acc 0.5740    test acc 0.6010
[2021-07-07 14:25:20] epoch 3   training loss 0.6632    test loss 0.6558    train acc 0.6011    test acc 0.6225
[2021-07-07 14:25:21] epoch 4   training loss 0.6448    test loss 0.6477    train acc 0.6431    test acc 0.6235
[2021-07-07 14:25:22] epoch 5   training loss 0.6354    test loss 0.6214    train acc 0.6591    test acc 0.6865
[2021-07-07 14:25:23] epoch 6   training loss 0.6265    test loss 0.6250    train acc 0.6736    test acc 0.6780
[2021-07-07 14:25:24] epoch 7   training loss 0.6152    test loss 0.6158    train acc 0.6834    test acc 0.6780
[2021-07-07 14:25:26] epoch 8   training loss 0.6059    test loss 0.6139    train acc 0.6974    test acc 0.6965
[2021-07-07 14:25:27] epoch 9   training loss 0.5988    test loss 0.5950    train acc 0.7026    test acc 0.7045
[2021-07-07 14:25:28] epoch 10   training loss 0.5919    test loss 0.5975    train acc 0.7153    test acc 0.7010
[2021-07-07 14:25:29] epoch 11   training loss 0.5865    test loss 0.5888    train acc 0.7211    test acc 0.7225
[2021-07-07 14:25:30] epoch 12   training loss 0.5802    test loss 0.5862    train acc 0.7260    test acc 0.7175
[2021-07-07 14:25:31] epoch 13   training loss 0.5776    test loss 0.5832    train acc 0.7255    test acc 0.7235
[2021-07-07 14:25:32] epoch 14   training loss 0.5747    test loss 0.5831    train acc 0.7298    test acc 0.7135
[2021-07-07 14:25:33] epoch 15   training loss 0.5698    test loss 0.5834    train acc 0.7388    test acc 0.7190
[2021-07-07 14:25:35] epoch 16   training loss 0.5684    test loss 0.5798    train acc 0.7330    test acc 0.7175
[2021-07-07 14:25:36] epoch 17   training loss 0.5648    test loss 0.5775    train acc 0.7398    test acc 0.7225
[2021-07-07 14:25:37] epoch 18   training loss 0.5616    test loss 0.5763    train acc 0.7466    test acc 0.7220
[2021-07-07 14:25:38] epoch 19   training loss 0.5527    test loss 0.5781    train acc 0.7556    test acc 0.7195
[2021-07-07 14:25:39] epoch 20   training loss 0.5581    test loss 0.5702    train acc 0.7431    test acc 0.7360
[2021-07-07 14:25:40] epoch 21   training loss 0.5515    test loss 0.5728    train acc 0.7565    test acc 0.7195
[2021-07-07 14:25:41] epoch 22   training loss 0.5518    test loss 0.5702    train acc 0.7515    test acc 0.7310
[2021-07-07 14:25:42] epoch 23   training loss 0.5515    test loss 0.5792    train acc 0.7535    test acc 0.7165
[2021-07-07 14:25:44] epoch 24   training loss 0.5504    test loss 0.5667    train acc 0.7569    test acc 0.7345
[2021-07-07 14:25:45] epoch 25   training loss 0.5461    test loss 0.5702    train acc 0.7571    test acc 0.7230
[2021-07-07 14:25:46] epoch 26   training loss 0.5462    test loss 0.5666    train acc 0.7608    test acc 0.7270
[2021-07-07 14:25:47] epoch 27   training loss 0.5431    test loss 0.5683    train acc 0.7642    test acc 0.7255
[2021-07-07 14:25:48] epoch 28   training loss 0.5435    test loss 0.5633    train acc 0.7616    test acc 0.7390
[2021-07-07 14:25:49] epoch 29   training loss 0.5382    test loss 0.5617    train acc 0.7678    test acc 0.7445
[2021-07-07 14:25:50] epoch 30   training loss 0.5404    test loss 0.5545    train acc 0.7644    test acc 0.7540
[2021-07-07 14:25:51] epoch 31   training loss 0.5375    test loss 0.5628    train acc 0.7666    test acc 0.7400
[2021-07-07 14:25:52] epoch 32   training loss 0.5343    test loss 0.5610    train acc 0.7691    test acc 0.7355
[2021-07-07 14:25:54] epoch 33   training loss 0.5325    test loss 0.5614    train acc 0.7712    test acc 0.7445
[2021-07-07 14:25:55] epoch 34   training loss 0.5340    test loss 0.5635    train acc 0.7695    test acc 0.7335
[2021-07-07 14:25:56] epoch 35   training loss 0.5346    test loss 0.5606    train acc 0.7714    test acc 0.7355
[2021-07-07 14:25:57] epoch 36   training loss 0.5301    test loss 0.5581    train acc 0.7751    test acc 0.7395
[2021-07-07 14:25:58] epoch 37   training loss 0.5293    test loss 0.5726    train acc 0.7754    test acc 0.7155
[2021-07-07 14:25:59] epoch 38   training loss 0.5277    test loss 0.5579    train acc 0.7784    test acc 0.7345
[2021-07-07 14:26:00] epoch 39   training loss 0.5278    test loss 0.5602    train acc 0.7784    test acc 0.7400
[2021-07-07 14:26:01] epoch 40   training loss 0.5244    test loss 0.5569    train acc 0.7796    test acc 0.7455
