[2021-07-02 15:57:11] STOP            
[2021-07-02 15:57:11] 100
[2021-07-02 15:57:11] SAVE_EVERY      
[2021-07-02 15:57:11] 20
[2021-07-02 15:57:11] LEARNING_RATE   
[2021-07-02 15:57:11] 0.001
[2021-07-02 15:57:11] EPOCH           
[2021-07-02 15:57:11] 200
[2021-07-02 15:57:11] DROPOUT_RATE    
[2021-07-02 15:57:11] 0.2
[2021-07-02 15:57:11] CLASS_NUM       
[2021-07-02 15:57:11] 2
[2021-07-02 15:57:11] FILTER_SIZE     
[2021-07-02 15:57:11] [3, 4, 5]
[2021-07-02 15:57:11] FILTER_NUM      
[2021-07-02 15:57:11] 128
[2021-07-02 15:57:11] EMBED_SIZE      
[2021-07-02 15:57:11] 128
[2021-07-02 15:57:11] BATCH_SIZE      
[2021-07-02 15:57:11] 50
[2021-07-02 15:57:11] data_helper     
[2021-07-02 15:57:11] <data.DataHelper object at 0x000001D0A0E22860>
[2021-07-02 15:57:15] epoch 1   training loss 0.6998    test loss 0.6967    train acc 0.5005    test acc 0.5170
[2021-07-02 15:57:16] epoch 2   training loss 0.6934    test loss 0.7002    train acc 0.5200    test acc 0.5085
[2021-07-02 15:57:17] epoch 3   training loss 0.6897    test loss 0.6915    train acc 0.5380    test acc 0.5305
[2021-07-02 15:57:18] epoch 4   training loss 0.6844    test loss 0.6848    train acc 0.5543    test acc 0.5565
[2021-07-02 15:57:19] epoch 5   training loss 0.6810    test loss 0.6877    train acc 0.5597    test acc 0.5540
[2021-07-02 15:57:20] epoch 6   training loss 0.6746    test loss 0.6717    train acc 0.5824    test acc 0.5860
[2021-07-02 15:57:21] epoch 7   training loss 0.6737    test loss 0.6659    train acc 0.5851    test acc 0.6040
[2021-07-02 15:57:22] epoch 8   training loss 0.6640    test loss 0.6705    train acc 0.6148    test acc 0.5925
[2021-07-02 15:57:23] epoch 9   training loss 0.6627    test loss 0.6621    train acc 0.6170    test acc 0.6175
[2021-07-02 15:57:24] epoch 10   training loss 0.6585    test loss 0.6588    train acc 0.6269    test acc 0.6170
[2021-07-02 15:57:25] epoch 11   training loss 0.6555    test loss 0.6536    train acc 0.6296    test acc 0.6440
[2021-07-02 15:57:26] epoch 12   training loss 0.6490    test loss 0.6523    train acc 0.6468    test acc 0.6330
[2021-07-02 15:57:27] epoch 13   training loss 0.6441    test loss 0.6438    train acc 0.6586    test acc 0.6625
[2021-07-02 15:57:29] epoch 14   training loss 0.6432    test loss 0.6424    train acc 0.6616    test acc 0.6525
[2021-07-02 15:57:30] epoch 15   training loss 0.6421    test loss 0.6428    train acc 0.6626    test acc 0.6555
[2021-07-02 15:57:31] epoch 16   training loss 0.6344    test loss 0.6386    train acc 0.6800    test acc 0.6650
[2021-07-02 15:57:32] epoch 17   training loss 0.6341    test loss 0.6335    train acc 0.6705    test acc 0.6650
[2021-07-02 15:57:33] epoch 18   training loss 0.6290    test loss 0.6312    train acc 0.6859    test acc 0.6770
[2021-07-02 15:57:34] epoch 19   training loss 0.6238    test loss 0.6318    train acc 0.6954    test acc 0.6710
[2021-07-02 15:57:35] epoch 20   training loss 0.6233    test loss 0.6266    train acc 0.6883    test acc 0.6765
[2021-07-02 15:57:36] epoch 21   training loss 0.6198    test loss 0.6229    train acc 0.6953    test acc 0.6900
[2021-07-02 15:57:37] epoch 22   training loss 0.6165    test loss 0.6207    train acc 0.6985    test acc 0.7075
[2021-07-02 15:57:38] epoch 23   training loss 0.6150    test loss 0.6135    train acc 0.7029    test acc 0.7080
[2021-07-02 15:57:40] epoch 24   training loss 0.6126    test loss 0.6198    train acc 0.7113    test acc 0.6840
[2021-07-02 15:57:41] epoch 25   training loss 0.6080    test loss 0.6174    train acc 0.7084    test acc 0.6925
[2021-07-02 15:57:42] epoch 26   training loss 0.6067    test loss 0.6160    train acc 0.7084    test acc 0.6900
[2021-07-02 15:57:43] epoch 27   training loss 0.6051    test loss 0.6093    train acc 0.7081    test acc 0.7055
[2021-07-02 15:57:44] epoch 28   training loss 0.5971    test loss 0.6057    train acc 0.7262    test acc 0.7150
[2021-07-02 15:57:45] epoch 29   training loss 0.6005    test loss 0.6047    train acc 0.7192    test acc 0.7165
[2021-07-02 15:57:46] epoch 30   training loss 0.5960    test loss 0.6022    train acc 0.7230    test acc 0.7000
[2021-07-02 15:57:47] epoch 31   training loss 0.5944    test loss 0.5972    train acc 0.7311    test acc 0.7210
[2021-07-02 15:57:48] epoch 32   training loss 0.5910    test loss 0.5985    train acc 0.7285    test acc 0.7110
[2021-07-02 15:57:50] epoch 33   training loss 0.5894    test loss 0.5939    train acc 0.7319    test acc 0.7260
[2021-07-02 15:57:51] epoch 34   training loss 0.5888    test loss 0.5927    train acc 0.7275    test acc 0.7275
[2021-07-02 15:57:52] epoch 35   training loss 0.5851    test loss 0.5884    train acc 0.7365    test acc 0.7230
[2021-07-02 15:57:53] epoch 36   training loss 0.5824    test loss 0.5945    train acc 0.7389    test acc 0.7100
[2021-07-02 15:57:54] epoch 37   training loss 0.5838    test loss 0.5986    train acc 0.7330    test acc 0.7115
[2021-07-02 15:57:55] epoch 38   training loss 0.5804    test loss 0.5855    train acc 0.7370    test acc 0.7165
[2021-07-02 15:57:56] epoch 39   training loss 0.5797    test loss 0.5934    train acc 0.7348    test acc 0.7150
[2021-07-02 15:57:57] epoch 40   training loss 0.5781    test loss 0.5845    train acc 0.7375    test acc 0.7250
[2021-07-02 15:57:58] epoch 41   training loss 0.5733    test loss 0.5839    train acc 0.7466    test acc 0.7280
[2021-07-02 15:58:00] epoch 42   training loss 0.5724    test loss 0.5832    train acc 0.7448    test acc 0.7275
[2021-07-02 15:58:01] epoch 43   training loss 0.5716    test loss 0.5739    train acc 0.7455    test acc 0.7350
[2021-07-02 15:58:02] epoch 44   training loss 0.5729    test loss 0.5843    train acc 0.7396    test acc 0.7220
[2021-07-02 15:58:03] epoch 45   training loss 0.5694    test loss 0.5802    train acc 0.7535    test acc 0.7270
[2021-07-02 15:58:04] epoch 46   training loss 0.5695    test loss 0.5765    train acc 0.7475    test acc 0.7345
[2021-07-02 15:58:05] epoch 47   training loss 0.5695    test loss 0.5737    train acc 0.7445    test acc 0.7410
[2021-07-02 15:58:06] epoch 48   training loss 0.5669    test loss 0.5777    train acc 0.7454    test acc 0.7320
[2021-07-02 15:58:07] epoch 49   training loss 0.5674    test loss 0.5825    train acc 0.7458    test acc 0.7120
[2021-07-02 15:58:09] epoch 50   training loss 0.5629    test loss 0.5734    train acc 0.7516    test acc 0.7450
[2021-07-02 15:58:10] epoch 51   training loss 0.5627    test loss 0.5794    train acc 0.7568    test acc 0.7295
[2021-07-02 15:58:11] epoch 52   training loss 0.5594    test loss 0.5773    train acc 0.7530    test acc 0.7280
[2021-07-02 15:58:12] epoch 53   training loss 0.5571    test loss 0.5727    train acc 0.7616    test acc 0.7355
[2021-07-02 15:58:13] epoch 54   training loss 0.5598    test loss 0.5699    train acc 0.7541    test acc 0.7355
[2021-07-02 15:58:14] epoch 55   training loss 0.5614    test loss 0.5713    train acc 0.7562    test acc 0.7390
[2021-07-02 15:58:15] epoch 56   training loss 0.5589    test loss 0.5766    train acc 0.7585    test acc 0.7315
[2021-07-02 15:58:16] epoch 57   training loss 0.5580    test loss 0.5683    train acc 0.7545    test acc 0.7395
[2021-07-02 15:58:17] epoch 58   training loss 0.5546    test loss 0.5693    train acc 0.7550    test acc 0.7390
[2021-07-02 15:58:19] epoch 59   training loss 0.5561    test loss 0.5695    train acc 0.7571    test acc 0.7360
[2021-07-02 15:58:20] epoch 60   training loss 0.5553    test loss 0.5652    train acc 0.7569    test acc 0.7435
[2021-07-02 15:58:21] epoch 61   training loss 0.5549    test loss 0.5650    train acc 0.7524    test acc 0.7355
[2021-07-02 15:58:22] epoch 62   training loss 0.5556    test loss 0.5637    train acc 0.7592    test acc 0.7430
[2021-07-02 15:58:23] epoch 63   training loss 0.5525    test loss 0.5716    train acc 0.7590    test acc 0.7290
[2021-07-02 15:58:24] epoch 64   training loss 0.5526    test loss 0.5578    train acc 0.7564    test acc 0.7495
[2021-07-02 15:58:25] epoch 65   training loss 0.5508    test loss 0.5652    train acc 0.7632    test acc 0.7370
[2021-07-02 15:58:26] epoch 66   training loss 0.5513    test loss 0.5620    train acc 0.7570    test acc 0.7445
[2021-07-02 15:58:27] epoch 67   training loss 0.5484    test loss 0.5647    train acc 0.7626    test acc 0.7430
[2021-07-02 15:58:29] epoch 68   training loss 0.5522    test loss 0.5642    train acc 0.7552    test acc 0.7420
[2021-07-02 15:58:30] epoch 69   training loss 0.5488    test loss 0.5602    train acc 0.7671    test acc 0.7435
[2021-07-02 15:58:31] epoch 70   training loss 0.5487    test loss 0.5614    train acc 0.7595    test acc 0.7395
[2021-07-02 15:58:32] epoch 71   training loss 0.5465    test loss 0.5596    train acc 0.7629    test acc 0.7400
[2021-07-02 15:58:33] epoch 72   training loss 0.5462    test loss 0.5597    train acc 0.7635    test acc 0.7455
[2021-07-02 15:58:34] epoch 73   training loss 0.5475    test loss 0.5613    train acc 0.7611    test acc 0.7440
[2021-07-02 15:58:35] epoch 74   training loss 0.5457    test loss 0.5602    train acc 0.7598    test acc 0.7360
[2021-07-02 15:58:36] epoch 75   training loss 0.5438    test loss 0.5558    train acc 0.7649    test acc 0.7455
[2021-07-02 15:58:38] epoch 76   training loss 0.5433    test loss 0.5581    train acc 0.7659    test acc 0.7500
[2021-07-02 15:58:39] epoch 77   training loss 0.5395    test loss 0.5550    train acc 0.7702    test acc 0.7560
[2021-07-02 15:58:40] epoch 78   training loss 0.5381    test loss 0.5628    train acc 0.7786    test acc 0.7345
[2021-07-02 15:58:41] epoch 79   training loss 0.5412    test loss 0.5549    train acc 0.7648    test acc 0.7560
[2021-07-02 15:58:42] epoch 80   training loss 0.5426    test loss 0.5526    train acc 0.7660    test acc 0.7625
[2021-07-02 15:58:43] epoch 81   training loss 0.5391    test loss 0.5586    train acc 0.7716    test acc 0.7460
