[2021-07-07 13:44:39] STOP            
[2021-07-07 13:44:39] 250
[2021-07-07 13:44:39] SAVE_EVERY      
[2021-07-07 13:44:39] 20
[2021-07-07 13:44:39] LEARNING_RATE   
[2021-07-07 13:44:39] 0.005
[2021-07-07 13:44:39] EPOCH           
[2021-07-07 13:44:39] 300
[2021-07-07 13:44:39] DROPOUT_RATE    
[2021-07-07 13:44:39] 0.2
[2021-07-07 13:44:39] CLASS_NUM       
[2021-07-07 13:44:39] 2
[2021-07-07 13:44:39] FILTER_SIZE     
[2021-07-07 13:44:39] [3, 4, 5]
[2021-07-07 13:44:39] FILTER_NUM      
[2021-07-07 13:44:39] 128
[2021-07-07 13:44:39] EMBED_SIZE      
[2021-07-07 13:44:39] 128
[2021-07-07 13:44:39] BATCH_SIZE      
[2021-07-07 13:44:39] 50
[2021-07-07 13:44:39] data_helper     
[2021-07-07 13:44:39] <data.DataHelper object at 0x00000185FFF10AC8>
[2021-07-07 13:44:42] epoch 1   training loss 0.6863    test loss 0.6732    train acc 0.5574    test acc 0.5820
[2021-07-07 13:44:43] epoch 2   training loss 0.6544    test loss 0.6413    train acc 0.6260    test acc 0.6575
[2021-07-07 13:44:44] epoch 3   training loss 0.6279    test loss 0.6166    train acc 0.6793    test acc 0.6925
[2021-07-07 13:44:45] epoch 4   training loss 0.6071    test loss 0.6019    train acc 0.7115    test acc 0.7095
[2021-07-07 13:44:47] epoch 5   training loss 0.5904    test loss 0.5817    train acc 0.7281    test acc 0.7410
[2021-07-07 13:44:48] epoch 6   training loss 0.5770    test loss 0.5785    train acc 0.7458    test acc 0.7375
[2021-07-07 13:44:49] epoch 7   training loss 0.5677    test loss 0.5684    train acc 0.7482    test acc 0.7455
[2021-07-07 13:44:50] epoch 8   training loss 0.5603    test loss 0.5595    train acc 0.7549    test acc 0.7550
[2021-07-07 13:44:51] epoch 9   training loss 0.5493    test loss 0.5581    train acc 0.7655    test acc 0.7525
[2021-07-07 13:44:52] epoch 10   training loss 0.5440    test loss 0.5558    train acc 0.7721    test acc 0.7575
[2021-07-07 13:44:53] epoch 11   training loss 0.5391    test loss 0.5517    train acc 0.7724    test acc 0.7505
[2021-07-07 13:44:54] epoch 12   training loss 0.5369    test loss 0.5390    train acc 0.7764    test acc 0.7745
[2021-07-07 13:44:55] epoch 13   training loss 0.5326    test loss 0.5391    train acc 0.7798    test acc 0.7740
[2021-07-07 13:44:57] epoch 14   training loss 0.5276    test loss 0.5374    train acc 0.7876    test acc 0.7730
[2021-07-07 13:44:58] epoch 15   training loss 0.5228    test loss 0.5356    train acc 0.7889    test acc 0.7730
[2021-07-07 13:44:59] epoch 16   training loss 0.5216    test loss 0.5314    train acc 0.7883    test acc 0.7750
[2021-07-07 13:45:00] epoch 17   training loss 0.5159    test loss 0.5299    train acc 0.7969    test acc 0.7745
[2021-07-07 13:45:01] epoch 18   training loss 0.5139    test loss 0.5264    train acc 0.7947    test acc 0.7825
[2021-07-07 13:45:02] epoch 19   training loss 0.5148    test loss 0.5244    train acc 0.7984    test acc 0.7880
[2021-07-07 13:45:03] epoch 20   training loss 0.5142    test loss 0.5255    train acc 0.7956    test acc 0.7810
