[2021-07-07 14:01:08] STOP            
[2021-07-07 14:01:08] 250
[2021-07-07 14:01:08] SAVE_EVERY      
[2021-07-07 14:01:08] 20
[2021-07-07 14:01:08] LEARNING_RATE   
[2021-07-07 14:01:08] 0.005
[2021-07-07 14:01:08] EPOCH           
[2021-07-07 14:01:08] 300
[2021-07-07 14:01:08] DROPOUT_RATE    
[2021-07-07 14:01:08] 0.2
[2021-07-07 14:01:08] CLASS_NUM       
[2021-07-07 14:01:08] 2
[2021-07-07 14:01:08] FILTER_SIZE     
[2021-07-07 14:01:08] [3, 4, 5]
[2021-07-07 14:01:08] FILTER_NUM      
[2021-07-07 14:01:08] 128
[2021-07-07 14:01:08] EMBED_SIZE      
[2021-07-07 14:01:08] 128
[2021-07-07 14:01:08] BATCH_SIZE      
[2021-07-07 14:01:08] 50
[2021-07-07 14:01:08] data_helper     
[2021-07-07 14:01:08] <data.DataHelper object at 0x0000027D9FF50AC8>
[2021-07-07 14:01:12] epoch 1   training loss 0.6896    test loss 0.6699    train acc 0.5383    test acc 0.5920
[2021-07-07 14:01:13] epoch 2   training loss 0.6478    test loss 0.6271    train acc 0.6474    test acc 0.7070
[2021-07-07 14:01:14] epoch 3   training loss 0.6103    test loss 0.6033    train acc 0.7195    test acc 0.7205
[2021-07-07 14:01:15] epoch 4   training loss 0.5868    test loss 0.5813    train acc 0.7465    test acc 0.7425
[2021-07-07 14:01:16] epoch 5   training loss 0.5672    test loss 0.5673    train acc 0.7648    test acc 0.7595
[2021-07-07 14:01:17] epoch 6   training loss 0.5513    test loss 0.5600    train acc 0.7762    test acc 0.7465
[2021-07-07 14:01:18] epoch 7   training loss 0.5417    test loss 0.5406    train acc 0.7811    test acc 0.7745
[2021-07-07 14:01:19] epoch 8   training loss 0.5362    test loss 0.5386    train acc 0.7841    test acc 0.7710
[2021-07-07 14:01:20] epoch 9   training loss 0.5260    test loss 0.5377    train acc 0.7976    test acc 0.7730
[2021-07-07 14:01:21] epoch 10   training loss 0.5205    test loss 0.5298    train acc 0.8000    test acc 0.7855
[2021-07-07 14:01:23] epoch 11   training loss 0.5152    test loss 0.5223    train acc 0.8061    test acc 0.7880
[2021-07-07 14:01:24] epoch 12   training loss 0.5115    test loss 0.5252    train acc 0.8060    test acc 0.7835
[2021-07-07 14:01:25] epoch 13   training loss 0.5052    test loss 0.5189    train acc 0.8135    test acc 0.7900
[2021-07-07 14:01:26] epoch 14   training loss 0.5032    test loss 0.5142    train acc 0.8119    test acc 0.7965
[2021-07-07 14:01:27] epoch 15   training loss 0.4997    test loss 0.5163    train acc 0.8134    test acc 0.7910
[2021-07-07 14:01:28] epoch 16   training loss 0.4972    test loss 0.5097    train acc 0.8194    test acc 0.7985
[2021-07-07 14:01:29] epoch 17   training loss 0.4968    test loss 0.5097    train acc 0.8165    test acc 0.8010
[2021-07-07 14:01:30] epoch 18   training loss 0.4918    test loss 0.5088    train acc 0.8211    test acc 0.7980
[2021-07-07 14:01:31] epoch 19   training loss 0.4900    test loss 0.5019    train acc 0.8257    test acc 0.8065
[2021-07-07 14:01:32] epoch 20   training loss 0.4904    test loss 0.5073    train acc 0.8251    test acc 0.7965
[2021-07-07 14:01:34] epoch 21   training loss 0.4830    test loss 0.5037    train acc 0.8314    test acc 0.8010
[2021-07-07 14:01:35] epoch 22   training loss 0.4854    test loss 0.5029    train acc 0.8280    test acc 0.8035
[2021-07-07 14:01:36] epoch 23   training loss 0.4856    test loss 0.5006    train acc 0.8237    test acc 0.8060
[2021-07-07 14:01:37] epoch 24   training loss 0.4825    test loss 0.5030    train acc 0.8296    test acc 0.7995
[2021-07-07 14:01:38] epoch 25   training loss 0.4791    test loss 0.4956    train acc 0.8315    test acc 0.8130
[2021-07-07 14:01:39] epoch 26   training loss 0.4790    test loss 0.4968    train acc 0.8325    test acc 0.8125
[2021-07-07 14:01:40] epoch 27   training loss 0.4800    test loss 0.4932    train acc 0.8315    test acc 0.8185
[2021-07-07 14:01:41] epoch 28   training loss 0.4735    test loss 0.4899    train acc 0.8366    test acc 0.8235
[2021-07-07 14:01:42] epoch 29   training loss 0.4729    test loss 0.5040    train acc 0.8406    test acc 0.8000
[2021-07-07 14:01:44] epoch 30   training loss 0.4742    test loss 0.4872    train acc 0.8390    test acc 0.8215
[2021-07-07 14:01:45] epoch 31   training loss 0.4752    test loss 0.4931    train acc 0.8357    test acc 0.8145
[2021-07-07 14:01:46] epoch 32   training loss 0.4685    test loss 0.4968    train acc 0.8450    test acc 0.8045
[2021-07-07 14:01:47] epoch 33   training loss 0.4707    test loss 0.4915    train acc 0.8387    test acc 0.8160
[2021-07-07 14:01:48] epoch 34   training loss 0.4673    test loss 0.4937    train acc 0.8427    test acc 0.8085
[2021-07-07 14:01:49] epoch 35   training loss 0.4646    test loss 0.4915    train acc 0.8499    test acc 0.8050
[2021-07-07 14:01:50] epoch 36   training loss 0.4675    test loss 0.4903    train acc 0.8446    test acc 0.8160
[2021-07-07 14:01:51] epoch 37   training loss 0.4652    test loss 0.4835    train acc 0.8480    test acc 0.8265
[2021-07-07 14:01:53] epoch 38   training loss 0.4654    test loss 0.4958    train acc 0.8476    test acc 0.8050
[2021-07-07 14:01:54] epoch 39   training loss 0.4641    test loss 0.4861    train acc 0.8466    test acc 0.8185
[2021-07-07 14:01:55] epoch 40   training loss 0.4625    test loss 0.4866    train acc 0.8474    test acc 0.8195
[2021-07-07 14:01:56] epoch 41   training loss 0.4598    test loss 0.4861    train acc 0.8516    test acc 0.8195
[2021-07-07 14:01:57] epoch 42   training loss 0.4612    test loss 0.4867    train acc 0.8529    test acc 0.8200
