[2021-07-01 23:31:07] STOP              
[2021-07-01 23:31:07] 100
[2021-07-01 23:31:07] SAVE_EVERY        
[2021-07-01 23:31:07] 20
[2021-07-01 23:31:07] LEARNING_RATE     
[2021-07-01 23:31:07] 0.002
[2021-07-01 23:31:07] EPOCH             
[2021-07-01 23:31:07] 200
[2021-07-01 23:31:07] DROPOUT_RATE      
[2021-07-01 23:31:07] 0.5
[2021-07-01 23:31:07] CLASS_NUM         
[2021-07-01 23:31:07] 2
[2021-07-01 23:31:07] NUM_LAYERS        
[2021-07-01 23:31:07] 1
[2021-07-01 23:31:07] HIDDEN_DIM        
[2021-07-01 23:31:07] 128
[2021-07-01 23:31:07] EMBED_SIZE        
[2021-07-01 23:31:07] 128
[2021-07-01 23:31:07] BATCH_SIZE        
[2021-07-01 23:31:07] 50
[2021-07-01 23:31:07] CELL              
[2021-07-01 23:31:07] lstm
[2021-07-01 23:31:07] data_helper       
[2021-07-01 23:31:07] <data.DataHelper object at 0x0000023F5EDAA860>
[2021-07-01 23:31:14] epoch 1   training loss 0.6936    test loss 0.6934    train acc 0.4971    test acc 0.5035
[2021-07-01 23:31:19] epoch 2   training loss 0.6931    test loss 0.6936    train acc 0.5111    test acc 0.5038
[2021-07-01 23:31:23] epoch 3   training loss 0.6930    test loss 0.6931    train acc 0.5149    test acc 0.4975
[2021-07-01 23:31:27] epoch 4   training loss 0.6928    test loss 0.6942    train acc 0.5140    test acc 0.5048
[2021-07-01 23:31:32] epoch 5   training loss 0.6929    test loss 0.6930    train acc 0.5112    test acc 0.5110
[2021-07-01 23:31:36] epoch 6   training loss 0.6927    test loss 0.6935    train acc 0.5155    test acc 0.5085
[2021-07-01 23:31:41] epoch 7   training loss 0.6924    test loss 0.6932    train acc 0.5156    test acc 0.5060
[2021-07-01 23:31:45] epoch 8   training loss 0.6923    test loss 0.6931    train acc 0.5149    test acc 0.5070
[2021-07-01 23:31:50] epoch 9   training loss 0.6923    test loss 0.6932    train acc 0.5153    test acc 0.5132
[2021-07-01 23:31:54] epoch 10   training loss 0.6921    test loss 0.6932    train acc 0.5174    test acc 0.5130
[2021-07-01 23:31:59] epoch 11   training loss 0.6920    test loss 0.6925    train acc 0.5151    test acc 0.5100
[2021-07-01 23:32:03] epoch 12   training loss 0.6919    test loss 0.6931    train acc 0.5185    test acc 0.5142
[2021-07-01 23:32:07] epoch 13   training loss 0.6918    test loss 0.6922    train acc 0.5197    test acc 0.5168
[2021-07-01 23:32:12] epoch 14   training loss 0.6914    test loss 0.6927    train acc 0.5210    test acc 0.5165
[2021-07-01 23:32:16] epoch 15   training loss 0.6911    test loss 0.6917    train acc 0.5225    test acc 0.5235
[2021-07-01 23:32:21] epoch 16   training loss 0.6905    test loss 0.6913    train acc 0.5322    test acc 0.5312
[2021-07-01 23:32:25] epoch 17   training loss 0.6899    test loss 0.6910    train acc 0.5309    test acc 0.5302
[2021-07-01 23:32:29] epoch 18   training loss 0.6892    test loss 0.6898    train acc 0.5357    test acc 0.5425
[2021-07-01 23:32:34] epoch 19   training loss 0.6873    test loss 0.6872    train acc 0.5453    test acc 0.5483
[2021-07-01 23:32:38] epoch 20   training loss 0.6817    test loss 0.6954    train acc 0.5618    test acc 0.5385
[2021-07-01 23:32:43] epoch 21   training loss 0.6704    test loss 0.6674    train acc 0.5911    test acc 0.5950
[2021-07-01 23:32:47] epoch 22   training loss 0.6622    test loss 0.6630    train acc 0.6061    test acc 0.6038
[2021-07-01 23:32:52] epoch 23   training loss 0.6580    test loss 0.6583    train acc 0.6145    test acc 0.6148
[2021-07-01 23:32:56] epoch 24   training loss 0.6598    test loss 0.6596    train acc 0.6083    test acc 0.6128
[2021-07-01 23:33:00] epoch 25   training loss 0.6560    test loss 0.6593    train acc 0.6183    test acc 0.6078
[2021-07-01 23:33:05] epoch 26   training loss 0.6526    test loss 0.6904    train acc 0.6196    test acc 0.5613
[2021-07-01 23:33:09] epoch 27   training loss 0.6493    test loss 0.6470    train acc 0.6228    test acc 0.6292
[2021-07-01 23:33:14] epoch 28   training loss 0.6431    test loss 0.6550    train acc 0.6364    test acc 0.6130
[2021-07-01 23:33:18] epoch 29   training loss 0.6400    test loss 0.6377    train acc 0.6358    test acc 0.6442
[2021-07-01 23:33:23] epoch 30   training loss 0.6341    test loss 0.6316    train acc 0.6472    test acc 0.6462
[2021-07-01 23:33:27] epoch 31   training loss 0.6306    test loss 0.6334    train acc 0.6517    test acc 0.6425
[2021-07-01 23:33:32] epoch 32   training loss 0.6303    test loss 0.6270    train acc 0.6502    test acc 0.6550
