[2021-07-01 23:51:32] STOP              
[2021-07-01 23:51:32] 100
[2021-07-01 23:51:32] SAVE_EVERY        
[2021-07-01 23:51:32] 20
[2021-07-01 23:51:32] LEARNING_RATE     
[2021-07-01 23:51:32] 0.002
[2021-07-01 23:51:32] EPOCH             
[2021-07-01 23:51:32] 200
[2021-07-01 23:51:32] DROPOUT_RATE      
[2021-07-01 23:51:32] 0.5
[2021-07-01 23:51:32] CLASS_NUM         
[2021-07-01 23:51:32] 2
[2021-07-01 23:51:32] NUM_LAYERS        
[2021-07-01 23:51:32] 1
[2021-07-01 23:51:32] HIDDEN_DIM        
[2021-07-01 23:51:32] 128
[2021-07-01 23:51:32] EMBED_SIZE        
[2021-07-01 23:51:32] 128
[2021-07-01 23:51:32] BATCH_SIZE        
[2021-07-01 23:51:32] 50
[2021-07-01 23:51:32] CELL              
[2021-07-01 23:51:32] lstm
[2021-07-01 23:51:32] data_helper       
[2021-07-01 23:51:32] <data.DataHelper object at 0x000001C45EA1A860>
[2021-07-01 23:51:39] epoch 1   training loss 0.6932    test loss 0.6936    train acc 0.5077    test acc 0.4960
[2021-07-01 23:51:43] epoch 2   training loss 0.6923    test loss 0.6932    train acc 0.5118    test acc 0.5035
[2021-07-01 23:51:48] epoch 3   training loss 0.6918    test loss 0.6934    train acc 0.5186    test acc 0.5102
[2021-07-01 23:51:52] epoch 4   training loss 0.6914    test loss 0.6933    train acc 0.5195    test acc 0.5032
[2021-07-01 23:51:57] epoch 5   training loss 0.6910    test loss 0.6933    train acc 0.5279    test acc 0.5142
[2021-07-01 23:52:01] epoch 6   training loss 0.6909    test loss 0.6938    train acc 0.5248    test acc 0.5070
[2021-07-01 23:52:05] epoch 7   training loss 0.6899    test loss 0.6927    train acc 0.5328    test acc 0.5205
[2021-07-01 23:52:10] epoch 8   training loss 0.6885    test loss 0.6908    train acc 0.5415    test acc 0.5363
[2021-07-01 23:52:14] epoch 9   training loss 0.6769    test loss 0.6861    train acc 0.5751    test acc 0.5723
[2021-07-01 23:52:19] epoch 10   training loss 0.6451    test loss 0.6460    train acc 0.6409    test acc 0.6345
[2021-07-01 23:52:23] epoch 11   training loss 0.6387    test loss 0.6452    train acc 0.6504    test acc 0.6360
[2021-07-01 23:52:28] epoch 12   training loss 0.6382    test loss 0.6423    train acc 0.6494    test acc 0.6400
[2021-07-01 23:52:32] epoch 13   training loss 0.6351    test loss 0.6465    train acc 0.6530    test acc 0.6348
[2021-07-01 23:52:36] epoch 14   training loss 0.6315    test loss 0.6339    train acc 0.6567    test acc 0.6508
[2021-07-01 23:52:41] epoch 15   training loss 0.6224    test loss 0.6155    train acc 0.6669    test acc 0.6725
[2021-07-01 23:52:45] epoch 16   training loss 0.6147    test loss 0.6034    train acc 0.6759    test acc 0.6893
[2021-07-01 23:52:50] epoch 17   training loss 0.6091    test loss 0.6172    train acc 0.6788    test acc 0.6725
[2021-07-01 23:52:54] epoch 18   training loss 0.6031    test loss 0.5992    train acc 0.6851    test acc 0.6950
[2021-07-01 23:52:59] epoch 19   training loss 0.5998    test loss 0.6035    train acc 0.6901    test acc 0.6883
[2021-07-01 23:53:03] epoch 20   training loss 0.5978    test loss 0.5980    train acc 0.6950    test acc 0.6967
[2021-07-01 23:53:07] epoch 21   training loss 0.5995    test loss 0.5970    train acc 0.6936    test acc 0.6953
[2021-07-01 23:53:12] epoch 22   training loss 0.5956    test loss 0.5933    train acc 0.6969    test acc 0.6987
