[2021-07-02 10:15:19] STOP              
[2021-07-02 10:15:19] 100
[2021-07-02 10:15:19] SAVE_EVERY        
[2021-07-02 10:15:19] 20
[2021-07-02 10:15:19] LEARNING_RATE     
[2021-07-02 10:15:19] 0.002
[2021-07-02 10:15:19] EPOCH             
[2021-07-02 10:15:19] 200
[2021-07-02 10:15:19] DROPOUT_RATE      
[2021-07-02 10:15:19] 0.5
[2021-07-02 10:15:19] CLASS_NUM         
[2021-07-02 10:15:19] 2
[2021-07-02 10:15:19] NUM_LAYERS        
[2021-07-02 10:15:19] 1
[2021-07-02 10:15:19] HIDDEN_DIM        
[2021-07-02 10:15:19] 196
[2021-07-02 10:15:19] EMBED_SIZE        
[2021-07-02 10:15:19] 128
[2021-07-02 10:15:19] BATCH_SIZE        
[2021-07-02 10:15:19] 50
[2021-07-02 10:15:19] CELL              
[2021-07-02 10:15:19] lstm
[2021-07-02 10:15:19] data_helper       
[2021-07-02 10:15:19] <data.DataHelper object at 0x000001E6B122A898>
[2021-07-02 10:15:25] epoch 1   training loss 0.6931    test loss 0.6929    train acc 0.5154    test acc 0.5110
[2021-07-02 10:15:28] epoch 2   training loss 0.6928    test loss 0.6927    train acc 0.5178    test acc 0.5138
[2021-07-02 10:15:32] epoch 3   training loss 0.6926    test loss 0.6925    train acc 0.5186    test acc 0.5248
[2021-07-02 10:15:35] epoch 4   training loss 0.6923    test loss 0.6924    train acc 0.5255    test acc 0.5190
[2021-07-02 10:15:39] epoch 5   training loss 0.6921    test loss 0.6923    train acc 0.5266    test acc 0.5138
[2021-07-02 10:15:42] epoch 6   training loss 0.6919    test loss 0.6922    train acc 0.5236    test acc 0.5172
[2021-07-02 10:15:46] epoch 7   training loss 0.6917    test loss 0.6920    train acc 0.5279    test acc 0.5162
[2021-07-02 10:15:49] epoch 8   training loss 0.6915    test loss 0.6919    train acc 0.5302    test acc 0.5142
[2021-07-02 10:15:52] epoch 9   training loss 0.6913    test loss 0.6917    train acc 0.5272    test acc 0.5162
[2021-07-02 10:15:56] epoch 10   training loss 0.6911    test loss 0.6918    train acc 0.5288    test acc 0.5192
[2021-07-02 10:15:59] epoch 11   training loss 0.6910    test loss 0.6916    train acc 0.5266    test acc 0.5200
[2021-07-02 10:16:03] epoch 12   training loss 0.6908    test loss 0.6915    train acc 0.5304    test acc 0.5190
[2021-07-02 10:16:06] epoch 13   training loss 0.6907    test loss 0.6914    train acc 0.5293    test acc 0.5162
[2021-07-02 10:16:10] epoch 14   training loss 0.6905    test loss 0.6912    train acc 0.5304    test acc 0.5182
[2021-07-02 10:16:13] epoch 15   training loss 0.6904    test loss 0.6911    train acc 0.5305    test acc 0.5182
[2021-07-02 10:16:16] epoch 16   training loss 0.6903    test loss 0.6911    train acc 0.5319    test acc 0.5205
[2021-07-02 10:16:20] epoch 17   training loss 0.6901    test loss 0.6910    train acc 0.5288    test acc 0.5202
[2021-07-02 10:16:23] epoch 18   training loss 0.6900    test loss 0.6910    train acc 0.5336    test acc 0.5212
[2021-07-02 10:16:27] epoch 19   training loss 0.6899    test loss 0.6909    train acc 0.5319    test acc 0.5208
[2021-07-02 10:16:30] epoch 20   training loss 0.6898    test loss 0.6907    train acc 0.5317    test acc 0.5210
[2021-07-02 10:16:34] epoch 21   training loss 0.6896    test loss 0.6905    train acc 0.5321    test acc 0.5182
[2021-07-02 10:16:37] epoch 22   training loss 0.6895    test loss 0.6905    train acc 0.5330    test acc 0.5202
[2021-07-02 10:16:41] epoch 23   training loss 0.6894    test loss 0.6904    train acc 0.5337    test acc 0.5195
[2021-07-02 10:16:44] epoch 24   training loss 0.6893    test loss 0.6903    train acc 0.5335    test acc 0.5200
[2021-07-02 10:16:48] epoch 25   training loss 0.6892    test loss 0.6903    train acc 0.5347    test acc 0.5202
[2021-07-02 10:16:51] epoch 26   training loss 0.6891    test loss 0.6903    train acc 0.5349    test acc 0.5265
[2021-07-02 10:16:55] epoch 27   training loss 0.6890    test loss 0.6900    train acc 0.5317    test acc 0.5205
[2021-07-02 10:16:59] epoch 28   training loss 0.6889    test loss 0.6900    train acc 0.5356    test acc 0.5198
