[2021-07-02 10:34:05] STOP              
[2021-07-02 10:34:05] 100
[2021-07-02 10:34:05] SAVE_EVERY        
[2021-07-02 10:34:05] 20
[2021-07-02 10:34:05] LEARNING_RATE     
[2021-07-02 10:34:05] 0.002
[2021-07-02 10:34:05] EPOCH             
[2021-07-02 10:34:05] 200
[2021-07-02 10:34:05] DROPOUT_RATE      
[2021-07-02 10:34:05] 0.5
[2021-07-02 10:34:05] CLASS_NUM         
[2021-07-02 10:34:05] 2
[2021-07-02 10:34:05] NUM_LAYERS        
[2021-07-02 10:34:05] 1
[2021-07-02 10:34:05] HIDDEN_DIM        
[2021-07-02 10:34:05] 196
[2021-07-02 10:34:05] EMBED_SIZE        
[2021-07-02 10:34:05] 128
[2021-07-02 10:34:05] BATCH_SIZE        
[2021-07-02 10:34:05] 50
[2021-07-02 10:34:05] CELL              
[2021-07-02 10:34:05] lstm
[2021-07-02 10:34:05] data_helper       
[2021-07-02 10:34:05] <data.DataHelper object at 0x000002E66669A898>
[2021-07-02 10:34:10] epoch 1   training loss 0.6938    test loss 0.6933    train acc 0.5081    test acc 0.5015
[2021-07-02 10:34:14] epoch 2   training loss 0.6926    test loss 0.6922    train acc 0.5254    test acc 0.5258
[2021-07-02 10:34:17] epoch 3   training loss 0.6916    test loss 0.6911    train acc 0.5453    test acc 0.5400
[2021-07-02 10:34:21] epoch 4   training loss 0.6906    test loss 0.6900    train acc 0.5574    test acc 0.5570
[2021-07-02 10:34:24] epoch 5   training loss 0.6896    test loss 0.6890    train acc 0.5624    test acc 0.5733
[2021-07-02 10:34:27] epoch 6   training loss 0.6887    test loss 0.6880    train acc 0.5689    test acc 0.5675
[2021-07-02 10:34:31] epoch 7   training loss 0.6878    test loss 0.6871    train acc 0.5649    test acc 0.5687
[2021-07-02 10:34:34] epoch 8   training loss 0.6869    test loss 0.6861    train acc 0.5670    test acc 0.5697
[2021-07-02 10:34:38] epoch 9   training loss 0.6861    test loss 0.6852    train acc 0.5682    test acc 0.5690
[2021-07-02 10:34:41] epoch 10   training loss 0.6853    test loss 0.6843    train acc 0.5664    test acc 0.5690
[2021-07-02 10:34:44] epoch 11   training loss 0.6844    test loss 0.6835    train acc 0.5676    test acc 0.5650
[2021-07-02 10:34:48] epoch 12   training loss 0.6837    test loss 0.6826    train acc 0.5694    test acc 0.5683
[2021-07-02 10:34:51] epoch 13   training loss 0.6829    test loss 0.6817    train acc 0.5703    test acc 0.5687
[2021-07-02 10:34:55] epoch 14   training loss 0.6822    test loss 0.6810    train acc 0.5704    test acc 0.5705
[2021-07-02 10:34:58] epoch 15   training loss 0.6814    test loss 0.6802    train acc 0.5722    test acc 0.5705
[2021-07-02 10:35:02] epoch 16   training loss 0.6807    test loss 0.6794    train acc 0.5720    test acc 0.5703
