[2021-07-02 22:13:13] STOP              
[2021-07-02 22:13:13] 100
[2021-07-02 22:13:13] SAVE_EVERY        
[2021-07-02 22:13:13] 20
[2021-07-02 22:13:13] LEARNING_RATE     
[2021-07-02 22:13:13] 0.01
[2021-07-02 22:13:13] EPOCH             
[2021-07-02 22:13:13] 200
[2021-07-02 22:13:13] DROPOUT_RATE      
[2021-07-02 22:13:13] 0.5
[2021-07-02 22:13:13] CLASS_NUM         
[2021-07-02 22:13:13] 2
[2021-07-02 22:13:13] NUM_LAYERS        
[2021-07-02 22:13:13] 1
[2021-07-02 22:13:13] HIDDEN_DIM        
[2021-07-02 22:13:13] 196
[2021-07-02 22:13:13] EMBED_SIZE        
[2021-07-02 22:13:13] 128
[2021-07-02 22:13:13] BATCH_SIZE        
[2021-07-02 22:13:13] 50
[2021-07-02 22:13:13] CELL              
[2021-07-02 22:13:13] lstm
[2021-07-02 22:13:13] data_helper       
[2021-07-02 22:13:13] <data.DataHelper object at 0x00000175C1B4A8D0>
[2021-07-02 22:13:17] epoch 1   training loss 0.6942    test loss 0.6935    train acc 0.4894    test acc 0.5045
[2021-07-02 22:13:19] epoch 2   training loss 0.6935    test loss 0.6929    train acc 0.4969    test acc 0.4940
[2021-07-02 22:13:21] epoch 3   training loss 0.6929    test loss 0.6929    train acc 0.5131    test acc 0.5030
[2021-07-02 22:13:23] epoch 4   training loss 0.6928    test loss 0.6926    train acc 0.5090    test acc 0.5080
[2021-07-02 22:13:24] epoch 5   training loss 0.6925    test loss 0.6923    train acc 0.5169    test acc 0.5110
[2021-07-02 22:13:26] epoch 6   training loss 0.6921    test loss 0.6921    train acc 0.5246    test acc 0.5160
[2021-07-02 22:13:28] epoch 7   training loss 0.6918    test loss 0.6918    train acc 0.5259    test acc 0.5400
[2021-07-02 22:13:29] epoch 8   training loss 0.6915    test loss 0.6916    train acc 0.5289    test acc 0.5395
[2021-07-02 22:13:31] epoch 9   training loss 0.6911    test loss 0.6917    train acc 0.5349    test acc 0.5340
[2021-07-02 22:13:33] epoch 10   training loss 0.6909    test loss 0.6914    train acc 0.5284    test acc 0.5185
[2021-07-02 22:13:35] epoch 11   training loss 0.6906    test loss 0.6912    train acc 0.5278    test acc 0.5370
[2021-07-02 22:13:36] epoch 12   training loss 0.6904    test loss 0.6911    train acc 0.5340    test acc 0.5220
[2021-07-02 22:13:38] epoch 13   training loss 0.6903    test loss 0.6910    train acc 0.5306    test acc 0.5385
[2021-07-02 22:13:40] epoch 14   training loss 0.6901    test loss 0.6910    train acc 0.5385    test acc 0.5230
[2021-07-02 22:13:41] epoch 15   training loss 0.6897    test loss 0.6907    train acc 0.5371    test acc 0.5395
[2021-07-02 22:13:43] epoch 16   training loss 0.6895    test loss 0.6906    train acc 0.5416    test acc 0.5355
[2021-07-02 22:13:45] epoch 17   training loss 0.6892    test loss 0.6908    train acc 0.5355    test acc 0.5255
[2021-07-02 22:13:47] epoch 18   training loss 0.6891    test loss 0.6905    train acc 0.5335    test acc 0.5435
[2021-07-02 22:13:48] epoch 19   training loss 0.6890    test loss 0.6904    train acc 0.5380    test acc 0.5375
[2021-07-02 22:13:50] epoch 20   training loss 0.6888    test loss 0.6903    train acc 0.5333    test acc 0.5345
[2021-07-02 22:13:52] epoch 21   training loss 0.6887    test loss 0.6902    train acc 0.5401    test acc 0.5405
[2021-07-02 22:13:54] epoch 22   training loss 0.6883    test loss 0.6906    train acc 0.5333    test acc 0.5310
[2021-07-02 22:13:55] epoch 23   training loss 0.6881    test loss 0.6902    train acc 0.5380    test acc 0.5375
[2021-07-02 22:13:57] epoch 24   training loss 0.6881    test loss 0.6902    train acc 0.5387    test acc 0.5380
[2021-07-02 22:13:59] epoch 25   training loss 0.6877    test loss 0.6903    train acc 0.5374    test acc 0.5375
[2021-07-02 22:14:00] epoch 26   training loss 0.6877    test loss 0.6901    train acc 0.5379    test acc 0.5410
[2021-07-02 22:14:02] epoch 27   training loss 0.6877    test loss 0.6902    train acc 0.5386    test acc 0.5415
[2021-07-02 22:14:04] epoch 28   training loss 0.6874    test loss 0.6904    train acc 0.5357    test acc 0.5355
[2021-07-02 22:14:06] epoch 29   training loss 0.6873    test loss 0.6902    train acc 0.5400    test acc 0.5440
[2021-07-02 22:14:07] epoch 30   training loss 0.6873    test loss 0.6902    train acc 0.5370    test acc 0.5430
[2021-07-02 22:14:09] epoch 31   training loss 0.6868    test loss 0.6910    train acc 0.5430    test acc 0.5305
[2021-07-02 22:14:11] epoch 32   training loss 0.6870    test loss 0.6905    train acc 0.5399    test acc 0.5400
[2021-07-02 22:14:13] epoch 33   training loss 0.6868    test loss 0.6902    train acc 0.5393    test acc 0.5385
[2021-07-02 22:14:14] epoch 34   training loss 0.6868    test loss 0.6903    train acc 0.5414    test acc 0.5435
[2021-07-02 22:14:16] epoch 35   training loss 0.6866    test loss 0.6903    train acc 0.5413    test acc 0.5380
[2021-07-02 22:14:18] epoch 36   training loss 0.6866    test loss 0.6906    train acc 0.5426    test acc 0.5390
[2021-07-02 22:14:20] epoch 37   training loss 0.6864    test loss 0.6906    train acc 0.5427    test acc 0.5395
[2021-07-02 22:14:21] epoch 38   training loss 0.6862    test loss 0.6903    train acc 0.5441    test acc 0.5380
[2021-07-02 22:14:23] epoch 39   training loss 0.6863    test loss 0.6903    train acc 0.5425    test acc 0.5435
[2021-07-02 22:14:25] epoch 40   training loss 0.6862    test loss 0.6903    train acc 0.5431    test acc 0.5445
[2021-07-02 22:14:26] epoch 41   training loss 0.6861    test loss 0.6903    train acc 0.5411    test acc 0.5385
[2021-07-02 22:14:28] epoch 42   training loss 0.6861    test loss 0.6903    train acc 0.5423    test acc 0.5430
[2021-07-02 22:14:30] epoch 43   training loss 0.6859    test loss 0.6905    train acc 0.5451    test acc 0.5350
[2021-07-02 22:14:32] epoch 44   training loss 0.6859    test loss 0.6905    train acc 0.5445    test acc 0.5415
[2021-07-02 22:14:33] epoch 45   training loss 0.6858    test loss 0.6904    train acc 0.5456    test acc 0.5405
[2021-07-02 22:14:35] epoch 46   training loss 0.6855    test loss 0.6906    train acc 0.5433    test acc 0.5320
[2021-07-02 22:14:37] epoch 47   training loss 0.6857    test loss 0.6904    train acc 0.5437    test acc 0.5385
[2021-07-02 22:14:39] epoch 48   training loss 0.6855    test loss 0.6904    train acc 0.5460    test acc 0.5385
[2021-07-02 22:14:40] epoch 49   training loss 0.6854    test loss 0.6905    train acc 0.5489    test acc 0.5400
[2021-07-02 22:14:42] epoch 50   training loss 0.6852    test loss 0.6915    train acc 0.5485    test acc 0.5380
[2021-07-02 22:14:44] epoch 51   training loss 0.6852    test loss 0.6906    train acc 0.5475    test acc 0.5335
[2021-07-02 22:14:45] epoch 52   training loss 0.6851    test loss 0.6905    train acc 0.5456    test acc 0.5415
[2021-07-02 22:14:47] epoch 53   training loss 0.6851    test loss 0.6905    train acc 0.5486    test acc 0.5400
[2021-07-02 22:14:49] epoch 54   training loss 0.6849    test loss 0.6904    train acc 0.5457    test acc 0.5400
[2021-07-02 22:14:51] epoch 55   training loss 0.6849    test loss 0.6910    train acc 0.5467    test acc 0.5395
[2021-07-02 22:14:52] epoch 56   training loss 0.6850    test loss 0.6904    train acc 0.5485    test acc 0.5385
[2021-07-02 22:14:54] epoch 57   training loss 0.6846    test loss 0.6914    train acc 0.5539    test acc 0.5360
[2021-07-02 22:14:56] epoch 58   training loss 0.6847    test loss 0.6908    train acc 0.5510    test acc 0.5400
[2021-07-02 22:14:58] epoch 59   training loss 0.6846    test loss 0.6906    train acc 0.5531    test acc 0.5375
[2021-07-02 22:14:59] epoch 60   training loss 0.6843    test loss 0.6905    train acc 0.5546    test acc 0.5415
[2021-07-02 22:15:01] epoch 61   training loss 0.6843    test loss 0.6905    train acc 0.5497    test acc 0.5355
[2021-07-02 22:15:03] epoch 62   training loss 0.6840    test loss 0.6905    train acc 0.5519    test acc 0.5370
[2021-07-02 22:15:05] epoch 63   training loss 0.6841    test loss 0.6904    train acc 0.5520    test acc 0.5430
[2021-07-02 22:15:06] epoch 64   training loss 0.6841    test loss 0.6903    train acc 0.5521    test acc 0.5335
[2021-07-02 22:15:08] epoch 65   training loss 0.6839    test loss 0.6905    train acc 0.5536    test acc 0.5395
[2021-07-02 22:15:10] epoch 66   training loss 0.6838    test loss 0.6903    train acc 0.5550    test acc 0.5395
[2021-07-02 22:15:12] epoch 67   training loss 0.6837    test loss 0.6903    train acc 0.5553    test acc 0.5350
[2021-07-02 22:15:13] epoch 68   training loss 0.6834    test loss 0.6903    train acc 0.5547    test acc 0.5375
[2021-07-02 22:15:15] epoch 69   training loss 0.6834    test loss 0.6904    train acc 0.5563    test acc 0.5390
[2021-07-02 22:15:17] epoch 70   training loss 0.6833    test loss 0.6903    train acc 0.5573    test acc 0.5380
[2021-07-02 22:15:19] epoch 71   training loss 0.6830    test loss 0.6903    train acc 0.5560    test acc 0.5370
[2021-07-02 22:15:20] epoch 72   training loss 0.6829    test loss 0.6903    train acc 0.5570    test acc 0.5375
[2021-07-02 22:15:22] epoch 73   training loss 0.6826    test loss 0.6905    train acc 0.5567    test acc 0.5395
[2021-07-02 22:15:24] epoch 74   training loss 0.6826    test loss 0.6907    train acc 0.5569    test acc 0.5415
[2021-07-02 22:15:26] epoch 75   training loss 0.6825    test loss 0.6903    train acc 0.5585    test acc 0.5400
[2021-07-02 22:15:27] epoch 76   training loss 0.6823    test loss 0.6903    train acc 0.5607    test acc 0.5400
[2021-07-02 22:15:29] epoch 77   training loss 0.6821    test loss 0.6901    train acc 0.5600    test acc 0.5455
[2021-07-02 22:15:31] epoch 78   training loss 0.6818    test loss 0.6901    train acc 0.5615    test acc 0.5405
[2021-07-02 22:15:33] epoch 79   training loss 0.6817    test loss 0.6899    train acc 0.5626    test acc 0.5455
[2021-07-02 22:15:34] epoch 80   training loss 0.6815    test loss 0.6898    train acc 0.5621    test acc 0.5450
[2021-07-02 22:15:36] epoch 81   training loss 0.6811    test loss 0.6898    train acc 0.5627    test acc 0.5485
[2021-07-02 22:15:38] epoch 82   training loss 0.6810    test loss 0.6897    train acc 0.5607    test acc 0.5500
[2021-07-02 22:15:40] epoch 83   training loss 0.6808    test loss 0.6899    train acc 0.5650    test acc 0.5490
[2021-07-02 22:15:41] epoch 84   training loss 0.6806    test loss 0.6895    train acc 0.5633    test acc 0.5500
[2021-07-02 22:15:43] epoch 85   training loss 0.6802    test loss 0.6895    train acc 0.5654    test acc 0.5495
[2021-07-02 22:15:45] epoch 86   training loss 0.6799    test loss 0.6893    train acc 0.5644    test acc 0.5530
[2021-07-02 22:15:47] epoch 87   training loss 0.6796    test loss 0.6892    train acc 0.5674    test acc 0.5525
[2021-07-02 22:15:48] epoch 88   training loss 0.6790    test loss 0.6891    train acc 0.5677    test acc 0.5510
[2021-07-02 22:15:50] epoch 89   training loss 0.6789    test loss 0.6887    train acc 0.5690    test acc 0.5510
[2021-07-02 22:15:52] epoch 90   training loss 0.6782    test loss 0.6887    train acc 0.5737    test acc 0.5515
[2021-07-02 22:15:54] epoch 91   training loss 0.6776    test loss 0.6884    train acc 0.5720    test acc 0.5505
[2021-07-02 22:15:56] epoch 92   training loss 0.6770    test loss 0.6880    train acc 0.5744    test acc 0.5550
[2021-07-02 22:15:58] epoch 93   training loss 0.6764    test loss 0.6880    train acc 0.5749    test acc 0.5485
[2021-07-02 22:16:00] epoch 94   training loss 0.6754    test loss 0.6872    train acc 0.5764    test acc 0.5490
[2021-07-02 22:16:01] epoch 95   training loss 0.6745    test loss 0.6861    train acc 0.5786    test acc 0.5535
[2021-07-02 22:16:03] epoch 96   training loss 0.6730    test loss 0.6848    train acc 0.5846    test acc 0.5565
[2021-07-02 22:16:05] epoch 97   training loss 0.6709    test loss 0.6829    train acc 0.5831    test acc 0.5580
[2021-07-02 22:16:07] epoch 98   training loss 0.6674    test loss 0.6790    train acc 0.5938    test acc 0.5780
[2021-07-02 22:16:08] epoch 99   training loss 0.6606    test loss 0.6661    train acc 0.6072    test acc 0.5920
[2021-07-02 22:16:10] epoch 100   training loss 0.6535    test loss 0.6710    train acc 0.6209    test acc 0.5905
[2021-07-02 22:16:12] epoch 101   training loss 0.6558    test loss 0.7032    train acc 0.6099    test acc 0.5605
[2021-07-02 22:16:14] epoch 102   training loss 0.6526    test loss 0.6493    train acc 0.6222    test acc 0.6240
[2021-07-02 22:16:15] epoch 103   training loss 0.6581    test loss 0.6855    train acc 0.6155    test acc 0.5835
[2021-07-02 22:16:17] epoch 104   training loss 0.6659    test loss 0.6750    train acc 0.6061    test acc 0.5690
[2021-07-02 22:16:19] epoch 105   training loss 0.6430    test loss 0.6510    train acc 0.6366    test acc 0.6285
[2021-07-02 22:16:21] epoch 106   training loss 0.6579    test loss 0.6540    train acc 0.6039    test acc 0.6195
[2021-07-02 22:16:23] epoch 107   training loss 0.6646    test loss 0.6604    train acc 0.6030    test acc 0.6065
[2021-07-02 22:16:24] epoch 108   training loss 0.6424    test loss 0.6581    train acc 0.6416    test acc 0.6130
[2021-07-02 22:16:26] epoch 109   training loss 0.6467    test loss 0.6459    train acc 0.6351    test acc 0.6440
[2021-07-02 22:16:28] epoch 110   training loss 0.7055    test loss 0.6933    train acc 0.5583    test acc 0.5255
[2021-07-02 22:16:30] epoch 111   training loss 0.6825    test loss 0.6907    train acc 0.5630    test acc 0.5415
[2021-07-02 22:16:31] epoch 112   training loss 0.6799    test loss 0.6890    train acc 0.5650    test acc 0.5485
[2021-07-02 22:16:33] epoch 113   training loss 0.6777    test loss 0.6868    train acc 0.5720    test acc 0.5540
[2021-07-02 22:16:35] epoch 114   training loss 0.6746    test loss 0.6842    train acc 0.5785    test acc 0.5595
[2021-07-02 22:16:37] epoch 115   training loss 0.6703    test loss 0.6799    train acc 0.5851    test acc 0.5750
[2021-07-02 22:16:38] epoch 116   training loss 0.6646    test loss 0.6750    train acc 0.5976    test acc 0.5805
[2021-07-02 22:16:40] epoch 117   training loss 0.6585    test loss 0.6701    train acc 0.6094    test acc 0.5850
[2021-07-02 22:16:42] epoch 118   training loss 0.6525    test loss 0.6664    train acc 0.6161    test acc 0.5980
[2021-07-02 22:16:44] epoch 119   training loss 0.6481    test loss 0.6621    train acc 0.6291    test acc 0.6080
[2021-07-02 22:16:45] epoch 120   training loss 0.6440    test loss 0.6616    train acc 0.6358    test acc 0.5995
[2021-07-02 22:16:45] best acc: 0.6440
[2021-07-02 22:16:45] STOP              
[2021-07-02 22:16:45] 100
[2021-07-02 22:16:45] SAVE_EVERY        
